r,w,precision@w-1,precision@1
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.25,0.0
1,5,0.625,0.9
1,6,0.6333333333333333,1.0
1,7,0.5,0.9285714285714286
1,8,0.5357142857142856,0.0
1,9,0.5625,0.0
1,10,0.5777777777777777,0.0
1,11,0.5999999999999999,0.9090909090909091
1,12,0.6818181818181819,0.9583333333333333
1,13,0.6666666666666666,0.9615384615384616
1,14,0.6538461538461537,0.9642857142857143
1,15,0.6428571428571429,0.5
2,2,0.125,0.125
2,3,0.16666666666666666,0.0
2,4,0.0625,0.1875
2,5,0.15000000000000002,0.0
2,6,0.275,0.4166666666666667
2,7,0.4226190476190476,0.4642857142857143
2,8,0.39732142857142855,0.4375
2,9,0.34375,0.4444444444444444
2,10,0.28888888888888886,0.45
2,11,0.36136363636363633,0.45454545454545453
2,12,0.4015151515151516,0.0
2,13,0.3573717948717947,0.0
2,14,0.361263736263736,0.23214285714285715
2,15,0.4297619047619049,0.4666666666666667
3,2,0.16666666666666666,0.16666666666666666
3,3,0.25,0.2777777777777778
3,4,0.2777777777777778,0.25
3,5,0.2,0.26666666666666666
3,6,0.19444444444444448,0.2777777777777778
3,7,0.25,0.2857142857142857
3,8,0.22916666666666674,0.2916666666666667
3,9,0.25,0.2962962962962963
3,10,0.2759259259259258,0.15
3,11,0.28181818181818186,0.30303030303030304
3,12,0.3042929292929294,0.3194444444444444
3,13,0.28525641025641046,0.3076923076923077
3,14,0.2829670329670328,0.30952380952380953
3,15,0.2738095238095239,0.15555555555555556
4,2,0.125,0.125
4,3,0.20833333333333334,0.16666666666666666
4,4,0.1875,0.25
4,5,0.1875,0.1
4,6,0.19583333333333336,0.10416666666666667
4,7,0.16964285714285718,0.10714285714285714
4,8,0.1986607142857143,0.234375
4,9,0.21006944444444445,0.2361111111111111
4,10,0.2180555555555555,0.25
4,11,0.21363636363636357,0.22727272727272727
4,12,0.22443181818181818,0.23958333333333331
4,13,0.20913461538461534,0.23076923076923078
4,14,0.22046703296703274,0.23214285714285715
4,15,0.23571428571428582,0.23333333333333334
5,2,0.1,0.1
5,3,0.06666666666666667,0.13333333333333333
5,4,0.15833333333333333,0.15
5,5,0.16,0.2
5,6,0.13666666666666671,0.08333333333333333
5,7,0.1476190476190476,0.0
5,8,0.15357142857142858,0.0875
5,9,0.17638888888888887,0.2
5,10,0.1744444444444444,0.19
5,11,0.1754545454545455,0.19090909090909092
5,12,0.16893939393939408,0.18333333333333332
5,13,0.17179487179487196,0.19230769230769232
5,14,0.174175824175824,0.18571428571428572
5,15,0.18809523809523804,0.19333333333333336
