r,w,precision@w-1,precision@1,triplet
1,2,0.0,0.0,0.0
1,3,0.0,0.0,0.0
1,4,0.375,0.375,0.0
1,5,0.5,0.0,0.0
1,6,0.7333333333333333,0.4166666666666667,0.0
2,2,0.125,0.125,0.0
2,3,0.08333333333333333,0.0,0.0
2,4,0.14583333333333331,0.1875,0.0
2,5,0.1625,0.0,0.0
2,6,0.18333333333333332,0.0,0.0
3,2,0.16666666666666666,0.16666666666666666,0.0
3,3,0.1388888888888889,0.1111111111111111,0.0
3,4,0.13888888888888887,0.0,0.0
3,5,0.2,0.3,0.0
3,6,0.17777777777777784,0.2777777777777778,0.0
4,2,0.0,0.0,0.0
4,3,0.14583333333333334,0.16666666666666666,0.0
4,4,0.09375000000000001,0.09375,0.0
4,5,0.125,0.0,0.0
4,6,0.14583333333333331,0.0,0.0
5,2,0.1,0.1,0.0
5,3,0.1,0.0,0.0
5,4,0.1,0.1,0.0
5,5,0.14500000000000002,0.08,0.0
5,6,0.15666666666666673,0.16666666666666666,0.0
