r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.19695388696821117,0.8,0.8,0.9391304347826086
1,3,0.2497936943306752,0.7,0.6666666666666667,0.9724637681159422
1,4,0.48233508039100403,0.5166666666666666,0.4,0.7630434782608696
1,5,0.5955797830216245,0.41,0.4,0.6156521739130435
2,2,0.27839260697154056,0.7,0.7,0.9270833333333333
2,3,0.4375912700351126,0.5666666666666667,0.5333333333333333,0.8333333333333333
2,4,0.3235374192615472,0.7166666666666668,0.6,0.8634615384615385
2,5,0.4049681077185935,0.6900000000000001,0.5,0.9046296296296298
3,2,0.25520686694787387,0.6666666666666666,0.6666666666666666,0.8986666666666666
3,3,0.13208311841716402,0.8666666666666666,0.8666666666666666,0.9160493827160494
3,4,0.3360111983013738,0.6944444444444444,0.5999999999999999,0.8522988505747126
3,5,0.3410233954862717,0.6933333333333332,0.5999999999999999,0.8673118279569894
4,2,0.41923223615351757,0.525,0.525,0.8528846153846154
4,3,0.6133962425796844,0.3916666666666667,0.4,0.7
4,4,0.4568384052084172,0.6041666666666666,0.5,0.8217447916666668
4,5,0.43513303897260497,0.59,0.55,0.7843571428571428
5,2,0.36992408477172395,0.64,0.64,0.8474074074074075
5,3,0.2475093157483112,0.7466666666666666,0.7466666666666667,0.8987096774193549
5,4,0.6019545381293364,0.46333333333333326,0.38999999999999996,0.7626666666666668
5,5,0.19503384417645964,0.806,0.792,0.9293846153846154
6,2,0.42574195223430067,0.5333333333333334,0.5333333333333334,0.8375
6,3,0.5742115509591851,0.37777777777777777,0.3333333333333333,0.771885521885522
6,4,0.41273269680851155,0.6222222222222222,0.5916666666666666,0.8674707602339181
6,5,0.4246469051519018,0.6366666666666666,0.5533333333333333,0.7839922480620155
7,2,0.47995696549940686,0.5,0.5,0.8147783251231526
7,3,0.5219395156105942,0.45714285714285713,0.43809523809523804,0.8470748299319727
7,4,0.47732904833478323,0.5380952380952382,0.5,0.831649245063879
7,5,0.4858694503061726,0.5614285714285714,0.5371428571428571,0.7778115501519759
8,2,0.4911352721000918,0.475,0.475,0.7820833333333332
8,3,0.6022829125276569,0.4166666666666667,0.39166666666666666,0.7667792792792792
8,4,0.5969643285060574,0.4270833333333333,0.375,0.7299715909090908
8,5,0.6452880437451842,0.42750000000000005,0.33499999999999996,0.7431617647058824
9,2,0.49083359474796423,0.4444444444444445,0.4444444444444445,0.8261648745519713
9,3,0.4445157034661558,0.5481481481481482,0.5333333333333332,0.8511870845204179
9,4,0.5284225554276754,0.5037037037037038,0.4555555555555556,0.8007880220646179
9,5,0.5658508688448286,0.5211111111111111,0.4177777777777778,0.7842626262626264
10,2,0.45805344202636017,0.5,0.5,0.811875
10,3,0.5413002453509971,0.42666666666666664,0.41999999999999993,0.7983739837398373
10,4,0.6682278291714329,0.3833333333333333,0.29500000000000004,0.7377333333333334
10,5,0.5379496779013533,0.549,0.48,0.8334745762711864
