r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.1486997764092252,0.8,0.8,0.9695652173913043
1,3,0.07437115083458687,1.0,1.0,1.0
1,4,0.3180130214221327,0.8,0.8,0.8021739130434783
1,5,0.39465542240496665,0.64,0.6,0.7756521739130434
2,2,0.19336964516775493,0.8,0.8,0.9666666666666668
2,3,0.2198633243505448,0.9166666666666666,0.9333333333333333,0.9933333333333334
2,4,0.20698019468227646,0.8,0.8,0.8878205128205128
2,5,0.2975501002922892,0.975,1.0,0.9985185185185184
3,2,0.08322260925122973,1.0,1.0,1.0
3,3,0.10597459797974007,0.888888888888889,0.888888888888889,0.9312757201646089
3,4,0.1682695846881871,1.0,1.0,1.0
3,5,0.25854275839053625,0.9033333333333333,0.9333333333333333,0.9323655913978494
4,2,0.1932629214228921,0.925,0.925,0.9009615384615385
4,3,0.29709682467732296,0.7833333333333334,0.8,0.7991379310344827
4,4,0.31156396204382736,0.7833333333333334,0.8,0.8001302083333333
4,5,0.30776771237692185,0.7925000000000001,0.75,0.8424285714285714
5,2,0.1678941003201075,0.9,0.9,0.9192592592592593
5,3,0.1737729940948312,0.8733333333333333,0.8666666666666666,0.9191397849462366
5,4,0.29344771251749824,0.77,0.77,0.7979047619047619
5,5,0.15546779587163495,0.914,0.8720000000000001,0.9554871794871795
6,2,0.19022254042358644,0.8833333333333334,0.8833333333333334,0.931547619047619
6,3,0.3297698568254584,0.6888888888888889,0.6777777777777778,0.8178451178451178
6,4,0.20816964511399524,0.8222222222222222,0.8,0.9211988304093568
6,5,0.2995882959556631,0.745,0.7466666666666667,0.8244186046511628
7,2,0.25629315023996846,0.7428571428571429,0.7428571428571429,0.916256157635468
7,3,0.2714833201890153,0.8,0.8,0.9073469387755102
7,4,0.23331426482177334,0.8333333333333334,0.8428571428571429,0.9330429732868758
7,5,0.29801453947865786,0.7928571428571429,0.7371428571428572,0.8513677811550151
8,2,0.28528736348465245,0.7375,0.7375,0.8216666666666667
8,3,0.3618227838207295,0.6333333333333333,0.675,0.7643018018018017
8,4,0.3553008957185503,0.7333333333333334,0.675,0.8625
8,5,0.3590410186503651,0.71125,0.66,0.7914950980392158
9,2,0.3120878564797797,0.788888888888889,0.788888888888889,0.8415770609318998
9,3,0.22930927634636408,0.7777777777777778,0.7703703703703704,0.9190883190883191
9,4,0.28491106814807776,0.8074074074074075,0.7666666666666666,0.9414499605988969
9,5,0.3323068395696691,0.7344444444444445,0.6622222222222222,0.8763434343434344
10,2,0.252237270697026,0.7699999999999999,0.7699999999999999,0.9099999999999999
10,3,0.2888808260070873,0.77,0.78,0.8546341463414635
10,4,0.3930290540721172,0.7516666666666667,0.735,0.8525333333333334
10,5,0.33078642211862663,0.7639999999999999,0.716,0.870593220338983
