r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.34226477493804897,0.8,0.8,0.8
1,3,0.3658313997333559,1.0,1.0,1.0
1,4,0.6684080365513557,0.65,0.6,0.7804347826086956
1,5,0.6793471657542096,0.44000000000000006,0.4,0.43826086956521737
2,2,0.4237283169403824,0.7,0.7,0.7895833333333333
2,3,0.5181699397313666,0.7,0.7,0.7
2,4,0.5091761272442131,0.8,0.8,0.8
2,5,0.5616281348033201,0.8099999999999999,0.7,0.8848148148148148
3,2,0.2825200758594192,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,3,0.3325146745734627,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,4,0.5821493207671933,0.7666666666666666,0.7333333333333333,0.7948275862068966
3,5,0.5275493438866177,0.7333333333333333,0.7333333333333333,0.8294623655913977
4,2,0.5731375256858249,0.775,0.775,0.8384615384615384
4,3,0.6920314177628292,0.5166666666666667,0.5333333333333333,0.5919540229885059
4,4,0.6473462078125632,0.7083333333333334,0.7,0.7881510416666667
4,5,0.5834119186364944,0.6300000000000001,0.64,0.6194285714285714
5,2,0.490322052916009,0.74,0.74,0.7548148148148148
5,3,0.45798688049984515,0.8400000000000001,0.8400000000000001,0.8769892473118279
5,4,0.7320840267103434,0.5533333333333333,0.55,0.5577142857142857
5,5,0.43503707438832306,0.8400000000000001,0.8,0.875897435897436
6,2,0.5281756973325242,0.7166666666666667,0.7166666666666667,0.7291666666666666
6,3,0.7376042388573664,0.5777777777777777,0.5888888888888889,0.5666666666666667
6,4,0.5658574234751651,0.6527777777777778,0.6583333333333333,0.6649122807017543
6,5,0.633611723761313,0.6816666666666668,0.6666666666666667,0.7233720930232559
7,2,0.5949344099784394,0.6285714285714287,0.6285714285714287,0.654679802955665
7,3,0.6977592175405334,0.5476190476190477,0.5523809523809524,0.6209523809523809
7,4,0.6445200242916523,0.6166666666666667,0.6214285714285714,0.627177700348432
7,5,0.6746027363346577,0.6,0.5714285714285714,0.6261398176291794
8,2,0.6103712842056241,0.6625,0.6625,0.65
8,3,0.7434533647212278,0.5083333333333334,0.5166666666666666,0.5
8,4,0.8029098844099136,0.48125,0.475,0.5193181818181818
8,5,0.7646243217982953,0.45999999999999996,0.47000000000000003,0.4907107843137255
9,2,0.6278934845059417,0.6333333333333333,0.6333333333333333,0.7017921146953405
9,3,0.6263979221782286,0.6444444444444445,0.6444444444444445,0.6641975308641974
9,4,0.6622366799945578,0.5648148148148149,0.5555555555555556,0.5555555555555556
9,5,0.7387135813789778,0.5511111111111111,0.5511111111111111,0.5531313131313131
10,2,0.5822033769158471,0.6399999999999999,0.6399999999999999,0.6575
10,3,0.6825775763090041,0.55,0.5599999999999999,0.5678048780487804
10,4,0.8063854024244762,0.475,0.45499999999999996,0.4772
10,5,0.733785043098975,0.601,0.596,0.6342372881355931
