r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.20250001896375966,0.8,0.8,0.8
1,3,0.20579632278987195,0.9666666666666668,0.9333333333333332,0.9971014492753623
1,4,0.5934041065030712,0.5833333333333333,0.55,0.7695652173913043
1,5,0.6019445929948251,0.6,0.6,0.6
2,2,0.30128981278583244,0.7,0.7,0.7791666666666666
2,3,0.3939905448166626,0.8,0.8,0.8
2,4,0.40149620426328736,0.7833333333333334,0.75,0.798076923076923
2,5,0.49805194235192374,0.775,0.7,0.9544444444444444
3,2,0.1369314537139737,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,3,0.14758272429034586,0.9333333333333333,0.9333333333333333,0.9333333333333333
3,4,0.4659811328335225,0.8055555555555556,0.7666666666666666,0.8507662835249041
3,5,0.40345269167785114,0.7333333333333333,0.6666666666666666,0.8931182795698923
4,2,0.46045880440651266,0.675,0.675,0.8721153846153846
4,3,0.5467760161050376,0.6916666666666667,0.7166666666666666,0.7781609195402299
4,4,0.502538839401528,0.6916666666666667,0.675,0.7842447916666667
4,5,0.454084852461153,0.76,0.79,0.7914285714285715
5,2,0.35925192154212293,0.7799999999999999,0.7799999999999999,0.9007407407407406
5,3,0.3089842008611989,0.8133333333333332,0.8,0.8716129032258065
5,4,0.5947853792632964,0.6599999999999999,0.6,0.7117142857142859
5,5,0.20607012835427282,0.858,0.8400000000000001,0.9123589743589744
6,2,0.3903416872012639,0.7833333333333334,0.7833333333333334,0.8886904761904763
6,3,0.5977513145751889,0.6888888888888889,0.6555555555555556,0.7308080808080809
6,4,0.41472461141801586,0.7583333333333333,0.7333333333333333,0.8257309941520468
6,5,0.5061114577744918,0.6933333333333334,0.6733333333333333,0.7536821705426356
7,2,0.515177102090896,0.5428571428571428,0.5428571428571428,0.7546798029556651
7,3,0.5717723189233604,0.7523809523809524,0.7238095238095237,0.8985034013605441
7,4,0.4527749482587099,0.8214285714285714,0.8,0.878048780487805
7,5,0.5247522332943182,0.7128571428571429,0.6742857142857144,0.8153799392097264
8,2,0.5183994986899655,0.6,0.6,0.7641666666666667
8,3,0.6322470877087494,0.6500000000000001,0.6416666666666667,0.7431306306306306
8,4,0.6506608030953347,0.5979166666666667,0.55,0.7048768939393939
8,5,0.6430963997944601,0.64375,0.595,0.7347058823529411
9,2,0.5279606883457688,0.5888888888888889,0.5888888888888889,0.753405017921147
9,3,0.4849674234359401,0.711111111111111,0.6962962962962963,0.8754985754985756
9,4,0.5592053547842177,0.6722222222222222,0.6166666666666666,0.7289204097714735
9,5,0.6338212153882024,0.6711111111111111,0.5377777777777778,0.766989898989899
10,2,0.48475767205534437,0.6,0.6,0.8021874999999999
10,3,0.5276734309854896,0.72,0.6866666666666668,0.8079674796747968
10,4,0.7125508107449716,0.5983333333333334,0.54,0.7237666666666668
10,5,0.5457417345966549,0.72,0.68,0.8091525423728813
