r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.26666666666666666,0.0,0.0
1,4,1.0,0.25,0.075,0.0
1,5,1.0,0.305,0.0,0.0
1,6,1.0,0.24333333333333335,0.0,0.0
1,7,1.0,0.26190476190476186,0.08571428571428572,0.0
1,8,1.0,0.2885204081632653,0.0,0.0
1,9,1.0,0.3402777777777778,0.1,0.0
1,10,1.0,0.28666666666666674,0.09,0.0
2,2,1.0,0.05,0.05,0.0
2,3,1.0,0.15,0.0,0.0
2,4,1.0,0.20833333333333331,0.0,0.0
2,5,1.0,0.21000000000000002,0.08,0.0
2,6,1.0,0.21000000000000002,0.04166666666666667,0.0
2,7,1.0,0.31666666666666665,0.0,0.0
2,8,1.0,0.26964285714285713,0.04375,0.0
2,9,1.0,0.2659722222222222,0.04444444444444444,0.0
2,10,1.0,0.22722222222222227,0.045,0.0
3,2,1.0,0.03333333333333333,0.03333333333333333,0.0
3,3,1.0,0.12222222222222226,0.04444444444444444,0.0
3,4,1.0,0.16666666666666666,0.0,0.0
3,5,1.0,0.1733333333333333,0.05333333333333333,0.0
3,6,1.0,0.2166666666666667,0.08333333333333334,0.0
3,7,1.0,0.21428571428571427,0.0,0.0
3,8,1.0,0.200103519668737,0.03333333333333333,0.0
3,9,1.0,0.21064814814814814,0.08888888888888888,0.0
3,10,1.0,0.21411522633744853,0.06,0.0
4,2,1.0,0.025,0.025,0.0
4,3,1.0,0.1125,0.05,0.0
4,4,1.0,0.13333333333333333,0.0,0.0
4,5,1.0,0.14625000000000002,0.0,0.0
4,6,1.0,0.17833333333333337,0.025,0.0
4,7,1.0,0.18452380952380953,0.0,0.0
4,8,1.0,0.17426555299539168,0.071875,0.0
4,9,1.0,0.18474264705882354,0.04444444444444444,0.0
4,10,1.0,0.19379879879879874,0.135,0.0
5,2,1.0,0.05,0.05,0.0
5,3,1.0,0.07333333333333333,0.013333333333333332,0.0
5,4,1.0,0.11833333333333333,0.03,0.0
5,5,1.0,0.135,0.032,0.0
5,6,1.0,0.1486666666666667,0.05,0.0
5,7,1.0,0.15428571428571428,0.03428571428571429,0.0
5,8,1.0,0.15323260073260075,0.034999999999999996,0.0
5,9,1.0,0.15848837209302322,0.07111111111111111,0.0
5,10,1.0,0.1701938534278959,0.14859574468085104,0.0
6,2,1.0,0.025,0.025,0.0
6,3,1.0,0.06111111111111113,0.01111111111111111,0.0
6,4,1.0,0.09444444444444446,0.025,0.0
6,5,1.0,0.10916666666666666,0.013333333333333332,0.0
6,6,1.0,0.11500000000000002,0.0,0.0
6,7,1.0,0.1293650793650794,0.02857142857142857,0.0
6,8,1.0,0.13261144883485315,0.029166666666666667,0.0
6,9,1.0,0.1347489316239316,0.059259259259259255,0.0
6,10,1.0,0.12047758284600388,0.10657894736842104,0.0
7,2,1.0,0.03571428571428571,0.03571428571428571,0.0
7,3,1.0,0.06190476190476189,0.02857142857142857,0.0
7,4,1.0,0.0869047619047619,0.03214285714285714,0.0
7,5,1.0,0.09071428571428572,0.011428571428571429,0.0
7,6,1.0,0.10571428571428573,0.03571428571428571,0.0
7,7,1.0,0.10850340136054423,0.024489795918367346,0.0
7,8,1.0,0.11250000000000007,0.025,0.0
7,9,1.0,0.09579104865990111,0.07660681759042415,0.0
7,10,1.0,0.1011276948590381,0.0732409381663113,0.0
8,2,1.0,0.0125,0.0125,0.0
8,3,1.0,0.05625000000000001,0.025,0.0
8,4,1.0,0.06875,0.01875,0.0
8,5,1.0,0.09,0.05,0.0
8,6,1.0,0.09208333333333336,0.03125,0.0
8,7,1.0,0.09583333333333335,0.03214285714285714,0.0
8,8,1.0,0.08754251700680274,0.02204861111111111,0.0
8,9,1.0,0.09532242063492065,0.06793650793650793,0.0
8,10,1.0,0.08889610389610389,0.09217532467532467,0.0
9,2,1.0,0.03333333333333334,0.03333333333333334,0.0
9,3,1.0,0.05185185185185185,0.029629629629629627,0.0
9,4,1.0,0.06944444444444445,0.041666666666666664,0.0
9,5,1.0,0.07944444444444444,0.044444444444444446,0.0
9,6,1.0,0.08222222222222224,0.037037037037037035,0.0
9,7,1.0,0.07857142857142856,0.03809523809523809,0.0
9,8,1.0,0.0756846635367762,0.029166666666666667,0.0
9,9,1.0,0.0796237693389592,0.030129707766838563,0.0
9,10,1.0,0.08570029799914851,0.042528735632183914,0.0
10,2,1.0,0.01,0.01,0.0
10,3,1.0,0.04333333333333333,0.02,0.0
10,4,1.0,0.06250000000000001,0.0375,0.0
10,5,1.0,0.0625,0.008,0.0
10,6,1.0,0.07466666666666667,0.03333333333333333,0.0
10,7,1.0,0.07095238095238093,0.06285714285714286,0.0
10,8,1.0,0.0790461121157324,0.05272151898734177,0.0
10,9,1.0,0.0788320707070707,0.03616161616161616,0.0
10,10,1.0,0.07835395189003433,0.09083505154639174,0.0
