r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.946873418323669e-06,1.0,1.0,1.0
1,3,0.016924495631761738,0.9,0.9333333333333332,0.9851851851851852
1,4,0.004284682672401049,1.0,1.0,1.0
1,5,0.011731021773691851,0.95,0.96,0.9911111111111112
2,2,0.011035966130896002,0.9,0.9,0.985
2,3,0.012001130794848444,0.9666666666666666,1.0,0.9969696969696968
2,4,0.3980729135710084,0.625,0.65,0.6791666666666668
2,5,0.20316465863552208,0.8400000000000001,0.8800000000000001,0.8
3,2,0.21439347659141852,0.7666666666666667,0.7666666666666667,0.793939393939394
3,3,0.13897859523221312,0.8333333333333334,0.8444444444444444,0.8632478632478634
3,4,0.12736531369244583,0.888888888888889,0.8666666666666666,0.9244444444444444
3,5,0.1359322902303024,0.8833333333333334,0.9199999999999999,0.8666666666666666
4,2,0.30418023645492326,0.65,0.65,0.7291666666666666
4,3,0.11474625127003457,0.8333333333333334,0.9166666666666666,0.8922222222222222
4,4,0.10033112537919775,0.9166666666666666,0.9375,0.899537037037037
4,5,0.39814673643340337,0.61,0.7,0.6309523809523809
5,2,0.3235060969552367,0.6799999999999999,0.6799999999999999,0.7046153846153846
5,3,0.24330496810647553,0.7466666666666667,0.8133333333333332,0.7882352941176471
5,4,0.2006142906450777,0.8333333333333334,0.8699999999999999,0.8
5,5,0.5040805568604781,0.52,0.576,0.5680000000000001
6,2,0.36528212681585315,0.6666666666666666,0.6666666666666666,0.6595238095238095
6,3,0.42431210969514516,0.5888888888888889,0.6111111111111112,0.6192982456140351
6,4,0.3018382402541345,0.75,0.7749999999999999,0.7
6,5,0.33477686447999383,0.6866666666666665,0.7466666666666666,0.6650574712643678
7,2,0.44821077987630636,0.6,0.6,0.6095238095238095
7,3,0.36736866311469923,0.6666666666666667,0.7047619047619047,0.6517006802721088
7,4,0.3577153441303495,0.6571428571428571,0.6857142857142857,0.6952380952380952
7,5,0.3330483576568571,0.7142857142857143,0.7657142857142857,0.7090909090909092
8,2,0.4459378334036253,0.6125,0.6125,0.5890625
8,3,0.4167898170004589,0.6083333333333333,0.6416666666666667,0.6141304347826086
8,4,0.3691985947390289,0.65,0.675,0.6847222222222222
8,5,0.3875523717885917,0.7,0.77,0.6709459459459459
9,2,0.47902056283250616,0.5666666666666667,0.5666666666666667,0.5816993464052287
9,3,0.47311353610209733,0.5407407407407407,0.5703703703703702,0.5804444444444444
9,4,0.4538271029434055,0.5777777777777778,0.6166666666666667,0.6006734006734006
9,5,0.5083254117232436,0.5688888888888889,0.6177777777777778,0.6000542005420054
10,2,0.4870456825338444,0.55,0.55,0.5777777777777777
10,3,0.48088270630786845,0.5333333333333333,0.5666666666666667,0.5777777777777777
10,4,0.49189166283557223,0.55,0.6,0.5777777777777777
10,5,0.5470618182601733,0.54,0.6,0.5734444444444444
