r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.06551801414682432,1.0,1.0,1.0
1,3,0.053469358260324854,1.0,1.0,1.0
1,4,0.04949899402637373,1.0,1.0,1.0
1,5,0.044297662783639016,1.0,1.0,1.0
1,6,0.04043836779076276,1.0,1.0,1.0
1,7,0.03928393109094136,1.0,1.0,1.0
1,8,0.03820357133346103,1.0,1.0,1.0
1,9,0.03798917078045182,1.0,1.0,1.0
1,10,0.033636644547655324,1.0,1.0,1.0
2,2,0.08902407469414762,1.0,1.0,1.0
2,3,0.11655366115677328,0.9166666666666667,0.9333333333333332,0.9
2,4,0.04929943978537184,1.0,1.0,1.0
2,5,0.0524659897575667,1.0,1.0,1.0
2,6,0.042666128194681095,1.0,1.0,1.0
2,7,0.10568560403519896,0.9214285714285715,0.9428571428571428,0.9
2,8,0.12360948747935349,0.9276785714285716,0.94375,0.9
2,9,0.04633263135933812,1.0,1.0,1.0
2,10,0.1988404573343885,0.8505555555555556,0.89,0.8
3,2,0.2078155156652301,0.85,0.85,0.7999999999999999
3,3,0.20544029392097993,0.8222222222222223,0.8444444444444444,0.7999999999999999
3,4,0.15400877617619807,0.8833333333333332,0.9166666666666667,0.8666666666666668
3,5,0.24996541580130138,0.7683333333333333,0.8400000000000001,0.7333333333333333
3,6,0.2563720911142764,0.7744444444444445,0.788888888888889,0.7333333333333332
3,7,0.19470071827089003,0.8452380952380952,0.8285714285714285,0.7999999999999999
3,8,0.15529932084056736,0.9178571428571429,0.9291666666666666,0.9
3,9,0.22993599546224514,0.8384259259259259,0.8592592592592594,0.8
3,10,0.20998574601265124,0.8937037037037037,0.9266666666666665,0.8661865569272976
4,2,0.26551502743500566,0.8,0.8,0.75
4,3,0.2329982950880086,0.8,0.825,0.775
4,4,0.24840775698806866,0.76875,0.75,0.75
4,5,0.2717985020123848,0.77125,0.77,0.75
4,6,0.2294954444572038,0.8483333333333334,0.8458333333333332,0.8248958333333334
4,7,0.3130053612810526,0.7517857142857143,0.7857142857142858,0.7
4,8,0.3048109119399505,0.8758928571428573,0.89375,0.849702380952381
4,9,0.41918676628852725,0.7149305555555555,0.7388888888888889,0.6499368686868687
4,10,0.2927781282036659,0.8277777777777777,0.8,0.7996604938271605
5,2,0.2796952281544932,0.77,0.77,0.72
5,3,0.2860905423405782,0.7333333333333333,0.7533333333333333,0.7
5,4,0.2705216012628695,0.7250000000000001,0.7449999999999999,0.7
5,5,0.3854232607472877,0.673,0.688,0.6399999999999999
5,6,0.4390224457046174,0.6133333333333333,0.6133333333333334,0.5799770114942528
5,7,0.3851617987992806,0.7004761904761905,0.7114285714285714,0.6761327561327561
5,8,0.3831405139876331,0.7049999999999997,0.7299999999999999,0.6599517374517374
5,9,0.4033112912468244,0.7738888888888888,0.7755555555555557,0.7398915989159891
5,10,0.498827156122254,0.6659999999999999,0.6900000000000001,0.5994172839506172
6,2,0.3330899143518355,0.7083333333333334,0.7083333333333334,0.65
