r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.000849310945938564,1.0,1.0,1.0
1,3,0.0035609127296181153,1.0,1.0,1.0
1,4,0.004988138674176941,1.0,1.0,1.0
1,5,0.003282062791969047,1.0,1.0,1.0
2,2,0.0005558441958749105,1.0,1.0,1.0
2,3,0.002165571601927844,1.0,1.0,1.0
2,4,0.40323081989120907,0.625,0.675,0.6
2,5,0.20468863427002285,0.8400000000000001,0.8800000000000001,0.8
3,2,0.2014686451239079,0.8333333333333333,0.8333333333333333,0.8
3,3,0.13917347423381538,0.8666666666666668,0.8666666666666668,0.8666666666666668
3,4,0.15125401088669604,0.888888888888889,0.8666666666666666,0.8666666666666666
3,5,0.14128476439296486,0.8833333333333334,0.9199999999999999,0.8666666666666666
4,2,0.3011483903325721,0.725,0.725,0.7
4,3,0.11476430926874537,0.9166666666666667,0.9333333333333332,0.9
4,4,0.12258890265707863,0.925,0.9375,0.9
4,5,0.4044354803732375,0.665,0.72,0.6
5,2,0.3212012110824184,0.74,0.74,0.6799999999999999
5,3,0.2542328749282833,0.8066666666666666,0.8400000000000001,0.76
5,4,0.21930514746417157,0.8333333333333334,0.8699999999999999,0.8
5,5,0.5468800241950665,0.548,0.608,0.48
6,2,0.37096374328908027,0.6666666666666666,0.6666666666666666,0.6333333333333333
6,3,0.4504118259164119,0.6166666666666666,0.6333333333333333,0.5666666666666667
6,4,0.32599661366907257,0.75,0.7749999999999999,0.7
6,5,0.37977545343110003,0.7,0.7533333333333333,0.6666666666666666
7,2,0.46311835582884886,0.6,0.6,0.5428571428571428
7,3,0.38576690957265913,0.6666666666666667,0.7047619047619047,0.6285714285714287
7,4,0.39063069869457456,0.680952380952381,0.75,0.6285714285714286
7,5,0.3851921748677038,0.72,0.7657142857142857,0.6857142857142857
8,2,0.4581472878685985,0.6125,0.6125,0.55
8,3,0.45538728777652304,0.6249999999999999,0.6416666666666667,0.575
8,4,0.44188500193498326,0.66875,0.69375,0.625
8,5,0.4539072228572988,0.7050000000000001,0.77,0.65
9,2,0.5008735859249837,0.5666666666666667,0.5666666666666667,0.5111111111111111
9,3,0.5187324397900777,0.562962962962963,0.5851851851851851,0.5111111111111111
9,4,0.5210716516987723,0.5944444444444444,0.6333333333333333,0.5333333333333333
9,5,0.6015609164732094,0.5866666666666667,0.6355555555555555,0.5333333333333333
10,2,0.5121054019315872,0.55,0.55,0.5
10,3,0.5420681581862661,0.5666666666666667,0.5666666666666667,0.5
10,4,0.5818408663863502,0.575,0.6,0.5
10,5,0.6378253227144344,0.56,0.6,0.5
