r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0,0.8,0.8,0.9555555555555555
1,3,0.0,0.9,0.8,0.9555555555555555
1,4,0.0,1.0,1.0,1.0
1,5,0.0,0.95,0.8,0.9555555555555557
2,2,0.0,0.55,0.55,0.9099999999999999
2,3,0.0,0.95,0.9,0.9636363636363636
2,4,0.0,0.8916666666666666,0.875,0.925
2,5,0.0,0.885,0.8800000000000001,0.923076923076923
3,2,0.0,0.8,0.8,0.9030303030303031
3,3,0.0,0.8333333333333334,0.7777777777777778,0.9487179487179489
3,4,0.0,0.9777777777777779,1.0,0.9955555555555555
3,5,0.0,0.9066666666666666,0.9199999999999999,0.9568627450980391
4,2,0.0,0.775,0.775,0.9333333333333333
4,3,0.0,0.8,0.8333333333333333,0.9433333333333334
4,4,0.0,0.8541666666666666,0.7875,0.95
4,5,0.0,0.7175,0.7300000000000001,0.8952380952380954
5,2,0.0,0.74,0.74,0.9323076923076924
5,3,0.0,0.76,0.7866666666666667,0.9341176470588234
5,4,0.0,0.7766666666666668,0.7299999999999999,0.9180952380952381
5,5,0.0,0.7979999999999998,0.784,0.9168000000000001
6,2,0.0,0.6666666666666666,0.6666666666666666,0.9190476190476191
6,3,0.0,0.7388888888888888,0.7444444444444445,0.9192982456140351
6,4,0.0,0.7305555555555555,0.7333333333333333,0.9166666666666667
6,5,0.0,0.6799999999999999,0.6466666666666666,0.9057471264367815
7,2,0.0,0.7000000000000001,0.7000000000000001,0.9371428571428572
7,3,0.0,0.6666666666666667,0.6285714285714284,0.8952380952380953
7,4,0.0,0.7547619047619047,0.7142857142857143,0.9301587301587302
7,5,0.0,0.7571428571428572,0.7542857142857142,0.9281385281385279
8,2,0.0,0.625,0.625,0.8953125
8,3,0.0,0.7041666666666667,0.675,0.9119565217391303
8,4,0.0,0.7562500000000001,0.7375,0.9383333333333335
8,5,0.0,0.7112499999999999,0.7050000000000001,0.9175675675675675
9,2,0.0,0.6666666666666667,0.6666666666666667,0.9124183006535947
9,3,0.0,0.6888888888888889,0.6814814814814815,0.9084444444444444
9,4,0.0,0.6722222222222222,0.6777777777777778,0.9138047138047138
9,5,0.0,0.7266666666666667,0.711111111111111,0.9230352303523036
10,2,0.0,0.65,0.65,0.9111111111111111
10,3,0.0,0.6833333333333333,0.6666666666666666,0.9111111111111111
10,4,0.0,0.6583333333333332,0.675,0.9111111111111111
10,5,0.0,0.68,0.68,0.9111111111111112
