r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.012685793722259855,1.0,1.0,1.0
1,3,0.005974390450781964,1.0,1.0,1.0
1,4,0.0076198852932257465,1.0,1.0,1.0
1,5,0.006170926724902451,1.0,1.0,1.0
1,6,0.006774773731557012,1.0,1.0,1.0
1,7,0.006510096997301484,1.0,1.0,1.0
1,8,0.006171727703710743,1.0,1.0,1.0
1,9,0.0063657949680337115,1.0,1.0,1.0
1,10,0.006688469064866349,1.0,1.0,1.0
2,2,0.007313967609810785,1.0,1.0,1.0
2,3,0.06606427041363207,0.9416666666666668,0.9333333333333332,0.9871212121212121
2,4,0.007793507313035892,1.0,1.0,1.0
2,5,0.013015966150903885,1.0,1.0,1.0
2,6,0.009498123856418978,1.0,1.0,1.0
2,7,0.051420381597236386,0.955952380952381,0.9642857142857142,0.981904761904762
2,8,0.047211079783370954,0.9571428571428571,0.95625,0.9818080357142858
2,9,0.012065759062097744,1.0,1.0,1.0
2,10,0.10597058454837019,0.9105555555555555,0.9199999999999999,0.9486728395061729
3,2,0.12801206742150315,0.8833333333333332,0.8833333333333332,0.943939393939394
3,3,0.11449115717095348,0.8888888888888887,0.8888888888888887,0.9722222222222223
3,4,0.08350426524337994,0.9222222222222222,0.925,0.9807407407407407
3,5,0.13075877272064096,0.8716666666666667,0.8733333333333333,0.9683333333333334
3,6,0.12093109033543929,0.8555555555555557,0.8444444444444443,0.9545614035087719
3,7,0.10243735356243369,0.9063492063492063,0.8904761904761905,0.9607709750566894
3,8,0.07235695043712959,0.9291666666666666,0.9083333333333334,0.9460921325051761
3,9,0.09896799968288118,0.9064814814814814,0.8629629629629629,0.9631851851851853
3,10,0.06864427822799515,0.9307407407407406,0.9233333333333335,0.9719204389574759
4,2,0.14805429879732962,0.825,0.825,0.940625
4,3,0.14529260671680505,0.8333333333333334,0.8333333333333334,0.9169444444444445
4,4,0.15955656148419356,0.875,0.875,0.9425925925925928
4,5,0.12989859750470617,0.88375,0.9,0.9664880952380953
4,6,0.11362000780922359,0.9025000000000001,0.9,0.9421875
4,7,0.12670357052956868,0.8619047619047618,0.8892857142857142,0.961309523809524
4,8,0.06777467750792397,0.9316964285714284,0.940625,0.9827976190476191
4,9,0.15523775353606822,0.7902777777777776,0.8,0.9170244107744108
4,10,0.11194176311143675,0.9041666666666668,0.9175000000000001,0.9639969135802469
5,2,0.16637861539798143,0.8299999999999998,0.8299999999999998,0.9415384615384615
5,3,0.1900993931402556,0.7933333333333333,0.7933333333333333,0.9186274509803922
5,4,0.18476108874836666,0.82,0.82,0.9062698412698413
5,5,0.1827436601556262,0.776,0.8160000000000001,0.9163600000000001
5,6,0.17967720980717802,0.7700000000000001,0.7833333333333334,0.9271264367816092
5,7,0.14977310529399587,0.8223809523809524,0.8400000000000001,0.927979797979798
5,8,0.1366142755594734,0.8135714285714286,0.8175000000000001,0.9393050193050195
5,9,0.1323900627288723,0.8472222222222221,0.8466666666666667,0.9397357723577237
5,10,0.176820216215564,0.776,0.786,0.9240345679012345
6,2,0.23324221162745823,0.7166666666666666,0.7166666666666666,0.8345238095238094
6,3,0.15100613650995792,0.85,0.8388888888888889,0.9476608187134502
6,4,0.19383372062899074,0.7777777777777778,0.775,0.9164351851851853
6,5,0.1870451490420316,0.7983333333333333,0.8233333333333335,0.9206896551724137
6,6,0.2497378315400814,0.6788888888888888,0.6861111111111111,0.851356209150327
6,7,0.1567423255736954,0.7876984126984127,0.7833333333333333,0.9323565323565326
6,8,0.15399490206676542,0.7642857142857142,0.7958333333333333,0.9131290584415584
6,9,0.18026655458641758,0.7488425925925926,0.7574074074074074,0.8978032879818594
6,10,0.1531437569753895,0.7938888888888889,0.78,0.9273696844993141
7,2,0.2861713395217561,0.657142857142857,0.657142857142857,0.758095238095238
7,3,0.2600715415923329,0.7023809523809524,0.7,0.8875283446712018
7,4,0.24944736896315386,0.7178571428571429,0.7214285714285715,0.8753968253968253
7,5,0.22032895954039744,0.7435714285714285,0.7485714285714284,0.9108658008658008
7,6,0.21430375155718934,0.7142857142857143,0.7452380952380953,0.8794383394383394
7,7,0.15169323911130275,0.7513605442176872,0.7551020408163265,0.89994708994709
7,8,0.18046801978396104,0.7160714285714285,0.7196428571428573,0.8846538615446178
7,9,0.1470984329284823,0.7906746031746031,0.7968253968253968,0.9138227513227513
7,10,0.13735089661778474,0.7704761904761905,0.8014285714285714,0.9154623330813806
8,2,0.29743516965882844,0.65,0.65,0.77109375
8,3,0.3195029333568618,0.61875,0.6208333333333333,0.7542572463768115
8,4,0.2624170940168888,0.69375,0.703125,0.8577777777777778
