r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.006849558189903899,1.0,1.0,1.0
1,3,0.0019918924302754636,1.0,1.0,1.0
1,4,0.015484951049255704,0.95,1.0,0.9977272727272727
1,5,0.020184870262819177,0.95,0.8400000000000001,0.9918181818181818
2,2,0.008788415266500881,1.0,1.0,1.0
2,3,0.0763388563993053,0.8833333333333332,0.9,0.9909722222222221
2,4,0.015376902467560885,0.9833333333333332,1.0,0.9993333333333332
2,5,0.030885175693215916,0.9400000000000001,0.9800000000000001,0.9934615384615384
3,2,0.017770167945328923,1.0,1.0,1.0
3,3,0.09811649495506652,0.8222222222222222,0.7777777777777778,0.9807692307692308
3,4,0.013981636335271812,1.0,1.0,1.0
3,5,0.015888071388915393,0.9800000000000001,0.9866666666666667,0.9984444444444444
4,2,0.08276091037834452,0.85,0.85,0.944
4,3,0.02718689000144068,0.9083333333333334,0.85,0.9925595238095237
4,4,0.041933233338650254,0.9333333333333332,0.95,0.9888440860215054
4,5,0.14306223209424213,0.8150000000000001,0.72,0.9697058823529412
5,2,0.07994491860006539,0.8399999999999999,0.8399999999999999,0.9576923076923076
5,3,0.029001744438379433,0.8799999999999999,0.8800000000000001,0.9902222222222223
5,4,0.05372757793370615,0.8766666666666666,0.8800000000000001,0.9610784313725491
5,5,0.04600173075168433,0.9280000000000002,0.944,0.9943157894736843
6,2,0.11154093432434324,0.8,0.8,0.9561728395061728
6,3,0.17052516363632836,0.7277777777777777,0.6777777777777778,0.9144097222222222
6,4,0.08204757196177682,0.875,0.85,0.9585585585585588
6,5,0.07906826240702212,0.9099999999999999,0.8866666666666667,0.958968253968254
7,2,0.04377217347301561,0.8714285714285713,0.8714285714285713,0.9903061224489796
7,3,0.05722590143371477,0.9142857142857143,0.9238095238095237,0.9914565826330533
7,4,0.10498747947933418,0.8357142857142856,0.8071428571428572,0.947142857142857
7,5,0.09575512739387296,0.8914285714285715,0.8971428571428571,0.9816770186335404
8,2,0.057370642914082545,0.9125,0.9125,0.9952586206896552
8,3,0.07612699510187589,0.9083333333333334,0.9083333333333334,0.9900462962962961
8,4,0.040767046400471976,0.9145833333333332,0.88125,0.9909399224806201
8,5,0.1942649447923613,0.7125,0.66,0.906375
9,2,0.07909811366835777,0.8111111111111111,0.8111111111111111,0.9470370370370371
9,3,0.08588782220207361,0.8666666666666666,0.874074074074074,0.9673489278752436
9,4,0.12067391432545163,0.85,0.8222222222222222,0.9526972624798711
9,5,0.07231338480322898,0.8522222222222222,0.8577777777777778,0.9727572016460904
10,2,0.17090058926193621,0.65,0.65,0.8974193548387097
10,3,0.06837905224117537,0.8800000000000001,0.8933333333333333,0.97475
10,4,0.10563063152117294,0.8700000000000001,0.85,0.985204081632653
10,5,0.09933122222002563,0.8299999999999998,0.8480000000000001,0.9513793103448276
