r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.007240018807886073,1.0,1.0,1.0
1,3,0.013376655901042103,1.0,1.0,1.0
1,4,0.21376828810355847,0.9333333333333333,1.0,0.9954545454545455
1,5,0.22434794885014736,0.9099999999999999,0.8,0.9863636363636363
2,2,0.09416128465594661,1.0,1.0,1.0
2,3,0.27489295554472837,0.9,0.9,0.9
2,4,0.189948883577138,0.9666666666666666,1.0,0.998
2,5,0.29113529841028757,0.8699999999999999,0.9800000000000001,0.8790384615384615
3,2,0.20022190437655038,1.0,1.0,1.0
3,3,0.27527797609977944,0.7555555555555555,0.7555555555555555,0.8371794871794872
3,4,0.3037208932357166,0.7722222222222223,0.7333333333333333,0.8543650793650794
3,5,0.16717268976742092,0.9433333333333334,0.9333333333333332,0.9575555555555555
4,2,0.2541071171504986,0.8,0.8,0.893
4,3,0.4494469314765236,0.725,0.7333333333333333,0.824702380952381
4,4,0.29775851129225395,0.8166666666666668,0.775,0.9422043010752688
4,5,0.36785931019430385,0.6675,0.6900000000000001,0.6697794117647058
5,2,0.3676445338742673,0.76,0.76,0.8292307692307691
5,3,0.4448202167480216,0.6599999999999999,0.6533333333333333,0.7328888888888889
5,4,0.3446747705963184,0.8666666666666668,0.8699999999999999,0.878921568627451
5,5,0.46297891113492734,0.734,0.7200000000000001,0.8022105263157895
6,2,0.419129045004198,0.7666666666666667,0.7666666666666667,0.8537037037037036
6,3,0.6035984285048248,0.538888888888889,0.5333333333333333,0.5711805555555556
6,4,0.42301040517367,0.736111111111111,0.725,0.8221471471471471
6,5,0.43224004370416236,0.7433333333333333,0.7,0.7941666666666667
7,2,0.4553757938926397,0.7142857142857142,0.7142857142857142,0.763265306122449
7,3,0.41218407776752547,0.7333333333333333,0.7333333333333333,0.7941176470588236
7,4,0.5493386427213496,0.6309523809523808,0.6142857142857142,0.7301190476190476
7,5,0.46022892698978657,0.78,0.8,0.78
8,2,0.27982902530691334,0.775,0.775,0.8844827586206897
8,3,0.4566726899605647,0.725,0.7333333333333333,0.7327546296296297
8,4,0.4329123648270657,0.7520833333333332,0.7375,0.8539244186046512
8,5,0.5392325925421433,0.5925,0.5900000000000001,0.64825
9,2,0.495083907388702,0.6333333333333333,0.6333333333333333,0.7637037037037036
9,3,0.5323980623473555,0.6074074074074074,0.6074074074074074,0.6589668615984404
9,4,0.5547892597518053,0.5592592592592592,0.55,0.6332125603864733
9,5,0.5647613490778152,0.6088888888888888,0.6,0.6750823045267489
10,2,0.6112632756382983,0.51,0.51,0.6445161290322581
10,3,0.4824529345609637,0.6866666666666668,0.6866666666666668,0.7864166666666668
10,4,0.5041921968488187,0.72,0.71,0.7741156462585035
10,5,0.5289939287641001,0.679,0.6839999999999999,0.7168275862068966
