r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.13554089964089358,1.0,1.0,1.0
1,3,0.1012615305419083,1.0,1.0,1.0
1,4,0.11460046997142488,0.8916666666666668,0.9,0.9803030303030302
1,5,0.1437910096672666,0.8550000000000001,0.82,0.9602272727272727
1,6,0.06882702029346158,1.0,1.0,1.0
1,7,0.1723941194856338,0.9428571428571428,0.9,0.9847402597402597
1,8,0.07506068909620145,1.0,1.0,1.0
1,9,0.1817949186497472,0.9958333333333333,1.0,0.9996212121212121
1,10,0.18477058301050753,0.9633333333333333,0.9099999999999999,0.985909090909091
2,2,0.16921970973110398,1.0,1.0,1.0
2,3,0.1637444815154498,0.875,0.8833333333333334,0.8958333333333333
2,4,0.12587704163431665,0.9624999999999998,0.9625,0.9945
2,5,0.15731513742983377,0.9225,0.9,0.9853846153846154
2,6,0.1415218951369206,0.975,0.95,0.9948148148148148
2,7,0.29428325087107804,0.8761904761904763,0.8,0.9685799319727891
2,8,0.16622237566841727,0.9160714285714284,0.9,0.9373152709359605
2,9,0.1907034608774489,0.9354166666666668,0.9055555555555556,0.9731481481481481
2,10,0.20738722163611847,0.8883333333333333,0.86,0.9573655913978495
3,2,0.21409590658553865,0.8666666666666668,0.8666666666666668,0.9826388888888887
3,3,0.11628707794395843,0.9333333333333333,0.9333333333333333,0.9903846153846153
3,4,0.17594181308147622,0.9555555555555557,0.9333333333333332,0.9928571428571429
3,5,0.15866025731669284,0.9733333333333334,0.9733333333333334,0.9927222222222222
3,6,0.24369098621319396,0.9566666666666667,0.9333333333333332,0.9925694444444444
3,7,0.22114738965489647,0.8952380952380953,0.895238095238095,0.9233193277310925
3,8,0.24356462648430113,0.9261904761904762,0.9,0.9304232804232804
3,9,0.23609515481305893,0.899074074074074,0.8777777777777779,0.9685185185185183
3,10,0.3423295838300725,0.7718518518518519,0.7400000000000001,0.920962962962963
4,2,0.15177257189148458,0.9,0.9,0.9720000000000001
4,3,0.10971589834427486,0.9458333333333332,0.95,0.9921130952380954
4,4,0.23798443998431393,0.9062500000000002,0.9125,0.9862903225806452
4,5,0.30649356594891236,0.79125,0.7649999999999999,0.9355882352941176
4,6,0.27138122190968955,0.9091666666666667,0.875,0.9814864864864864
4,7,0.14243247434474263,0.9285714285714285,0.9,0.9463392857142857
4,8,0.30861359143393663,0.8816964285714285,0.89375,0.9617317275747508
4,9,0.2772012092827614,0.8722222222222221,0.8583333333333332,0.9269323671497585
4,10,0.2653276901689412,0.9149999999999998,0.925,0.9384126984126983
5,2,0.2143358286636902,0.86,0.86,0.945
5,3,0.21396456138372652,0.8400000000000001,0.8333333333333334,0.969111111111111
5,4,0.19329370836847048,0.9166666666666666,0.8949999999999999,0.9738235294117648
5,5,0.30355222268450965,0.795,0.768,0.9578947368421051
5,6,0.27791410706057296,0.8940000000000001,0.8800000000000001,0.9133015873015873
5,7,0.2364997392722296,0.9000000000000001,0.8657142857142857,0.9148964803312628
5,8,0.3110317466662742,0.8292857142857143,0.825,0.8974071428571427
