r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.012494514189156147,1.0,1.0,1.0
1,3,0.00487497841263511,1.0,1.0,1.0
1,4,0.0032166292944370276,1.0,1.0,1.0
1,5,0.003204721529806196,1.0,1.0,1.0
2,2,0.0045385648290258585,1.0,1.0,1.0
2,3,0.005129033619029557,1.0,1.0,1.0
2,4,0.001005369553441131,1.0,1.0,1.0
2,5,0.15564587416687742,0.8,0.8,0.86
3,2,0.37488746733636924,0.5333333333333333,0.5333333333333333,0.6625
3,3,0.15807919587314898,0.7333333333333334,0.7333333333333334,0.8255555555555556
3,4,0.19803023987939566,0.7333333333333333,0.7333333333333333,0.8032407407407408
3,5,0.17331804888768187,0.8,0.8,0.8638095238095238
4,2,0.2606174992944998,0.65,0.65,0.7555555555555555
4,3,0.3453998628165993,0.45,0.45,0.6631944444444444
4,4,0.2048913968596521,0.6,0.6,0.7444444444444444
4,5,0.3002377782311011,0.52,0.55,0.6723611111111112
5,2,0.23568716812207047,0.68,0.68,0.78
5,3,0.2702196331914555,0.64,0.64,0.7633333333333333
5,4,0.20657010353825242,0.64,0.64,0.8320370370370371
5,5,0.31313593806030965,0.48999999999999994,0.52,0.6883636363636364
6,2,0.27868340420505366,0.5666666666666667,0.5666666666666667,0.7121212121212122
6,3,0.27902035038317435,0.5555555555555556,0.5666666666666667,0.7736111111111111
6,4,0.2684953464534957,0.5666666666666667,0.5666666666666667,0.7761904761904761
6,5,0.28915132004511246,0.53,0.5666666666666667,0.7378846153846155
7,2,0.2842398412940318,0.5714285714285714,0.5714285714285714,0.7261904761904763
7,3,0.2716438304028848,0.5238095238095238,0.5714285714285714,0.783068783068783
7,4,0.26385441314851166,0.5714285714285714,0.5714285714285714,0.7807539682539683
7,5,0.2688633053450681,0.5428571428571428,0.5714285714285714,0.7821428571428571
