r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.00043079985324046,1.0,1.0,1.0
1,3,0.0005770926748387639,0.9,0.9333333333333333,0.9777777777777779
1,4,0.000635378787802073,0.95,0.95,0.986111111111111
1,5,0.0011521113255481997,0.96,0.96,0.9883333333333333
2,2,0.00038688887848729034,0.8,0.8,0.9714285714285715
2,3,0.002499341096077494,0.8166666666666667,0.9,0.9708333333333332
2,4,0.003428454978001655,0.7916666666666666,0.75,0.9398148148148149
2,5,0.20712417094416793,0.745,0.68,0.7765
3,2,0.46704535334335884,0.3666666666666666,0.3666666666666666,0.5125
3,3,0.2680875486385802,0.5555555555555556,0.6222222222222222,0.7488888888888889
3,4,0.27166631223379534,0.7611111111111111,0.7666666666666667,0.7930555555555555
3,5,0.2111592575631688,0.7233333333333334,0.72,0.7730952380952381
4,2,0.3507778014186439,0.6,0.6,0.6888888888888889
4,3,0.5529718702686159,0.5,0.4833333333333334,0.5430555555555555
4,4,0.40994589208509646,0.6875,0.675,0.7408333333333335
4,5,0.4619041031901535,0.5375,0.49000000000000005,0.5795833333333333
5,2,0.320289361285771,0.6,0.6,0.74
5,3,0.3662693913529154,0.4133333333333334,0.44000000000000006,0.6014285714285714
5,4,0.3841795764917942,0.52,0.57,0.6470370370370372
5,5,0.5091564242292282,0.542,0.45599999999999996,0.5853636363636363
6,2,0.4343713526691123,0.45,0.45,0.5833333333333333
6,3,0.44244073364511405,0.4166666666666667,0.4222222222222222,0.5756944444444445
6,4,0.45603876180529357,0.49722222222222223,0.5333333333333333,0.5822751322751323
6,5,0.4697444908927298,0.4916666666666667,0.41999999999999993,0.5773076923076924
7,2,0.43012011807187867,0.42857142857142855,0.42857142857142855,0.5595238095238095
7,3,0.4385682732564276,0.35714285714285715,0.38095238095238093,0.5449735449735449
7,4,0.45302438372244186,0.4523809523809524,0.5,0.5515873015873016
7,5,0.47669066042690034,0.44285714285714284,0.42857142857142855,0.5466666666666667
