r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5720584177531179,0.21428571428571427,0.21428571428571427,0.5238095238095238
1,3,0.5011330361895449,0.42857142857142855,0.47619047619047616,0.7380952380952381
1,4,0.49197697127919515,0.5357142857142857,0.42857142857142855,0.746031746031746
1,5,0.4916464057571135,0.6357142857142858,0.42857142857142855,0.7630952380952382
1,6,0.47945638731500534,0.7571428571428572,0.5952380952380951,0.8174603174603174
1,7,0.45694741302521685,0.7517006802721088,0.5102040816326531,0.7964852607709751
1,8,0.45994766026446926,0.8163265306122449,0.6607142857142857,0.8375850340136056
1,9,0.44405609591752665,0.8551587301587301,0.634920634920635,0.8554894179894179
1,10,0.44843311345941256,0.8539682539682542,0.7285714285714285,0.8507936507936507
2,2,0.5798321339035503,0.25,0.25,0.5071428571428571
2,3,0.5974793459448483,0.3333333333333333,0.29999999999999993,0.5541666666666666
2,4,0.5751635699674928,0.41666666666666663,0.4,0.6949074074074074
2,5,0.5370668513229818,0.5050000000000001,0.43,0.73375
2,6,0.5260710406727357,0.6066666666666667,0.4916666666666667,0.8013636363636362
2,7,0.37361645582078323,0.7261904761904762,0.6428571428571429,0.852579365079365
2,8,0.43213926325488083,0.6285714285714284,0.5625,0.7768543956043954
2,9,0.47477582629032933,0.6625,0.5555555555555556,0.7763392857142858
2,10,0.4112024553214949,0.7811111111111113,0.7700000000000001,0.8732222222222219
3,2,0.5730245095190475,0.4166666666666667,0.4166666666666667,0.4916666666666667
3,3,0.5942875870924605,0.2944444444444444,0.31111111111111117,0.5583333333333333
3,4,0.508260871853765,0.4194444444444444,0.4416666666666666,0.6872685185185184
3,5,0.49846024818045975,0.4583333333333333,0.42000000000000004,0.707857142857143
3,6,0.4543596227254323,0.45111111111111113,0.39444444444444443,0.7216666666666666
3,7,0.4255764904634945,0.5031746031746032,0.43809523809523804,0.7507495590828922
3,8,0.4511477689657889,0.6380952380952382,0.5458333333333333,0.8143750000000001
3,9,0.41728300749590985,0.5888888888888889,0.5148148148148148,0.7875210437710437
3,10,0.4125446798135293,0.6514814814814816,0.5433333333333333,0.8041512345679012
4,2,0.5175381081159571,0.375,0.375,0.5374999999999999
4,3,0.5102017779979262,0.37500000000000006,0.35833333333333334,0.6402777777777777
4,4,0.5002407929540144,0.36249999999999993,0.3625,0.6291666666666667
4,5,0.5038461251350732,0.33375000000000005,0.33,0.6288194444444446
4,6,0.47957792393195786,0.4041666666666667,0.3458333333333333,0.7065079365079365
4,7,0.41089327919730767,0.49404761904761907,0.43928571428571433,0.7447420634920636
4,8,0.3917654282651097,0.5468749999999999,0.478125,0.7747685185185185
4,9,0.3976956631520262,0.5239583333333334,0.49722222222222234,0.7557060185185186
4,10,0.38697257707863686,0.5627777777777778,0.4725,0.7748316498316496
5,2,0.5629177083544553,0.31999999999999995,0.31999999999999995,0.4640000000000001
5,3,0.5590844153284661,0.33,0.3066666666666667,0.5476190476190477
5,4,0.4705270879686988,0.3716666666666667,0.4,0.6558333333333334
5,5,0.4306347115099192,0.34900000000000003,0.33999999999999997,0.6714545454545455
5,6,0.41971644524271473,0.4193333333333332,0.32999999999999996,0.7373846153846152
5,7,0.3812992419455205,0.4447619047619048,0.38,0.7406349206349205
5,8,0.37162239277681386,0.5210714285714285,0.425,0.7889390756302518
5,9,0.3377669876444039,0.581111111111111,0.5266666666666666,0.8116301169590642
5,10,0.35152869367373896,0.5602222222222222,0.48200000000000004,0.8119417989417987
6,2,0.5559994855791235,0.2857142857142857,0.2857142857142857,0.4740259740259741
6,3,0.5567450101171509,0.28174603174603174,0.2936507936507936,0.5171130952380952
6,4,0.4836940786612357,0.2857142857142857,0.29761904761904756,0.6086545729402871
6,5,0.4029113318739882,0.33333333333333337,0.33333333333333337,0.685485347985348
6,6,0.3859357081077629,0.3880952380952381,0.31349206349206354,0.7300563236047106
6,7,0.3775622845558915,0.4240362811791384,0.380952380952381,0.7429453262786595
6,8,0.35585872946232117,0.4519557823129251,0.4255952380952381,0.7671727227476358
6,9,0.34161978851934005,0.5076058201058201,0.4788359788359788,0.7960374971244536
6,10,0.3342709970022681,0.5055555555555554,0.44523809523809527,0.7919389978213506
7,2,0.5574486913077964,0.21428571428571427,0.21428571428571427,0.4523809523809524
7,3,0.5689839222473213,0.3333333333333333,0.42857142857142855,0.5476190476190477
7,4,0.43009775894294394,0.3452380952380953,0.39285714285714285,0.6383928571428571
7,5,0.4011223898705771,0.30714285714285716,0.22857142857142856,0.6795238095238095
7,6,0.40927907487010134,0.37619047619047613,0.35714285714285715,0.7134920634920634
7,7,0.35513009124833317,0.4625850340136055,0.42857142857142855,0.7847424684159378
7,8,0.3363399789218985,0.4285714285714285,0.42857142857142855,0.7768388605442177
7,9,0.32572768269290264,0.4444444444444444,0.4444444444444444,0.7911155202821869
7,10,0.3212199914369595,0.4650793650793648,0.45714285714285713,0.8056613756613757
