r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5877009027399895,0.2,0.2,0.55
1,3,0.49445166318466177,0.6,0.5999999999999999,0.8111111111111112
1,4,0.40188661367830614,0.8166666666666667,0.8,0.9166666666666666
1,5,0.4772964593070442,0.9199999999999999,0.8800000000000001,0.9600000000000002
2,2,0.2813924150886816,0.65,0.65,0.8071428571428572
2,3,0.38912924457816056,0.7666666666666666,0.7666666666666667,0.90625
2,4,0.25013928944048286,0.7249999999999999,0.7,0.9222222222222223
2,5,0.4456761807565572,0.8149999999999998,0.74,0.925
3,2,0.5628662090123723,0.2,0.2,0.5333333333333333
3,3,0.4263445817581773,0.4444444444444445,0.4444444444444445,0.7788888888888889
3,4,0.5184904818513784,0.5555555555555556,0.45,0.8550925925925925
3,5,0.46069333024168124,0.6699999999999999,0.6,0.8678571428571429
4,2,0.5593221013422702,0.3,0.3,0.5083333333333334
4,3,0.5760106521431302,0.30833333333333335,0.2833333333333333,0.7333333333333333
4,4,0.4890394538576316,0.4625,0.3375,0.8475000000000001
4,5,0.4861261163283501,0.475,0.32999999999999996,0.8495833333333334
5,2,0.4727551816886356,0.36000000000000004,0.36000000000000004,0.5740000000000001
5,3,0.43359347296589396,0.32666666666666666,0.30666666666666664,0.7814285714285714
5,4,0.38051165240149265,0.43666666666666665,0.38,0.8579629629629629
5,5,0.46026148510512244,0.414,0.272,0.8353636363636362
6,2,0.5428459164247966,0.25,0.25,0.4954545454545455
6,3,0.4767823317661821,0.32222222222222224,0.3333333333333333,0.7541666666666667
6,4,0.440788932042004,0.35277777777777775,0.3333333333333333,0.8092592592592591
6,5,0.42184129700099743,0.36500000000000005,0.3466666666666667,0.8242948717948717
7,2,0.5684995256456904,0.21428571428571427,0.21428571428571427,0.44642857142857145
7,3,0.496749354974762,0.2619047619047619,0.19047619047619047,0.701058201058201
7,4,0.42488475969906386,0.3095238095238095,0.25,0.8000992063492064
7,5,0.39696276301016853,0.30714285714285716,0.22857142857142856,0.8
