r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9382273162130748,0.0,0.0,0.08333333333333333
1,3,0.8889348487603488,0.0,0.0,0.17222222222222222
1,4,0.8182308227249374,0.08333333333333333,0.05,0.3
1,5,0.81231294971665,0.07999999999999999,0.0,0.22999999999999998
2,2,0.8529088823285832,0.0,0.0,0.25
2,3,0.8086233238959138,0.016666666666666666,0.0,0.25
2,4,0.75058071741059,0.06666666666666667,0.05,0.3453703703703703
2,5,0.7633947468997464,0.065,0.0,0.3565
3,2,0.8467430150199977,0.0,0.0,0.2375
3,3,0.7501131217232561,0.01111111111111111,0.02222222222222222,0.30444444444444446
3,4,0.7190906419581082,0.05555555555555556,0.05,0.41157407407407404
3,5,0.7158433290607125,0.14,0.05333333333333333,0.4733333333333333
4,2,0.7970521706758528,0.05,0.05,0.3055555555555556
4,3,0.722466987956214,0.03333333333333333,0.016666666666666666,0.42013888888888895
4,4,0.7282560978140664,0.004166666666666667,0.0,0.3927777777777778
4,5,0.7017200423766099,0.10500000000000001,0.07999999999999999,0.5245833333333334
5,2,0.803883368615781,0.0,0.0,0.23800000000000004
5,3,0.7152302728717711,0.04666666666666667,0.04,0.4371428571428571
5,4,0.6849449665751421,0.06,0.06,0.4964814814814815
5,5,0.6482936474728873,0.118,0.04,0.5533636363636363
6,2,0.7577995561706444,0.0,0.0,0.33787878787878783
6,3,0.6949222709713506,0.04444444444444444,0.01111111111111111,0.4770833333333333
6,4,0.6616916435396094,0.08611111111111111,0.016666666666666666,0.5429894179894179
6,5,0.6440946323156727,0.12333333333333334,0.07333333333333333,0.5601923076923077
7,2,0.776540909438113,0.0,0.0,0.37499999999999994
7,3,0.6971806397343532,0.11904761904761904,0.09523809523809523,0.5740740740740742
7,4,0.6514064085337827,0.08333333333333333,0.10714285714285714,0.6180555555555555
7,5,0.6435476621379979,0.15714285714285714,0.17142857142857143,0.621904761904762
