r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8189096557117992,0.0,0.0,0.26666666666666666
1,3,0.8261315098384536,0.23333333333333334,0.26666666666666666,0.3555555555555555
1,4,0.8335747632097723,0.11666666666666665,0.0,0.2333333333333333
1,5,0.8558781627323064,0.3,0.16,0.32166666666666666
2,2,0.8245748931431092,0.0,0.0,0.15
2,3,0.8645043038633471,0.09999999999999999,0.1,0.2854166666666667
2,4,0.8481338276616605,0.025,0.0,0.13981481481481484
2,5,0.8531236523513023,0.17,0.13999999999999999,0.21349999999999997
3,2,0.8309580206845778,0.0,0.0,0.17916666666666667
3,3,0.866833693282312,0.05555555555555556,0.04444444444444444,0.18777777777777777
3,4,0.8807851839759167,0.02222222222222222,0.0,0.10416666666666667
3,5,0.9293649768988386,0.10666666666666666,0.04,0.10904761904761903
4,2,0.8830455893175971,0.0,0.0,0.2111111111111111
4,3,0.9197043438666095,0.05833333333333333,0.03333333333333333,0.2791666666666667
4,4,0.9371953178588397,0.025,0.0,0.0625
4,5,0.9600900273302774,0.01,0.0,0.14402777777777778
5,2,0.9142138705389412,0.0,0.0,0.198
5,3,0.950244241411113,0.04666666666666667,0.04,0.1457142857142857
5,4,0.9797588084202029,0.0,0.0,0.06425925925925927
5,5,0.9746612790006599,0.024,0.0,0.07309090909090908
6,2,0.9279032432098585,0.0,0.0,0.1909090909090909
6,3,0.9745005961943773,0.005555555555555555,0.0,0.15555555555555556
6,4,0.9936397239778252,0.0,0.0,0.0578042328042328
6,5,0.9960617303595187,0.0,0.0,0.07660256410256411
7,2,0.9565160333640347,0.0,0.0,0.19047619047619047
7,3,0.9930485581888323,0.0,0.0,0.1283068783068783
7,4,0.9990902010887107,0.0,0.0,0.05605158730158729
7,5,0.9998373273084784,0.0,0.0,0.06761904761904762
