r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9999877382578145,0.0,0.0,0.05
1,3,0.9999999961017589,0.0,0.0,0.03333333333333333
1,4,0.9999875136930061,0.0,0.0,0.0611111111111111
1,5,0.9999875696690367,0.01,0.0,0.06999999999999998
2,2,0.9999924430835432,0.0,0.0,0.02142857142857143
2,3,0.9999821883575489,0.0,0.0,0.07083333333333333
2,4,0.9999825902738264,0.0,0.0,0.09351851851851853
2,5,0.9999875691636955,0.02,0.0,0.13499999999999998
3,2,0.9999876931884861,0.0,0.0,0.058333333333333334
3,3,0.9999895133908406,0.0,0.0,0.08222222222222222
3,4,0.9999899092510379,0.0,0.0,0.06388888888888888
3,5,0.9999940177727733,0.006666666666666666,0.0,0.03619047619047618
4,2,0.9999889354079865,0.0,0.0,0.05
4,3,0.999990271287548,0.0,0.0,0.10000000000000002
4,4,0.9999968781155684,0.004166666666666667,0.0,0.035555555555555556
4,5,0.9999930374151311,0.0025,0.0,0.10666666666666665
5,2,0.9999893056067007,0.0,0.0,0.05
5,3,0.9999947454105677,0.0,0.0,0.045238095238095244
5,4,0.9999929723436022,0.0,0.0,0.05907407407407408
5,5,0.999993615892828,0.0,0.0,0.05818181818181818
6,2,0.9999920560488142,0.0,0.0,0.03636363636363636
6,3,0.9999929771481917,0.0,0.0,0.07256944444444445
6,4,0.9999935821711976,0.0,0.0,0.06018518518518519
6,5,0.9999928106191744,0.0,0.0,0.08352564102564103
7,2,0.999992262544115,0.0,0.0,0.03571428571428571
7,3,0.9999932282503093,0.0,0.0,0.07142857142857142
7,4,0.9999943001932498,0.0,0.0,0.06398809523809525
7,5,0.999994997208421,0.0,0.0,0.07428571428571429
