r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9073249049802717,0.0,0.0,0.09999999999999999
1,3,0.6692299745230683,0.1,0.06666666666666667,0.2
1,4,0.5530717065466207,0.25,0.15,0.37222222222222234
1,5,0.6248746589411752,0.20999999999999996,0.0,0.30666666666666664
2,2,0.8393569072375746,0.0,0.0,0.15
2,3,0.7773701075389431,0.0,0.0,0.18125
2,4,0.6598140944366848,0.13333333333333333,0.0,0.2944444444444444
2,5,0.5276586279432085,0.24,0.25999999999999995,0.5075
3,2,0.7055641357928906,0.16666666666666666,0.16666666666666666,0.2833333333333333
3,3,0.623736063843346,0.2111111111111111,0.22222222222222224,0.37444444444444447
3,4,0.6402929223839673,0.16111111111111112,0.13333333333333333,0.36064814814814816
3,5,0.5568097789691117,0.19333333333333333,0.16,0.41190476190476194
4,2,0.7545941755806549,0.0,0.0,0.175
4,3,0.6915735831245714,0.10833333333333335,0.11666666666666667,0.3076388888888889
4,4,0.5990462216105437,0.11666666666666665,0.125,0.315
4,5,0.507255033296869,0.2325,0.23999999999999994,0.4956944444444445
5,2,0.734919732916206,0.06000000000000001,0.06000000000000001,0.202
5,3,0.7160395665405422,0.09333333333333334,0.13333333333333336,0.28952380952380946
5,4,0.5880050517500951,0.12666666666666665,0.14,0.4112962962962963
5,5,0.5161661773639977,0.21200000000000002,0.192,0.4835454545454545
6,2,0.7092797520041366,0.05,0.05,0.22424242424242422
6,3,0.7167287243913539,0.08888888888888889,0.08888888888888888,0.33854166666666663
6,4,0.5647631677120375,0.11388888888888889,0.125,0.4044973544973545
6,5,0.5063170056812284,0.24833333333333338,0.22000000000000003,0.5275641025641026
7,2,0.7045124453417806,0.0,0.0,0.27380952380952384
7,3,0.6715724843434604,0.09523809523809523,0.14285714285714285,0.36243386243386244
7,4,0.5454124298410562,0.08333333333333333,0.07142857142857142,0.40773809523809523
7,5,0.4947565419200916,0.30714285714285716,0.3142857142857143,0.5745238095238095
