r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5175986978363984,0.25,0.25,0.7666666666666666
1,3,0.5192865123413349,0.5277777777777778,0.2222222222222222,0.7611111111111111
1,4,0.4968649956883895,0.5972222222222222,0.375,0.7777777777777777
1,5,0.48941470158154954,0.7416666666666667,0.43333333333333335,0.8116666666666666
1,6,0.4805515284197393,0.7944444444444443,0.47222222222222227,0.818888888888889
1,7,0.47359986661655085,0.8253968253968255,0.5,0.8206349206349207
1,8,0.4697995727307931,0.8571428571428571,0.5,0.8226190476190477
1,9,0.4612390216453586,0.875,0.5,0.8212962962962962
1,10,0.4444097713442458,0.888888888888889,0.5,0.8199999999999997
2,2,0.47121393308000153,0.25,0.25,0.7791666666666668
2,3,0.5926695566545106,0.41666666666666663,0.21666666666666665,0.7630952380952382
2,4,0.4988704683817704,0.5416666666666667,0.3375,0.7697916666666667
2,5,0.4460078805777451,0.6275,0.41,0.7913888888888889
2,6,0.5046263358768188,0.6766666666666667,0.3666666666666667,0.813
2,7,0.5109471438665854,0.7142857142857143,0.4428571428571429,0.8017316017316014
2,8,0.4324727563771106,0.7232142857142858,0.45625,0.7984374999999999
2,9,0.5000370128978797,0.7020833333333334,0.4333333333333333,0.7807158119658115
2,10,0.5122173088746017,0.703888888888889,0.39,0.7852380952380955
3,2,0.5612426494099956,0.2333333333333333,0.2333333333333333,0.7761904761904762
3,3,0.6316832239622299,0.3111111111111111,0.22222222222222218,0.7117283950617284
3,4,0.580057289407555,0.45,0.20833333333333334,0.7277777777777776
3,5,0.5708401141690844,0.4833333333333333,0.33999999999999997,0.7293589743589743
3,6,0.5981089940696764,0.49444444444444435,0.3055555555555556,0.7427407407407408
3,7,0.6055214740653361,0.5825396825396825,0.22380952380952382,0.7539682539682538
3,8,0.604625578591724,0.5380952380952382,0.30000000000000004,0.7143796992481202
3,9,0.6507019587518328,0.5435185185185184,0.24074074074074076,0.6854717813051141
3,10,0.5768712703980936,0.605925925925926,0.2733333333333333,0.7592914653784225
4,2,0.6186615706306154,0.25,0.25,0.765625
4,3,0.5822087665120713,0.36666666666666664,0.31666666666666665,0.7390151515151516
4,4,0.6306110086289528,0.3895833333333334,0.25625,0.7107142857142857
4,5,0.6498867907613051,0.4149999999999999,0.255,0.7086029411764704
4,6,0.626627840964644,0.45083333333333336,0.325,0.7224583333333332
4,7,0.6586681081953242,0.4357142857142858,0.2678571428571429,0.6871635610766046
4,8,0.6241983275067575,0.4633928571428572,0.253125,0.6826923076923075
4,9,0.6200413451965827,0.4722222222222222,0.28055555555555556,0.6897270114942529
4,10,0.6561888912409277,0.47250000000000003,0.27,0.677890625
5,2,0.6189421229306707,0.3,0.3,0.7592592592592592
5,3,0.6402973642084907,0.3444444444444445,0.28888888888888886,0.711965811965812
5,4,0.6492962325802093,0.3638888888888889,0.2916666666666667,0.6828431372549021
5,5,0.6541754158646659,0.38000000000000006,0.3,0.6833333333333332
5,6,0.6585781394312633,0.3855555555555556,0.3,0.6754666666666669
5,7,0.6631359193382329,0.38492063492063494,0.29523809523809524,0.6667214012041596
5,8,0.668711607296825,0.3875,0.29583333333333334,0.656583694083694
5,9,0.6700106573413144,0.40972222222222215,0.3037037037037037,0.6523648648648651
5,10,0.6700409401758183,0.4181481481481482,0.29666666666666663,0.6559620596205963
6,2,0.6342832341499135,0.3333333333333333,0.3333333333333333,0.75
6,3,0.6609630864536282,0.3333333333333333,0.3333333333333333,0.6962962962962963
6,4,0.6737961528543067,0.3333333333333333,0.3333333333333333,0.6743055555555556
6,5,0.683033375246921,0.3416666666666667,0.3333333333333333,0.6710000000000002
6,6,0.6917580426867111,0.34444444444444444,0.3333333333333333,0.6551851851851853
6,7,0.7010470378045767,0.33333333333333337,0.3333333333333333,0.6487528344671202
6,8,0.7103264088535801,0.33035714285714285,0.3333333333333333,0.6371279761904759
6,9,0.7156702516803911,0.35185185185185186,0.3333333333333333,0.6366769547325098
6,10,0.7179337144677774,0.362962962962963,0.3333333333333333,0.639555555555555
