r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9645011022459614,0.0,0.0,0.7000000000000001
1,3,0.9759672830768288,0.25,0.0,0.6833333333333332
1,4,0.9789895960766887,0.4444444444444444,0.041666666666666664,0.6305555555555554
1,5,0.9819242453654605,0.5583333333333332,0.0,0.6266666666666666
1,6,0.9831128227994341,0.6222222222222222,0.05555555555555555,0.6111111111111112
1,7,0.9840950529341974,0.6468253968253967,0.16666666666666666,0.585714285714286
1,8,0.9851055670440644,0.6755952380952381,0.16666666666666666,0.573214285714286
1,9,0.9858584689478248,0.7245370370370371,0.24074074074074073,0.5879629629629632
1,10,0.9865380895206926,0.7462962962962963,0.21666666666666665,0.5774074074074077
2,2,0.9635645024664582,0.0,0.0,0.7208333333333333
2,3,0.9739580978855651,0.30000000000000004,0.08333333333333333,0.6916666666666665
2,4,0.9726609866259773,0.4375,0.1875,0.6927083333333334
2,5,0.9748655072255368,0.5075000000000001,0.2,0.6991666666666668
2,6,0.9767392904853367,0.5583333333333333,0.225,0.7186666666666668
2,7,0.9803614061730253,0.6035714285714285,0.1857142857142857,0.7004329004329001
2,8,0.9762893323730548,0.638392857142857,0.275,0.7302083333333331
2,9,0.9794539180415385,0.6465277777777778,0.3388888888888889,0.6982371794871791
2,10,0.9814323027487275,0.667777777777778,0.33,0.7125793650793651
3,2,0.9650798433502885,0.03333333333333333,0.03333333333333333,0.7095238095238096
3,3,0.9763398178290588,0.2,0.07777777777777777,0.5969135802469137
3,4,0.9746651222977853,0.3666666666666667,0.15833333333333333,0.6734848484848485
3,5,0.9784122729387328,0.39166666666666666,0.21999999999999997,0.6519230769230769
3,6,0.977609940867293,0.43666666666666654,0.2611111111111111,0.6868888888888888
3,7,0.9834966737252641,0.5357142857142857,0.1857142857142857,0.7178338001867413
3,8,0.9818427651669792,0.5119047619047618,0.30416666666666664,0.6521616541353381
3,9,0.9855285346587431,0.5537037037037036,0.274074074074074,0.6422178130511459
3,10,0.9827380563444116,0.5640740740740743,0.2766666666666667,0.6723188405797105
4,2,0.9643998832576554,0.0875,0.0875,0.7359375
4,3,0.970807201494187,0.24583333333333335,0.20833333333333331,0.6715909090909091
4,4,0.9759911791660804,0.3375,0.21875,0.6770833333333334
4,5,0.9788093255075407,0.36625,0.255,0.6726470588235294
4,6,0.9807855803554755,0.4325,0.3125,0.7
4,7,0.9823421059061344,0.43571428571428567,0.23214285714285712,0.6604813664596273
4,8,0.9815754583818261,0.5022321428571428,0.25,0.6968578296703293
4,9,0.9825191897314115,0.49722222222222223,0.3083333333333333,0.6664750957854406
4,10,0.9850966939744448,0.4886111111111113,0.25999999999999995,0.6398177083333333
5,2,0.9641884909188599,0.13333333333333333,0.13333333333333333,0.75
5,3,0.9720764670789072,0.20555555555555557,0.16666666666666666,0.6615384615384615
5,4,0.9768307640755878,0.2888888888888889,0.19166666666666665,0.6751633986928106
5,5,0.9778737810680341,0.3766666666666667,0.2733333333333333,0.6941269841269841
5,6,0.9792949454673766,0.39333333333333337,0.3055555555555555,0.6872444444444447
5,7,0.9806685723972258,0.39126984126984127,0.29523809523809524,0.6748221127531471
5,8,0.9823834456638677,0.4136904761904762,0.2791666666666666,0.6648088023088022
5,9,0.9831848197408783,0.43657407407407406,0.30370370370370364,0.6566316316316317
5,10,0.9845046929323321,0.4485185185185186,0.29666666666666663,0.6431978319783199
6,2,0.9632843567153678,0.16666666666666666,0.16666666666666666,0.7583333333333333
6,3,0.9735259683998967,0.16666666666666666,0.16666666666666666,0.6574074074074073
6,4,0.9785280011061098,0.2638888888888889,0.20833333333333334,0.6840277777777777
6,5,0.978850105813097,0.35,0.3,0.6963333333333334
6,6,0.9792079600488649,0.36111111111111116,0.3333333333333333,0.682962962962963
6,7,0.979958700185942,0.3492063492063493,0.3333333333333333,0.6625850340136056
6,8,0.981913944905703,0.36011904761904767,0.3125,0.6366815476190477
6,9,0.983038128016433,0.3726851851851852,0.3333333333333333,0.6245370370370371
6,10,0.984778561332836,0.388888888888889,0.31666666666666665,0.5993703703703704
