r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9236601888042835,0.0,0.0,0.13999999999999999
1,3,0.9752574732421658,0.0,0.0,0.02
1,4,0.7833349345935556,0.2333333333333333,0.1,0.38
1,5,0.7980651002493511,0.28,0.08,0.382
2,2,0.9463387247813817,0.0,0.0,0.008333333333333333
2,3,0.856433615161006,0.08333333333333334,0.1,0.25
2,4,0.8285741546866607,0.09999999999999999,0.025,0.38958333333333334
2,5,0.7229645919715433,0.275,0.02,0.5844444444444445
3,2,0.9212494780173636,0.0,0.0,0.06666666666666668
3,3,0.8340257667126508,0.07777777777777778,0.06666666666666667,0.24938271604938267
3,4,0.8035778110130082,0.044444444444444446,0.0,0.41616161616161607
3,5,0.6442466715137061,0.19,0.13333333333333336,0.5448717948717949
4,2,0.8669775059653227,0.025,0.025,0.125
4,3,0.844413869993638,0.04166666666666667,0.03333333333333333,0.2643939393939394
4,4,0.6950556224638589,0.15000000000000002,0.1375,0.4833333333333333
4,5,0.6041524359297766,0.22749999999999998,0.13,0.6142647058823529
5,2,0.850138643597273,0.06000000000000001,0.06000000000000001,0.11111111111111112
5,3,0.8369039447382578,0.08666666666666667,0.08,0.3317948717948718
5,4,0.6043708111648866,0.12666666666666665,0.13,0.49450980392156857
5,5,0.5666046958613639,0.21600000000000003,0.152,0.65
6,2,0.8199739412817032,0.08333333333333333,0.08333333333333333,0.15833333333333335
6,3,0.762834790960549,0.08333333333333333,0.0,0.2537037037037037
6,4,0.6171476702738192,0.08333333333333333,0.08333333333333333,0.44375000000000003
6,5,0.5070197482683327,0.20833333333333334,0.16666666666666666,0.6586666666666666
