r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7261603865442217,0.0,0.0,0.13095238095238096
1,3,0.7722335130400279,0.0,0.0,0.15079365079365076
1,4,0.7880843522383396,0.0,0.0,0.16071428571428573
1,5,0.8168633765111857,0.014285714285714287,0.0,0.176984126984127
1,6,0.8298131117554035,0.10952380952380951,0.0,0.18333333333333332
1,7,0.8384342360718845,0.2018140589569161,0.0,0.18877551020408162
1,8,0.8390262289602589,0.30867346938775503,0.0,0.1907596371882086
1,9,0.8546832976988125,0.39285714285714285,0.0,0.20138888888888884
1,10,0.8527078226538346,0.45,0.0,0.19894179894179884
2,2,0.6971041605036179,0.0,0.0,0.20714285714285713
2,3,0.7590263063439885,0.0,0.0,0.215625
2,4,0.7263820229141873,0.029166666666666664,0.0,0.29126157407407405
2,5,0.7307789338470335,0.0475,0.0,0.32512499999999994
2,6,0.7745484354880752,0.06388888888888888,0.0,0.3189015151515151
2,7,0.7228518476635173,0.16214285714285714,0.0,0.4104166666666666
2,8,0.7256502284818099,0.23944805194805188,0.00625,0.4526385073260074
2,9,0.7582962168029004,0.30590277777777775,0.0,0.4405009920634921
2,10,0.7220937493276189,0.3968803418803418,0.034999999999999996,0.5286388888888889
3,2,0.6708101373235145,0.0,0.0,0.25625
3,3,0.7415385860263527,0.01111111111111111,0.0,0.2727777777777778
3,4,0.7282638529956389,0.03358585858585858,0.0,0.3413089225589225
3,5,0.7004707797670298,0.0708974358974359,0.013333333333333332,0.3878769841269841
3,6,0.6479123617539889,0.11866666666666666,0.016666666666666666,0.47584935897435904
3,7,0.7279204860536735,0.1464519140989729,0.0047619047619047615,0.44538296800201566
3,8,0.6993310415576649,0.23856516290726817,0.030263157894736843,0.4864781746031747
3,9,0.7242063779543434,0.19894179894179892,0.0,0.4721643518518519
3,10,0.6667465624649316,0.3198550724637681,0.01666666666666667,0.580319535221496
4,2,0.649547475602711,0.0,0.0,0.2666666666666667
4,3,0.711927423485734,0.0,0.0,0.2784722222222222
4,4,0.7073147738645524,0.02333333333333333,0.0,0.37740079365079365
4,5,0.683340887589909,0.06944444444444445,0.030555555555555558,0.42205150462962954
4,6,0.6225817826703381,0.15464285714285714,0.04642857142857143,0.5198412698412698
4,7,0.6380631734438109,0.19047619047619047,0.05714285714285714,0.5145238095238096
4,8,0.6133753490007263,0.20772156084656085,0.044328703703703703,0.5510501843835176
4,9,0.6604463151090622,0.3003472222222222,0.025,0.5331452546296297
4,10,0.7189420942325216,0.26625420875420874,0.02727272727272727,0.5534990934990934
5,2,0.6591794828550783,0.01,0.01,0.296
5,3,0.6227169391421709,0.006666666666666666,0.006666666666666666,0.3095238095238095
5,4,0.6328523272213781,0.04552631578947368,0.030263157894736843,0.4276742919389978
5,5,0.6026309562435215,0.10030434782608695,0.058434782608695654,0.4854515151515151
5,6,0.6767200048797668,0.12940740740740744,0.007407407407407407,0.48503344481605354
5,7,0.6528245638134418,0.1856221198156682,0.04792626728110598,0.5442576312576313
5,8,0.6729764535464563,0.19270408163265304,0.06107142857142857,0.5176654109919829
5,9,0.6266547085291179,0.27329059829059826,0.06888888888888889,0.55539153874269
5,10,0.6619347337149573,0.2873850129198966,0.053209302325581395,0.5966105820105818
6,2,0.6278679978199542,0.0,0.0,0.3116883116883117
6,3,0.6256778842032975,0.003968253968253968,0.0,0.3330853174603175
6,4,0.6116562141878542,0.04278812974465148,0.018115942028985508,0.442828798185941
6,5,0.6150870416154296,0.10204081632653061,0.05578231292517006,0.5049984737484737
6,6,0.6139789410419075,0.15180375180375183,0.0551948051948052,0.5262206495501426
6,7,0.6106846051419917,0.1989795918367347,0.12531328320802004,0.5787804705215419
6,8,0.6270381418253513,0.21341559879765865,0.13538205980066445,0.5514683346238224
6,9,0.6341074373208688,0.25012400793650796,0.1164021164021164,0.5658212560386474
6,10,0.6321659764321542,0.2943446141559349,0.13306379155435757,0.6140955540465344
7,2,0.6165091351044371,0.0,0.0,0.3392857142857143
7,3,0.6083107135029742,0.0,0.0,0.35714285714285715
7,4,0.5968498367269951,0.037037037037037035,0.0,0.4667443064182195
7,5,0.6000253565616439,0.09090909090909091,0.0,0.5181405895691611
7,6,0.5989847080483941,0.14871794871794877,0.10256410256410256,0.5408369408369408
7,7,0.5953662018016725,0.20370370370370378,0.15555555555555556,0.5964315550781717
7,8,0.6142456830572207,0.2100840336134454,0.17647058823529413,0.5544019933554818
7,9,0.6216137446849145,0.24342105263157895,0.12280701754385964,0.5675016534391534
7,10,0.6194149420172286,0.29629629629629634,0.19047619047619047,0.6199835280023958
