r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.03458017673298315,0.8571428571428571,0.8571428571428571,0.9285714285714286
1,3,0.04857525770975607,0.8571428571428571,0.9523809523809523,0.9087301587301587
1,4,0.06296912550857763,0.8095238095238094,0.8928571428571429,0.9007936507936508
1,5,0.057718186390097743,0.8071428571428572,0.9714285714285714,0.9166666666666666
1,6,0.06950508388277742,0.7952380952380952,0.9285714285714286,0.9031746031746032
1,7,0.07816939727222105,0.7891156462585034,0.9591836734693878,0.9064625850340136
1,8,0.0762067509201191,0.8010204081632653,0.9464285714285714,0.9107142857142857
1,9,0.08081720024543834,0.8075396825396826,0.9841269841269842,0.9242724867724867
1,10,0.08248586533965818,0.8246031746031746,1.0,0.9330687830687829
2,2,0.08034516175483723,0.75,0.75,0.8642857142857142
2,3,0.08074508710539137,0.8083333333333332,0.9000000000000001,0.8760416666666666
2,4,0.07951574208879156,0.7976190476190479,0.8928571428571429,0.920138888888889
2,5,0.12699806962301713,0.731875,0.905,0.85925
2,6,0.10851161139015526,0.7833333333333334,0.8805555555555555,0.8888825757575758
2,7,0.10501571582904319,0.8147619047619049,0.8857142857142858,0.909672619047619
2,8,0.11333155119496563,0.8385551948051949,0.93125,0.9013736263736263
2,9,0.11972592503015193,0.7944444444444445,0.9194444444444445,0.8835441468253968
2,10,0.10299322251916374,0.8497863247863249,0.9799999999999999,0.9157546296296296
3,2,0.08156497262541289,0.6666666666666666,0.6666666666666666,0.8354166666666666
3,3,0.07036507083666182,0.7944444444444445,0.9111111111111112,0.8783333333333335
3,4,0.1299830152697628,0.698989898989899,0.8340909090909092,0.8369739057239057
3,5,0.09807330671509987,0.7626923076923078,0.9123076923076925,0.8723809523809523
3,6,0.12155526909754333,0.8117777777777778,0.8800000000000001,0.8818429487179487
3,7,0.11098854553952142,0.7930438842203549,0.8394957983193277,0.9069664902998236
3,8,0.17135741702899618,0.7488408521303258,0.843640350877193,0.8531051587301587
3,9,0.15391225431993513,0.7944444444444444,0.8656084656084655,0.8770438762626263
3,10,0.1502952838367658,0.782109500805153,0.8849275362318842,0.8748692810457515
4,2,0.07417123928135472,0.7625,0.7625,0.8736111111111111
4,3,0.12485079869791982,0.6791666666666668,0.7833333333333334,0.8180555555555555
4,4,0.10257797896858778,0.7755555555555556,0.8616666666666667,0.9096626984126985
4,5,0.13809661209785198,0.6708333333333333,0.8472222222222221,0.8506278935185184
4,6,0.12572197928989462,0.729047619047619,0.8535714285714286,0.8607208994708995
4,7,0.12226896019155276,0.7170634920634921,0.8482142857142858,0.8737400793650794
4,8,0.10468787660604432,0.8177744708994709,0.9152777777777779,0.9074905804072472
4,9,0.13388461465456233,0.7899305555555555,0.8716666666666667,0.8714091435185187
4,10,0.18732872661314398,0.6977188552188552,0.8009848484848485,0.8421885521885522
5,2,0.07963910944234556,0.72,0.72,0.8780000000000001
5,3,0.10452496305827692,0.7433333333333334,0.8400000000000001,0.8476190476190476
5,4,0.15325216812694648,0.6857894736842106,0.8602631578947368,0.8550000000000001
5,5,0.12729499915031084,0.6923478260869567,0.8650434782608695,0.8634121212121212
5,6,0.15855503457860293,0.6608148148148149,0.8207407407407408,0.8434102564102565
5,7,0.15012863289876527,0.6752073732718895,0.7757603686635945,0.8526446886446886
5,8,0.1922699011141272,0.6821428571428572,0.8278571428571428,0.8266175263208732
5,9,0.18859167947631814,0.6707905982905984,0.7977777777777778,0.8138281249999999
5,10,0.18514144147162423,0.6793591731266149,0.7947906976744185,0.8355661375661375
6,2,0.0835285823832367,0.630952380952381,0.630952380952381,0.8766233766233766
6,3,0.12991087186165856,0.6587301587301587,0.738095238095238,0.8055555555555555
6,4,0.160692002442131,0.6544168391994479,0.888457556935818,0.8570625472411187
6,5,0.16751460270002774,0.5799319727891156,0.7727891156462584,0.8244047619047619
6,6,0.17424885394643544,0.5743867243867244,0.7691197691197693,0.8149550142637701
6,7,0.16878919330192946,0.5972968134622271,0.7056928034371645,0.822241512345679
6,8,0.1868074235472381,0.6000039550704003,0.7815614617940199,0.803169302951533
6,9,0.18548786537776865,0.6051587301587301,0.7602513227513228,0.8103616718426502
6,10,0.18672245239669918,0.6016422082459817,0.7023360287511231,0.8119084165652793
7,2,0.08216220253691399,0.5714285714285714,0.5714285714285714,0.880952380952381
7,3,0.1459098246857982,0.6190476190476191,0.6666666666666666,0.7817460317460317
7,4,0.1758448473779294,0.6049382716049381,0.8888888888888888,0.8457556935817806
7,5,0.17355435020984053,0.5606060606060606,0.7272727272727273,0.8132936507936508
7,6,0.18271691645487162,0.5230769230769231,0.717948717948718,0.802092352092352
7,7,0.17554578093648748,0.5185185185185186,0.6,0.7946652345148585
7,8,0.20518729830139595,0.5098039215686275,0.7450980392156863,0.765357208774983
7,9,0.20300751987967655,0.5460526315789473,0.7017543859649122,0.7855076058201057
7,10,0.20663122343067908,0.5273368606701943,0.6190476190476191,0.7798143156633722
