r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8072426515568386,0.0,0.0,0.16666666666666666
1,3,0.8335458899977627,0.0,0.0,0.08333333333333333
1,4,0.8108720293557236,0.16666666666666666,0.0,0.15277777777777776
1,5,0.7923176787123997,0.3375,0.0,0.12083333333333329
1,6,0.8323727293658356,0.5166666666666667,0.0,0.1833333333333333
1,7,0.8383325475004567,0.5773809523809523,0.0,0.18452380952380953
1,8,0.8621962956691498,0.6517857142857143,0.0,0.2083333333333334
1,9,0.8604421622135144,0.6775793650793651,0.0,0.20023148148148145
1,10,0.8635318339207997,0.7011904761904761,0.0,0.2018518518518517
2,2,0.7296105346372991,0.0,0.0,0.21875
2,3,0.7597316373404016,0.041666666666666664,0.0,0.31666666666666665
2,4,0.725775446223336,0.17361111111111113,0.0,0.3865740740740741
2,5,0.7187182768244478,0.2791666666666666,0.016666666666666666,0.4482142857142857
2,6,0.7247427337591711,0.38535353535353534,0.08333333333333333,0.4946676587301588
2,7,0.7161318657261253,0.4781746031746032,0.08333333333333333,0.5339852607709751
2,8,0.7109585099488364,0.559065934065934,0.08333333333333333,0.5849107142857142
2,9,0.7110729142866644,0.5932539682539683,0.08333333333333333,0.5766233766233765
2,10,0.7181245630771471,0.6280864197530865,0.08333333333333333,0.5729717813051147
3,2,0.6706719185115904,0.0,0.0,0.26666666666666666
3,3,0.7093429283978473,0.1388888888888889,0.05555555555555555,0.4226190476190476
3,4,0.6671100019581797,0.24305555555555552,0.1875,0.5138888888888888
3,5,0.6828139256393149,0.3166666666666667,0.2,0.5541666666666667
3,6,0.6504047204640133,0.3977124183006536,0.21568627450980393,0.5966524216524216
3,7,0.6394174567219117,0.4821428571428571,0.2543859649122807,0.6131471306471308
3,8,0.6190867301165702,0.5712159863945576,0.2619047619047619,0.6720263105242098
3,9,0.6203198099866176,0.584591384863124,0.2681159420289855,0.6517340805717997
3,10,0.6244874910760687,0.6318518518518519,0.2833333333333333,0.6558641975308641
4,2,0.6285561783446781,0.0,0.0,0.375
4,3,0.6150983583746155,0.2916666666666667,0.25,0.4814814814814815
4,4,0.6199391073671054,0.2708333333333333,0.25,0.5399305555555556
4,5,0.6256422504771046,0.3375,0.25,0.5525
4,6,0.5962799058606705,0.4,0.2608695652173913,0.5957924836601308
4,7,0.5893595003103143,0.423076923076923,0.2692307692307692,0.569392230576441
4,8,0.5625365431185901,0.522167487684729,0.27586206896551724,0.6373830782312926
4,9,0.5655654953772187,0.51953125,0.28125,0.5879428341384862
4,10,0.5591341654402489,0.5555555555555555,0.2857142857142857,0.5930000000000001
