r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.45064949854874853,0.5,0.5,0.5416666666666667
1,3,0.5089663555260463,0.5,0.5,0.5
1,4,0.24818497700116582,0.6041666666666666,0.625,0.6111111111111112
1,5,0.2018482698979779,0.7375,0.5,0.6208333333333333
1,6,0.1984774151346992,0.6916666666666667,0.8333333333333333,0.6666666666666667
1,7,0.17762951307100305,0.7023809523809523,0.8571428571428572,0.7162698412698413
1,8,0.13420504868562724,0.75,0.875,0.7976190476190477
1,9,0.12477951793244658,0.7713293650793651,0.8888888888888888,0.7824074074074074
1,10,0.11637971506437012,0.7817460317460317,0.875,0.7814814814814816
2,2,0.39986093403041895,0.4166666666666667,0.4166666666666667,0.53125
2,3,0.48554343193622573,0.40277777777777773,0.3333333333333333,0.4694444444444445
2,4,0.3558246051030814,0.4583333333333333,0.5208333333333334,0.5636574074074074
2,5,0.3736722700100992,0.42916666666666664,0.46666666666666673,0.5571428571428572
2,6,0.3258446709080032,0.5171717171717173,0.5681818181818182,0.6146577380952382
2,7,0.33519622182807257,0.5327380952380952,0.5674603174603174,0.6008566389518771
2,8,0.28494834267240515,0.6087454212454212,0.686698717948718,0.6738945578231292
2,9,0.3014713618253329,0.5987103174603174,0.6653439153439153,0.6488395863395863
2,10,0.30430682916366497,0.6191358024691357,0.6694444444444444,0.6493937389770722
3,2,0.3500096091018139,0.375,0.375,0.55
3,3,0.4817371812383928,0.3194444444444444,0.25,0.43452380952380953
3,4,0.4057212270911684,0.3749999999999999,0.4375,0.5123456790123457
3,5,0.4428993931821967,0.36666666666666664,0.41666666666666663,0.5007575757575757
3,6,0.3762038113600672,0.4491830065359478,0.4632352941176471,0.5529024216524216
3,7,0.39101656379489325,0.4369256474519633,0.462406015037594,0.5358262108262108
3,8,0.35552375101983924,0.4674744897959183,0.6011904761904762,0.5770408163265306
3,9,0.3828295340265453,0.4768518518518518,0.5225442834138486,0.5504873294346978
3,10,0.3683094308255809,0.48351851851851846,0.5033333333333333,0.5528328924162258
4,2,0.3151183751125041,0.375,0.375,0.5833333333333334
4,3,0.4999723230764306,0.25,0.25,0.4027777777777778
4,4,0.34707504588425775,0.3749999999999999,0.375,0.513888888888889
4,5,0.36197326511305367,0.325,0.35,0.4833333333333334
4,6,0.32894410201141877,0.39130434782608703,0.34782608695652173,0.5034313725490196
4,7,0.33886072479298207,0.37820512820512814,0.3076923076923077,0.5328007518796991
4,8,0.3248749232496276,0.37931034482758635,0.4827586206896552,0.5651785714285714
4,9,0.33717673764700445,0.41015625,0.375,0.5302334943639292
4,10,0.33942952281376276,0.45079365079365075,0.42857142857142855,0.5307777777777778
