r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.4790488814354496,0.5,0.5,0.5416666666666667
1,3,0.48123222243653724,0.5,0.5,0.5
1,4,0.47597595263236,0.5625,0.5,0.5625
1,5,0.4759205134293651,0.65,0.5,0.5333333333333333
2,2,0.5117559441766318,0.5,0.5,0.55
2,3,0.6219288506540586,0.4,0.4666666666666666,0.5
2,4,0.531994445809749,0.4916666666666666,0.575,0.575
2,5,0.6598724687885795,0.39499999999999996,0.38,0.5257142857142856
3,2,0.5321649821823353,0.5,0.5,0.5583333333333333
3,3,0.6873137233740699,0.3333333333333333,0.38888888888888884,0.4563492063492064
3,4,0.6861805906606425,0.3194444444444444,0.4375,0.5077160493827161
3,5,0.7272063611803998,0.2916666666666667,0.31666666666666665,0.4738636363636363
4,2,0.5601697977586659,0.5,0.5,0.5624999999999999
4,3,0.7456382888587493,0.25,0.25,0.39814814814814814
4,4,0.722293510305375,0.29166666666666663,0.375,0.4965277777777778
4,5,0.7523939464843823,0.275,0.25,0.4658333333333334
