r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6371308911912112,0.5,0.5,0.7083333333333333
1,3,0.6735867375485458,0.625,0.5,0.6944444444444444
1,4,0.7443258098657932,0.625,0.5,0.625
1,5,0.7743047647571634,0.6499999999999999,0.5,0.575
2,2,0.7304611588244541,0.5,0.5,0.7
2,3,0.7822250581571355,0.5166666666666666,0.5333333333333334,0.6033333333333333
2,4,0.7936103989857222,0.5333333333333334,0.45,0.6111111111111112
2,5,0.8370265605578748,0.55,0.48,0.6285714285714287
3,2,0.7437846949087956,0.6666666666666666,0.6666666666666666,0.7666666666666667
3,3,0.8474861394098128,0.5138888888888888,0.5277777777777778,0.5972222222222222
3,4,0.8735835752152195,0.4583333333333333,0.47916666666666663,0.5856481481481481
3,5,0.8681030949455417,0.48333333333333334,0.4833333333333334,0.5999999999999999
4,2,0.7976074631130194,0.75,0.75,0.7916666666666667
4,3,0.8847205248806072,0.5,0.5,0.5555555555555556
4,4,0.8882735118339645,0.45833333333333337,0.5625,0.5885416666666666
4,5,0.8903168369152956,0.475,0.5,0.5966666666666667
