r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5298800024764299,0.375,0.375,0.5833333333333333
1,3,0.613998360617795,0.49999999999999994,0.3333333333333333,0.5694444444444444
1,4,0.40769154510449834,0.5,0.375,0.4999999999999999
1,5,0.550277058224817,0.5625,0.4,0.4666666666666667
2,2,0.40688906626355925,0.3,0.3,0.5375
2,3,0.4148751709954979,0.29999999999999993,0.26666666666666666,0.4333333333333333
2,4,0.3882887065402008,0.3166666666666667,0.25,0.47916666666666663
2,5,0.44438322783663564,0.43499999999999994,0.31999999999999995,0.5528571428571428
3,2,0.2745109382769166,0.37499999999999994,0.37499999999999994,0.6000000000000001
3,3,0.358863961023902,0.19444444444444442,0.1388888888888889,0.43452380952380953
3,4,0.3425261416238312,0.2222222222222222,0.14583333333333331,0.4637345679012346
3,5,0.3678668138525065,0.22916666666666666,0.11666666666666667,0.47272727272727266
4,2,0.23103962040271508,0.375,0.375,0.625
4,3,0.359410460240776,0.125,0.0,0.39814814814814814
4,4,0.26589068640558733,0.1875,0.0625,0.4652777777777778
4,5,0.22137824636417167,0.15,0.0,0.45000000000000007
