r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7263923639835816,0.0,0.0,0.24999999999999997
1,3,0.6482615154031675,0.16666666666666666,0.08333333333333333,0.41666666666666663
1,4,0.5974769980158611,0.6041666666666666,0.25,0.5972222222222223
1,5,0.5606315434816098,0.6749999999999999,0.2,0.5875
2,2,0.7211620864072769,0.15,0.15,0.3125
2,3,0.6667006600431361,0.13333333333333333,0.1,0.44666666666666666
2,4,0.6242492559211085,0.5,0.275,0.7041666666666666
2,5,0.6180707905143574,0.42000000000000004,0.27999999999999997,0.6085714285714285
3,2,0.6319001210874217,0.20833333333333331,0.20833333333333331,0.38333333333333336
3,3,0.6771743647619828,0.1111111111111111,0.05555555555555555,0.4900793650793651
3,4,0.5732040866503529,0.3611111111111111,0.25,0.6921296296296298
3,5,0.5861710521220378,0.4083333333333333,0.25,0.7053030303030301
4,2,0.5492290490716814,0.25,0.25,0.375
4,3,0.5997047610345392,0.08333333333333333,0.08333333333333333,0.5092592592592593
4,4,0.4731297393946586,0.3541666666666667,0.4375,0.7586805555555556
4,5,0.599100171086864,0.325,0.25,0.7275
