r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9890138446323626,0.0,0.0,0.16666666666666666
1,3,0.973002217688033,0.16666666666666666,0.0,0.1388888888888889
1,4,0.9347082201568467,0.4444444444444444,0.0,0.1388888888888889
1,5,0.9055165711482674,0.5833333333333334,0.0,0.14166666666666666
1,6,0.9249207325002716,0.6666666666666666,0.0,0.14444444444444446
1,7,0.8968383817447991,0.6984126984126985,0.0,0.1349206349206349
1,8,0.8729527198072992,0.75,0.0,0.13392857142857142
1,9,0.901665907134397,0.7685185185185185,0.0,0.1388888888888889
1,10,0.8551765202336018,0.7925925925925926,0.0,0.12407407407407407
2,2,0.7993884577601295,0.0,0.0,0.16666666666666666
2,3,0.8242381246131174,0.1111111111111111,0.0,0.23611111111111113
2,4,0.8301878832427998,0.19444444444444442,0.0,0.26388888888888884
2,5,0.8282620685758498,0.20833333333333334,0.0,0.26944444444444443
2,6,0.8439455264414675,0.22777777777777777,0.0,0.29920634920634925
2,7,0.8360424272174901,0.25396825396825395,0.0,0.314484126984127
2,8,0.8221249861091374,0.24702380952380945,0.020833333333333332,0.30059523809523814
2,9,0.8538869666570562,0.26620370370370366,0.0,0.3321759259259258
2,10,0.83101578399156,0.2814814814814815,0.0,0.3442760942760941
3,2,0.711056754226485,0.0,0.0,0.16666666666666666
3,3,0.766488884371921,0.1111111111111111,0.1111111111111111,0.3055555555555555
3,4,0.8083882949927134,0.13888888888888887,0.08333333333333333,0.2951388888888889
3,5,0.8400203141779631,0.11666666666666667,0.0,0.26833333333333337
3,6,0.8593245074536581,0.16666666666666666,0.0,0.3305555555555556
3,7,0.8669120880148083,0.15079365079365079,0.0,0.34070294784580507
3,8,0.8816916360178335,0.1369047619047619,0.041666666666666664,0.3210565476190476
3,9,0.894174883656759,0.125,0.0,0.3328189300411523
3,10,0.9055778518917688,0.12222222222222225,0.03333333333333333,0.33592592592592596
