r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.48345446071427783,0.3333333333333333,0.3333333333333333,0.5
1,3,0.4076214878397806,0.5,0.4444444444444444,0.5277777777777778
1,4,0.39665074189838584,0.861111111111111,0.5833333333333334,0.75
1,5,0.3544533354578181,0.8666666666666667,0.7333333333333334,0.8166666666666668
1,6,0.3142689666278464,0.9333333333333335,1.0,0.9500000000000001
1,7,0.2928258546200273,0.9761904761904763,1.0,0.9880952380952381
1,8,0.26540362953606406,0.9940476190476191,1.0,0.9970238095238096
1,9,0.2647634912930827,0.9907407407407408,1.0,0.9953703703703703
1,10,0.26247447516000233,0.9629629629629631,1.0,0.975925925925926
2,2,0.4554773638939226,0.3333333333333333,0.3333333333333333,0.5277777777777778
2,3,0.4024064616038015,0.5,0.38888888888888884,0.6527777777777778
2,4,0.41428487486824234,0.611111111111111,0.375,0.736111111111111
2,5,0.4007590508748465,0.6749999999999999,0.5333333333333333,0.7847222222222222
2,6,0.3549398578629736,0.7722222222222223,0.5833333333333334,0.8349206349206351
2,7,0.3510418932419608,0.7936507936507936,0.6428571428571429,0.8561507936507936
2,8,0.33391541715355877,0.8273809523809526,0.7916666666666666,0.8869047619047615
2,9,0.3338342126472771,0.8333333333333334,0.7592592592592592,0.8842592592592592
2,10,0.3543596181247864,0.8166666666666668,0.8333333333333334,0.8516835016835015
3,2,0.47540930510407636,0.3333333333333333,0.3333333333333333,0.5416666666666666
3,3,0.4396329690103064,0.5,0.5555555555555556,0.7037037037037037
3,4,0.45586115815246736,0.47222222222222215,0.3333333333333333,0.7083333333333334
3,5,0.4494516673743874,0.48333333333333334,0.6666666666666666,0.6983333333333334
3,6,0.42607917710687354,0.5555555555555555,0.3888888888888889,0.7675925925925927
3,7,0.4304484446530153,0.5873015873015872,0.47619047619047616,0.7624716553287981
3,8,0.42566254551474714,0.5892857142857143,0.4166666666666667,0.7905505952380952
3,9,0.42940216274932724,0.5925925925925926,0.37037037037037035,0.7564300411522633
3,10,0.4276740068504841,0.5925925925925924,0.5666666666666667,0.7525925925925924
