r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.935157933231303,0.3333333333333333,0.3333333333333333,0.4166666666666667
1,3,0.9311178821646499,0.5555555555555555,0.5555555555555555,0.5833333333333334
1,4,0.9479269792538608,0.6666666666666666,0.4166666666666667,0.5138888888888888
1,5,0.939889547290241,0.7333333333333334,0.5333333333333333,0.5333333333333333
1,6,0.9355551459695431,0.8222222222222223,0.6111111111111112,0.5722222222222223
1,7,0.9313868717070347,0.8253968253968252,0.5714285714285715,0.5515873015873015
1,8,0.9377588783830038,0.8571428571428571,0.625,0.5625
1,9,0.9305841841938823,0.8657407407407408,0.5925925925925926,0.5625
1,10,0.9352942083042155,0.8703703703703702,0.6333333333333333,0.5259259259259259
2,2,0.9317296369083766,0.3333333333333333,0.3333333333333333,0.4166666666666667
2,3,0.9279019640046903,0.5,0.5,0.5625
2,4,0.9417221407556836,0.4583333333333333,0.4166666666666667,0.4916666666666667
2,5,0.942578461735796,0.525,0.5333333333333333,0.5736111111111111
2,6,0.9470092826058517,0.5166666666666666,0.5555555555555555,0.596031746031746
2,7,0.9489209099774568,0.5238095238095238,0.4761904761904762,0.5818452380952381
2,8,0.9526367305394762,0.5595238095238094,0.5,0.6177248677248678
2,9,0.9575244296726272,0.5671296296296297,0.6296296296296297,0.6224537037037038
2,10,0.9620340984063253,0.5592592592592592,0.5499999999999999,0.5915824915824915
3,2,0.9274963574863894,0.3333333333333333,0.3333333333333333,0.4166666666666667
3,3,0.9453070685604854,0.3888888888888889,0.4444444444444444,0.5277777777777778
3,4,0.9552933897299246,0.38888888888888884,0.4166666666666667,0.4791666666666667
3,5,0.9624771243568736,0.4166666666666667,0.4,0.5549999999999999
3,6,0.9608794671516402,0.4444444444444444,0.5555555555555556,0.5768518518518518
3,7,0.9563120836623802,0.42857142857142855,0.3333333333333333,0.5708616780045351
3,8,0.9593778853597602,0.4761904761904761,0.4583333333333333,0.6413690476190476
3,9,0.9624805538035482,0.4675925925925926,0.4074074074074074,0.5977366255144032
3,10,0.9638777710986167,0.45555555555555555,0.5,0.6025925925925926
