r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6855809776072826,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,3,0.6884905056762946,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,4,0.6571377506273594,0.5555555555555555,0.4166666666666667,0.3888888888888889
1,5,0.6272746390916685,0.6,0.39999999999999997,0.325
2,2,0.6895305415924184,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,3,0.6517106420491604,0.25,0.27777777777777773,0.3541666666666667
2,4,0.6303614001547313,0.27777777777777773,0.3333333333333333,0.375
2,5,0.6026815657389445,0.25,0.16666666666666666,0.3888888888888889
3,2,0.6532513607821882,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,3,0.6424816952616811,0.3333333333333333,0.3333333333333333,0.40740740740740744
3,4,0.6070962196432765,0.27777777777777773,0.25,0.43402777777777773
3,5,0.6118270970439275,0.16666666666666666,0.26666666666666666,0.41500000000000004
