r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7366310224387526,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,3,0.6864291517923989,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,4,0.747580095877662,0.47222222222222215,0.3333333333333333,0.3055555555555555
1,5,0.6311180034307861,0.7000000000000001,0.39999999999999997,0.4666666666666666
2,2,0.7121419363242604,0.25,0.25,0.3333333333333333
2,3,0.645058994296352,0.3055555555555556,0.3333333333333333,0.375
2,4,0.6696270815547937,0.25,0.20833333333333334,0.41944444444444445
2,5,0.5978388742571225,0.3,0.19999999999999998,0.4611111111111111
3,2,0.6564318062063099,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,3,0.6104911724491188,0.2777777777777778,0.3333333333333333,0.5277777777777778
3,4,0.6284405369785934,0.3333333333333333,0.25,0.5381944444444445
3,5,0.5805440722699142,0.21666666666666667,0.26666666666666666,0.5033333333333333
