r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8325865004737835,0.0,0.0,0.0
1,3,0.8325865004737835,0.0,0.0,0.0
1,4,0.05946081037654668,1.0,1.0,1.0
1,5,0.04337663155671818,1.0,1.0,1.0
2,2,0.3125581319528908,0.5,0.5,0.9868090452261307
2,3,0.751686935505974,0.125,0.0,0.49685929648241206
2,4,0.13268748767614363,0.8333333333333335,0.625,0.9985416666666669
2,5,0.13507516979002238,0.75,0.8,0.9966334164588528
3,2,0.46619177134903905,0.5,0.5,0.6666666666666666
3,3,0.35811349480392285,0.2857142857142857,0.42857142857142855,0.3318017265385686
3,4,0.3364450936684791,0.4722222222222221,0.6666666666666666,0.7216018748276812
3,5,0.5049884199699893,0.0,0.0,0.2933249582809893
4,2,0.2880091741570419,0.625,0.625,0.7496875000000001
4,3,0.3974332911030718,0.625,0.6666666666666666,0.6674937965260546
4,4,0.21559231448396338,0.3333333333333333,0.25,0.24947654941373534
4,5,0.13444890905398413,0.9,0.9,0.9993581907090465
