r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.02633362344431419,0.6,0.6,0.798992443324937
1,3,0.10542706573543677,0.2,0.2333333333333333,0.983375314861461
1,4,0.043413508743706565,0.9166666666666666,1.0,0.9988245172124266
1,5,0.07514329668772064,0.74,0.9199999999999999,0.9956675062972293
2,2,0.049969048433265315,0.55,0.55,0.9967336683417086
2,3,0.05802785184713718,0.65,0.6833333333333333,0.8923936625779394
2,4,0.05147104321702169,0.7123809523809524,0.7364285714285714,0.7980353694374475
2,5,0.05273084511440103,0.634404761904762,0.6811904761904761,0.793099473799668
3,2,0.046890603755434995,0.5799999999999998,0.5799999999999998,0.9277353769683842
3,3,0.055666903681006595,0.43734126984126986,0.5942063492063492,0.7291895593129818
3,4,0.0831481088986865,0.5777777777777777,0.65,0.9897603317320154
3,5,0.053071617276420416,0.536946386946387,0.566946386946387,0.7278721025797773
4,2,0.04568772696053745,0.5559523809523809,0.5559523809523809,0.7929188541391167
4,3,0.06951092727087256,0.48888888888888893,0.5888888888888888,0.9406915295373439
4,4,0.06193504246502275,0.5674450549450549,0.5440934065934065,0.9921479986668619
4,5,0.06348276004001899,0.7070220588235294,0.8011764705882353,0.8387598103591767
5,2,0.06848632056029287,0.611111111111111,0.611111111111111,0.9451864089775561
5,3,0.044553427004926066,0.512026862026862,0.5008791208791209,0.795781788549488
5,4,0.06620750006676593,0.6353034547152194,0.7211204481792717,0.8260204613893457
5,5,0.0775226082330196,0.5612721330956625,0.6422008318478907,0.8713996646924412
6,2,0.047158822016667004,0.7136363636363636,0.7136363636363636,0.8588264000033086
6,3,0.04860554115161077,0.6915522875816993,0.7566503267973855,0.8933286519954956
6,4,0.072806800189079,0.602056277056277,0.692965367965368,0.923694523152118
6,5,0.08276279147568796,0.5621794871794872,0.6671794871794872,0.9467077016312662
7,2,0.04816221775488106,0.6402930402930403,0.6402930402930403,0.8507510237880987
7,3,0.07461907926151483,0.539047619047619,0.660952380952381,0.7966930915553375
7,4,0.0692897896156685,0.5817099422316814,0.7023678929765886,0.849721708313911
7,5,0.0849374855173621,0.5857377538829152,0.6660543608124254,0.9134741296089539
8,2,0.051224315344819124,0.6,0.6,0.9962252475247526
8,3,0.07337248955711513,0.5905044231131187,0.6530961791831358,0.9672758021917602
8,4,0.061735477286643005,0.586287570500464,0.6560198472192476,0.8417205985338896
8,5,0.060018635636512295,0.6126607712462976,0.7112611073137389,0.8388574593110214
9,2,0.051009507610711644,0.5089052287581699,0.5089052287581699,0.8592895081561582
9,3,0.05819169933972983,0.5707493559072506,0.6043857195436143,0.8348219330927481
9,4,0.06730328968156842,0.559223572126798,0.5929898058930317,0.8246600849777227
9,5,0.08387390073922174,0.5986620721757917,0.6868214509068167,0.7902847725832485
10,2,0.05146217088548934,0.6109941520467836,0.6109941520467836,0.8872607167394353
10,3,0.06588223112653938,0.5375807755462928,0.5922791461412151,0.9082007711989137
10,4,0.07859254047854272,0.600797766475011,0.6973523883237507,0.9038878528428554
10,5,0.059922901498998926,0.6326272877051026,0.7480199698827941,0.8739642395830647
