r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.0,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,0.9,0.0,0.0,0.0
2,4,0.8,0.0,0.0,0.0
2,5,0.8,0.0,0.0,0.0
3,2,0.9333333333333333,0.0,0.0,0.0
3,3,0.7333333333333333,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,0.7333333333333333,0.025874125874125874,0.0,0.0
4,2,0.8,0.0,0.0,0.0
4,3,0.95,0.0,0.0,0.0
4,4,1.0,0.0,0.0,0.0
4,5,0.85,0.01,0.0,0.0
5,2,0.96,0.0,0.0,0.0
5,3,0.8,0.0,0.0,0.0
5,4,0.8400000000000001,0.0,0.0,0.0
5,5,0.8800000000000001,0.01111111111111111,0.0,0.0
6,2,0.8666666666666668,0.0,0.0,0.0
6,3,0.9,0.0,0.0,0.0
6,4,0.9333333333333333,0.0,0.0,0.0
6,5,0.9666666666666668,0.006666666666666666,0.0,0.0
7,2,0.8571428571428571,0.0,0.0,0.0
7,3,0.8285714285714286,0.0,0.0,0.0
7,4,0.8571428571428571,0.0,0.0,0.0
7,5,0.9428571428571428,0.007407407407407407,0.0,0.0
8,2,1.0,0.0,0.0,0.0
8,3,0.975,0.0,0.0,0.0
8,4,0.85,0.0,0.0,0.0
8,5,0.85,0.006666666666666666,0.0,0.0
9,2,0.8666666666666666,0.0,0.0,0.0
9,3,0.8444444444444443,0.0,0.0,0.0
9,4,0.8444444444444443,0.0,0.0,0.0
9,5,0.8222222222222222,0.004878048780487805,0.0,0.0
10,2,0.9,0.0,0.0,0.0
10,3,0.9200000000000002,0.0,0.0,0.0
10,4,0.9199999999999999,0.0,0.0,0.0
10,5,0.8800000000000001,0.0058823529411764705,0.0,0.0
