r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.34139695896493727,0.0,0.0,0.2943765281173594
1,3,0.44179162913689385,0.0,0.0,0.39755501222493883
1,4,0.5518843862502198,0.13333333333333333,0.2,0.6314588427057866
1,5,0.3797816860924275,0.0,0.0,0.45745721271393636
2,2,0.4991336108643624,0.0,0.0,0.7075609756097562
2,3,0.5115495541167376,0.0,0.0,0.5930042727434574
2,4,0.4415027528616754,0.008333333333333333,0.0,0.5789455606652821
2,5,0.5321379544903897,0.0125,0.025,0.5992728713407917
3,2,0.4435354703868565,0.03333333333333333,0.03333333333333333,0.5681199928787609
3,3,0.3992347779653079,0.01111111111111111,0.02222222222222222,0.4810548655518073
3,4,0.4524091412242156,0.028888888888888888,0.06666666666666667,0.4481356142877447
3,5,0.4717611014494187,0.006666666666666666,0.013333333333333332,0.5414678735307714
4,2,0.48319957405581115,0.0,0.0,0.45522523799399994
4,3,0.42696460799788316,0.01111111111111111,0.02222222222222222,0.5844681291848746
4,4,0.4741584248056414,0.0,0.0,0.4774507420514686
4,5,0.5259892259503923,0.015823412698412698,0.03968253968253968,0.48379958849831367
5,2,0.3835197891719314,0.0,0.0,0.5336132725263877
5,3,0.4001704386181505,0.07051282051282051,0.0782051282051282,0.4576938015364026
5,4,0.504087317844849,0.0217063492063492,0.02583333333333333,0.47173479655519407
5,5,0.43581998174770736,0.0187287784679089,0.013333333333333332,0.44716709219545486
6,2,0.4835303438804722,0.0,0.0,0.5641939892308352
6,3,0.41203797323973107,0.0,0.0,0.4888758300042773
6,4,0.45268759283302984,0.01100877192982456,0.0,0.52892864814173
6,5,0.4359832347171258,0.033626219953451074,0.05358602749907097,0.43276567123715914
7,2,0.5087600489546112,0.0,0.0,0.5551986829304798
7,3,0.4703412542685167,0.029285714285714286,0.03952380952380953,0.6199396426200329
7,4,0.46283671482040784,0.018666666666666665,0.048,0.4325235030589186
7,5,0.4622929588842795,0.024440327817343947,0.03235668900991482,0.5538687045315785
8,2,0.4048645874759642,0.0,0.0,0.4570820822879016
8,3,0.4893969887925266,0.004545454545454545,0.0,0.5491584382981661
8,4,0.434563025986784,0.013980417198808003,0.028378033205619414,0.5796899857091988
8,5,0.5140442460458681,0.02643318965517242,0.042789408866995074,0.5108098903638664
9,2,0.42581999968823697,0.01111111111111111,0.01111111111111111,0.5709327405236762
9,3,0.43868505457598356,0.017043478260869566,0.008695652173913044,0.4714697808136455
9,4,0.4398362558559329,0.01111111111111111,0.01111111111111111,0.4908971171575409
9,5,0.5076992359169449,0.01928495568739471,0.0186449864498645,0.5213137448090787
10,2,0.4471068768407821,0.0,0.0,0.5657874591015447
10,3,0.443806746795204,0.022089947089947087,0.014814814814814814,0.5984084334615078
10,4,0.5030193787657149,0.011231735937618292,0.011287758346581876,0.5614146994693417
10,5,0.4121615810118537,0.008536036036036036,0.009849849849849851,0.46925319587038283
