r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7911203648940004,0.8,0.8,0.8
1,3,0.4683457267465051,0.4,0.4,0.4
1,4,0.7705288408096885,0.2,0.2,0.2
1,5,0.4788727714976286,0.6,0.6,0.6
2,2,0.6516723351911978,0.5,0.5,0.5
2,3,0.8159866490388676,0.26666666666666666,0.3333333333333333,0.26666666666666666
2,4,0.48236958010751885,0.7166666666666666,0.75,0.7166666666666667
2,5,0.7732490586610584,0.42000000000000004,0.45999999999999996,0.42000000000000004
3,2,0.746929280249198,0.4666666666666666,0.4666666666666666,0.4666666666666666
3,3,0.763594377783132,0.3638888888888888,0.38611111111111107,0.3555555555555555
3,4,0.8202973992951705,0.3833333333333334,0.4666666666666666,0.3999570446735395
3,5,0.8015927317828059,0.3416666666666667,0.36,0.3066666666666667
4,2,0.5834333955294685,0.42857142857142855,0.42857142857142855,0.4
4,3,0.5071634925707706,0.4538888888888889,0.46611111111111114,0.36662348877374784
4,4,0.7062775716681859,0.3851548451548452,0.4128604728604729,0.3249785775492716
4,5,0.6835851781516824,0.2951785714285714,0.42321428571428565,0.2914620590915007
5,2,0.6985574723927825,0.4844444444444444,0.4844444444444444,0.5197927461139897
5,3,0.7383447699032876,0.3547252747252747,0.36901098901098905,0.3333333333333333
5,4,0.6788220929032696,0.42749455337690634,0.49836601307189543,0.4133163265306122
5,5,0.6549629514656076,0.4924329004329005,0.5480692640692642,0.4399192918909267
6,2,0.6196072860294422,0.5666666666666667,0.5666666666666667,0.5999138673557278
6,3,0.6423387116629442,0.5084395424836601,0.5199183006535948,0.48878924665369683
6,4,0.6493430588258603,0.45630028726003957,0.5226059801911195,0.40555555555555556
6,5,0.6235415040129401,0.49059440559440554,0.5407114624505929,0.4197790569764244
7,2,0.6742042918577704,0.5043956043956044,0.5043956043956044,0.5426362297496318
7,3,0.6146377754955735,0.4218253968253968,0.43690476190476185,0.38094020216782365
7,4,0.7231481285964605,0.40185507246376806,0.455304347826087,0.3476190476190476
7,5,0.6417115608347783,0.4489804689192899,0.48327795674847956,0.36569285687566466
8,2,0.6779386962935178,0.4833333333333333,0.4833333333333333,0.475
8,3,0.6976575673504686,0.46271645021645025,0.47521645021645026,0.4581855996513357
8,4,0.746252956353828,0.32114704552485657,0.35168891744603886,0.287421875
8,5,0.7243421277339461,0.4632583322238495,0.505506738265359,0.3949129505061901
9,2,0.6975855410003425,0.45882352941176474,0.45882352941176474,0.46660954013139105
9,3,0.641919948907647,0.37398343685300206,0.4207370600414079,0.3333146277590722
9,4,0.6436513227998749,0.5081447963800906,0.555416152474976,0.48141718328160354
9,5,0.7603176000282852,0.3625653408066759,0.4147109487289205,0.32214324618736384
10,2,0.6015384660511771,0.5605882352941176,0.5605882352941176,0.5998721227621482
10,3,0.6016279538000278,0.39979581637752554,0.4246034125794246,0.34664970313825283
10,4,0.5809402177222157,0.5414595214255655,0.5865786053222386,0.45
10,5,0.7506744845132026,0.4199470887377864,0.5044876292783269,0.37399028415076785
