r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8432131109192275,0.8,0.8,0.8
1,3,0.628891519120713,0.4666666666666666,0.5333333333333333,0.4666666666666666
1,4,0.7255239851466507,0.2,0.2,0.2
1,5,0.8241156905658944,0.62,0.6799999999999999,0.62
2,2,0.8220445138778537,0.6,0.6,0.6
2,3,0.863523138010833,0.4666666666666667,0.6,0.4666666666666667
2,4,0.7202868004105083,0.7833333333333332,0.875,0.7833333333333334
2,5,0.7894088917380166,0.5342857142857143,0.677142857142857,0.5299999999999999
3,2,0.837533352144247,0.6333333333333333,0.6333333333333333,0.6665798611111111
3,3,0.8585826325752084,0.45,0.5055555555555555,0.4444156591824985
3,4,0.8586987179217216,0.5444444444444444,0.5999999999999999,0.5444301260022909
3,5,0.8910187689353295,0.43,0.5133333333333334,0.3999059829059829
4,2,0.6494364826272909,0.4607142857142857,0.4607142857142857,0.44993506493506497
4,3,0.5533804322428939,0.6258333333333332,0.6783333333333333,0.5165367956606217
4,4,0.7759900533544913,0.5448240648240648,0.6290309690309691,0.46663453299057406
4,5,0.7067539739335365,0.44087662337662337,0.5992207792207792,0.41328842849590275
5,2,0.7525205884978134,0.6888888888888889,0.6888888888888889,0.68
5,3,0.8205732806451771,0.6152014652014652,0.64996336996337,0.5866324346889901
5,4,0.7971357279279927,0.525599128540305,0.6252287581699345,0.5132653492869228
5,5,0.7476308183033779,0.6105281385281385,0.7187359307359307,0.5279845360824742
6,2,0.7815305486132276,0.6500000000000001,0.6500000000000001,0.6998708010335918
6,3,0.7140139553135559,0.6820669934640523,0.7193790849673203,0.6332906711551212
6,4,0.7187427446346125,0.5277943075156697,0.6654302869473148,0.47777072758037226
6,5,0.7016624668721843,0.6111229350359786,0.7572919833789399,0.5199287569741987
7,2,0.7853437667741303,0.6065934065934067,0.6065934065934067,0.6
7,3,0.7243059821100069,0.6299603174603174,0.6902777777777779,0.5714285714285714
7,4,0.7966947344455829,0.5109565217391304,0.6121739130434782,0.45232685466496003
7,5,0.7421362008352468,0.5415925101965147,0.632613196962474,0.4428144989339019
8,2,0.8081425215497917,0.5333333333333333,0.5333333333333333,0.525
8,3,0.7761097497237739,0.629491341991342,0.6937229437229437,0.5999576984078524
8,4,0.8024420672158941,0.39188971651740273,0.5163653887342043,0.3540937238274707
8,5,0.7625530562873096,0.5576521102383171,0.6268820544682614,0.46996276035976586
9,2,0.7912848987006942,0.538562091503268,0.538562091503268,0.5554698657526421
9,3,0.7075674119977486,0.5300714285714285,0.5684140786749483,0.47403654429545605
9,4,0.7662230482722514,0.6119955208190502,0.6726061520179167,0.5776677295328688
9,5,0.8461790019777166,0.46844544130808574,0.5641428148231743,0.41548735842052675
10,2,0.7385410086987315,0.6976470588235294,0.6976470588235294,0.6999488491048593
10,3,0.6691350433347059,0.5313907332048261,0.5706246876561719,0.47327451132239595
10,4,0.6965779889242305,0.6332241687759514,0.7372044254556988,0.5432918300653594
10,5,0.7849410282255826,0.6133489514884863,0.7061563339237757,0.551953827321073
