r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.28113331109413203,0.4,0.4,0.4
1,3,0.3916043434614863,0.4,0.4,0.4
1,4,0.18192959663768093,0.6,0.6,0.6
1,5,0.3496510913135755,0.3,0.36,0.3003380281690141
2,2,0.14802025086739906,0.6166666666666666,0.6166666666666666,0.5998595505617977
2,3,0.3433182682212156,0.45,0.54,0.49967267805998805
2,4,0.3124880023983059,0.2533333333333333,0.36,0.23333333333333334
2,5,0.2234710529143852,0.6366666666666667,0.7266666666666668,0.5707799442896937
3,2,0.2371933960308322,0.54,0.54,0.5335200746965453
3,3,0.26035661467818433,0.526984126984127,0.5492063492063493,0.4888888888888888
3,4,0.27221330560996004,0.5992592592592592,0.6511111111111111,0.5442892613283674
3,5,0.29925450738458803,0.42683982683982685,0.4655411255411256,0.3776400367309458
4,2,0.21354805189303744,0.6166666666666666,0.6166666666666666,0.6
4,3,0.274719091993065,0.546969696969697,0.5553030303030303,0.5166204986149584
4,4,0.32201391569938037,0.41818181818181815,0.5090909090909091,0.36666666666666664
4,5,0.3446651565419041,0.5056447963800905,0.6069457013574661,0.4198899774467956
5,2,0.231531104180351,0.46722222222222226,0.46722222222222226,0.4399439775910364
5,3,0.3477570517704875,0.44871794871794873,0.49948717948717947,0.49109274563820016
5,4,0.21702603204508528,0.6078867102396515,0.6561064425770309,0.5403879638367173
5,5,0.3118989701164919,0.5976233434085096,0.70959172285515,0.5199838274932616
6,2,0.1737867571788519,0.7151515151515151,0.7151515151515151,0.7002321262766944
6,3,0.3173895465982613,0.4040903540903541,0.435042735042735,0.3665905631659056
6,4,0.319929728864518,0.5529797979797979,0.5890909090909091,0.5549774774774774
6,5,0.29180286237371406,0.5705612535612536,0.6397720797720798,0.5599371959847858
7,2,0.22537393659297084,0.6340659340659341,0.6340659340659341,0.6568255067493294
7,3,0.24357191170199868,0.6222222222222222,0.6322222222222222,0.6384063224954623
7,4,0.2602651116984592,0.5322473039574489,0.5877364953886692,0.4523809523809524
7,5,0.2256971628013059,0.5762317794926491,0.5919589267415354,0.4685300740553207
8,2,0.21655378625849045,0.6366666666666667,0.6366666666666667,0.6249653739612189
8,3,0.2882533194176651,0.4882213438735178,0.5587351778656127,0.4582534868674804
8,4,0.2788651450413986,0.5448800366300366,0.5913983516483516,0.5208749485257267
8,5,0.3034454993148138,0.5193018018018017,0.6119144144144144,0.45664333333333335
9,2,0.22166972396351933,0.5538888888888888,0.5538888888888888,0.5332717759310558
9,3,0.22591195231677777,0.5462857142857143,0.5622857142857143,0.5256147746662652
9,4,0.3415841142755743,0.3952716254271359,0.4251828631138975,0.3482692097847827
9,5,0.3455375506868809,0.48431991424774096,0.5657363753594707,0.3955484882971675
10,2,0.211966141159532,0.5767113863089095,0.5767113863089095,0.559917279271875
10,3,0.30870585525219957,0.49196825396825394,0.5536402116402116,0.45347740660794394
10,4,0.32889519876560885,0.47819435466494287,0.526009480715363,0.4167017196573105
10,5,0.33251765653083354,0.5116701692848648,0.5860547066745091,0.42804983859788814
