r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5252533013324214,0.4,0.4,0.4
1,3,0.7287447444564801,0.4,0.4,0.4
1,4,0.3882320739832994,0.6,0.6,0.6
1,5,0.6928084454236534,0.3,0.36,0.3
2,2,0.29744805563456855,0.5666666666666667,0.5666666666666667,0.5995786516853933
2,3,0.6147553155872877,0.45999999999999996,0.5,0.49962546816479403
2,4,0.5184062583167863,0.22833333333333333,0.31,0.23312383612662946
2,5,0.5154511963597516,0.6366666666666667,0.7266666666666668,0.57
3,2,0.48714451217165855,0.5733333333333334,0.5733333333333334,0.5333333333333333
3,3,0.5078452039706863,0.526984126984127,0.5492063492063493,0.4888888888888888
3,4,0.5411370926666577,0.5733333333333334,0.6066666666666667,0.5440412262647208
3,5,0.5723205608660556,0.43017316017316015,0.4922077922077922,0.377704315886134
4,2,0.5549035885511395,0.6166666666666666,0.6166666666666666,0.6
4,3,0.6006534266047538,0.546969696969697,0.571969696969697,0.5166435826408126
4,4,0.6121684948567112,0.4121212121212121,0.5090909090909091,0.3666550603528319
4,5,0.689824766940785,0.5058286199095022,0.6187104072398191,0.41989001528774256
5,2,0.4824644148488004,0.4699999999999999,0.4699999999999999,0.4399441340782123
5,3,0.6930574244063382,0.4420512820512821,0.49948717948717947,0.49021120293847564
5,4,0.4515545505627136,0.5961220043572985,0.6325770308123249,0.5398992673992674
5,5,0.6732276240380257,0.5996233434085096,0.70959172285515,0.5199838274932616
6,2,0.4496112192849152,0.6984848484848485,0.6984848484848485,0.6999537037037037
6,3,0.5890022601732227,0.40964590964590963,0.45726495726495725,0.36663622526636225
6,4,0.6476125642225237,0.5418686868686868,0.5474242424242424,0.5549624624624624
6,5,0.5531528897108092,0.5893304843304843,0.6243874643874644,0.5598113932121844
7,2,0.506630994590598,0.6483516483516484,0.6483516483516484,0.6564285714285714
7,3,0.545876415909548,0.6222222222222222,0.6528571428571428,0.6378095694366618
7,4,0.5192515412301972,0.527111501488313,0.5877364953886692,0.45236811696489115
7,5,0.4220117079738765,0.583037936298806,0.6040801388627475,0.4685295622678279
8,2,0.48805453418689726,0.6366666666666667,0.6366666666666667,0.6249653739612189
8,3,0.5778735835587663,0.47367588932806326,0.5196442687747036,0.45802573625471243
8,4,0.5537545198863986,0.556246336996337,0.5699697802197802,0.520542156836076
8,5,0.5968556480990268,0.5241976351351351,0.618581081081081,0.4566365594280608
9,2,0.4870544151770077,0.5566666666666666,0.5566666666666666,0.5332108968472605
9,3,0.505431691034979,0.5542857142857143,0.5782857142857143,0.5256147746662652
9,4,0.6135542010634525,0.38561954910839297,0.4251828631138975,0.3480002981140179
9,5,0.6604244891905923,0.481289611217438,0.5657363753594707,0.39548749743617667
10,2,0.5027682960376131,0.5983488132094943,0.5983488132094943,0.5599724517906337
10,3,0.6106467491851659,0.49596825396825395,0.5696402116402116,0.45328819036427725
10,4,0.6293878992851161,0.470039592760181,0.5202951950010773,0.41663557875525414
10,5,0.6602039365197478,0.5130180100406003,0.570926501546304,0.4278975930266478
