r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22148403409314504,0.6,0.6,0.6
1,3,0.36169441528712076,0.5666666666666667,0.7333333333333333,0.6666666666666667
1,4,0.28555536667581555,0.6,0.6,0.6
1,5,0.21797441258191635,0.55,0.6,0.6
2,2,0.22525188422719541,0.6666666666666666,0.6666666666666666,0.6
2,3,0.48526478382658517,0.48,0.5666666666666667,0.5330526967341244
2,4,0.3494724996587983,0.3511111111111111,0.5333333333333333,0.36666666666666664
2,5,0.3305184214200704,0.6616666666666667,0.7666666666666666,0.6496796657381616
3,2,0.2524648277537761,0.6666666666666667,0.6666666666666667,0.6665730337078652
3,3,0.26681858606663733,0.6603174603174603,0.6825396825396826,0.6222222222222221
3,4,0.37121315960656964,0.6399999999999999,0.6622222222222222,0.5997832594816453
3,5,0.3318297548807809,0.5913419913419913,0.6770562770562771,0.5044444444444445
4,2,0.20628103651006952,0.7833333333333333,0.7833333333333333,0.75
4,3,0.4118901787544315,0.5537878787878787,0.571969696969697,0.5332408689853289
4,4,0.522628895707266,0.409949494949495,0.41356060606060596,0.35819396030770345
4,5,0.4512612053562327,0.5584049773755656,0.655316742081448,0.5031684981684982
5,2,0.3633219498185011,0.4227777777777778,0.4227777777777778,0.43983224574746094
5,3,0.4117392682608948,0.5625641025641026,0.6102564102564102,0.5860054078941009
5,4,0.2758322355330304,0.6733520074696545,0.7041643323996266,0.5866666666666667
5,5,0.43252120290406415,0.6522359916298535,0.7533782841199721,0.605121325653626
6,2,0.2447190760613292,0.7015151515151515,0.7015151515151515,0.7331018518518518
6,3,0.4183339727289563,0.47496947496947506,0.5207570207570208,0.45544812465420803
6,4,0.40047165571786536,0.5948484848484847,0.7237878787878788,0.610743202441572
6,5,0.4155208865683391,0.6419116809116809,0.6902564102564103,0.6230324172751136
7,2,0.24237555012223785,0.7461538461538462,0.7461538461538462,0.7428175702413929
7,3,0.39543494962212866,0.5907936507936509,0.6185714285714285,0.6091731578399543
7,4,0.4086204327576902,0.5198463865710243,0.5879344166300688,0.48544474197700005
7,5,0.3173657752853178,0.6185169500386892,0.694137022397892,0.5236933758147884
8,2,0.3314885646910459,0.6383333333333333,0.6383333333333333,0.6498268698060942
8,3,0.39851840156827684,0.5253557312252964,0.5965217391304348,0.48327656625034693
8,4,0.39954843834668985,0.5911007326007326,0.6440769230769231,0.5611418535041561
8,5,0.4076249895361109,0.5913795045045045,0.6892304804804804,0.5422777869317128
9,2,0.33144701266898907,0.6011111111111112,0.6011111111111112,0.5555555555555556
9,3,0.35245282186622473,0.5668571428571428,0.5988571428571429,0.5332128876844324
9,4,0.4409778393436262,0.5097563418726367,0.5791341405945868,0.4730954240988341
9,5,0.4375018147440374,0.5649371318336834,0.6391535329145593,0.4917745542051142
10,2,0.33159210828060814,0.5661850705194359,0.5661850705194359,0.5797519900156767
10,3,0.43600590723926025,0.526089947089947,0.5784973544973545,0.4932792784874409
10,4,0.4381221670786449,0.5886005171299289,0.6160514975220857,0.5066666666666666
10,5,0.4958051865488063,0.5641867843603625,0.6177091159663577,0.48643579405694276
