r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.31046772591429184,0.6,0.6,0.6
1,3,0.4945651447970126,0.5666666666666667,0.7333333333333333,0.6666666666666667
1,4,0.48097906960967524,0.5,0.6,0.5331924882629109
1,5,0.5112021601162071,0.55,0.6,0.6
2,2,0.30271543279199864,0.6666666666666666,0.6666666666666666,0.6
2,3,0.6124667273017049,0.5733333333333334,0.6066666666666667,0.5333333333333333
2,4,0.43102254092741904,0.3511111111111111,0.5333333333333333,0.36666666666666664
2,5,0.5780118163951603,0.6416666666666666,0.7666666666666666,0.5799721448467967
3,2,0.4682529225316875,0.6666666666666667,0.6666666666666667,0.6665730337078652
3,3,0.3865694736188837,0.6603174603174603,0.6825396825396826,0.6222222222222221
3,4,0.5541747724956927,0.6451851851851852,0.6844444444444444,0.5777313092959442
3,5,0.5678335502852818,0.5613419913419914,0.6770562770562771,0.4777594123048668
4,2,0.576180589824984,0.7583333333333333,0.7583333333333333,0.7498603351955306
4,3,0.5870796377094377,0.5371212121212121,0.5537878787878787,0.5165972222222222
4,4,0.6743853506172226,0.38772727272727275,0.4335606060606061,0.3416666666666667
4,5,0.6865798881097056,0.5407352941176471,0.655316742081448,0.47327136752136756
5,2,0.4556476910265873,0.4922222222222222,0.4922222222222222,0.43999999999999995
5,3,0.670572535201167,0.5328205128205129,0.5835897435897436,0.5590449954086317
5,4,0.4242828044554946,0.6733520074696545,0.6923996265172737,0.5866483516483517
5,5,0.6427738178956114,0.6199316438037666,0.7533782841199721,0.5453224932249323
6,2,0.42148146352526467,0.7515151515151516,0.7515151515151516,0.7333333333333333
6,3,0.5804358578252996,0.4423687423687424,0.4888888888888888,0.4331794351429054
6,4,0.6122562791118051,0.6162121212121211,0.7237878787878788,0.5943768768768769
6,5,0.5810983187379741,0.6177065527065527,0.6905413105413105,0.5732660203460569
7,2,0.4613668217665422,0.7604395604395605,0.7604395604395605,0.7428571428571429
7,3,0.540875379935698,0.6011111111111112,0.6407936507936508,0.5998442973919813
7,4,0.5371231405451561,0.48779876055238364,0.5705431122822426,0.428513198757764
7,5,0.435441106156056,0.6079537612146309,0.7189357341531255,0.5009023231934282
8,2,0.49847448412980916,0.6783333333333333,0.6783333333333333,0.65
8,3,0.574393163118657,0.5342490118577075,0.6056126482213439,0.4833219178082192
8,4,0.5538233344222405,0.5687793040293041,0.6226483516483516,0.529004673320369
8,5,0.5913014262376928,0.5605142642642642,0.6758971471471471,0.4999164851061423
9,2,0.5519352637256967,0.5650000000000001,0.5650000000000001,0.5554633890317598
9,3,0.5032900833181833,0.5788571428571428,0.5988571428571429,0.5257954431396166
9,4,0.6109029626521352,0.46245324554993256,0.5614870817710574,0.4110029017815151
9,5,0.6380580141783732,0.5420216565044151,0.6322569811904215,0.4673420929141944
10,2,0.5081072903683248,0.608875128998968,0.608875128998968,0.5599999999999999
10,3,0.6147340882761091,0.5262539682539682,0.5856402116402116,0.48664864864864865
10,4,0.6295113380171066,0.5562475759534583,0.6101691445809092,0.4833200354609929
10,5,0.668810186057013,0.5195502874365128,0.6177091159663577,0.4406063296355528
