r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.15879872813349122,0.5,0.5,0.6811267605633803
1,3,0.23538905201243726,0.7,0.8,0.8548356807511738
1,4,0.3444871030572388,0.41666666666666663,0.5,0.5812206572769953
1,5,0.23021176632636986,0.5599999999999999,0.6799999999999999,0.6627323943661972
2,2,0.21759923923959704,0.7666666666666666,0.7666666666666666,0.7268258426966292
2,3,0.3217058629958069,0.5133333333333333,0.41999999999999993,0.7169926772207009
2,4,0.24541000540162755,0.4811111111111111,0.6233333333333333,0.5168425303458017
2,5,0.31726889545620407,0.7266666666666667,0.7666666666666667,0.7450139275766017
3,2,0.1900072717017898,0.52,0.52,0.7589919113712901
3,3,0.20295432198896854,0.6984126984126984,0.8253968253968255,0.7280653889534767
3,4,0.2736443792186329,0.6162962962962963,0.658888888888889,0.6529907833354023
3,5,0.2823840154074131,0.5437554112554113,0.5883982683982684,0.5746132212603723
4,2,0.19140856152983027,0.7083333333333333,0.7083333333333333,0.8202513966480447
4,3,0.2868521870040047,0.5871212121212122,0.6553030303030304,0.694449877596468
4,4,0.2698345835502119,0.47787878787878785,0.48969696969696963,0.5687139062886148
4,5,0.24175250960604927,0.6051357466063348,0.6525565610859729,0.6843612343802333
5,2,0.1874674974908891,0.6011111111111112,0.6011111111111112,0.6671875675777227
5,3,0.19673840937447556,0.6517948717948718,0.6994871794871795,0.7538833817907099
5,4,0.2175936389512958,0.7240056022408964,0.6909337068160598,0.7184202607815869
5,5,0.261934410314695,0.6754751220646361,0.7832043710764939,0.7171233696928307
6,2,0.2167641366548954,0.7333333333333334,0.7333333333333334,0.8327305787681831
6,3,0.21900334197260132,0.43498168498168505,0.4763125763125763,0.5427711611768613
6,4,0.28765992127499457,0.6327777777777778,0.6674242424242424,0.7859241276850304
6,5,0.3446213761125049,0.6592763532763533,0.678985754985755,0.7512548093952747
7,2,0.18868626376856482,0.6747252747252748,0.6747252747252748,0.8345393087983117
7,3,0.2885628417903705,0.711111111111111,0.7306349206349207,0.7892880826237161
7,4,0.2843278089854376,0.609881618113502,0.6700535792709706,0.6079523498802869
7,5,0.22975048167426423,0.6846529476964258,0.6523893176067089,0.6635084377970211
8,2,0.17654949747189413,0.7008333333333333,0.7008333333333333,0.815151761527984
8,3,0.21450406961256432,0.6312450592885376,0.6844268774703557,0.7036882721809563
8,4,0.2853209461556937,0.6101932234432235,0.6145412087912089,0.6634054527929616
8,5,0.3172002389923496,0.61943506006006,0.7049136636636637,0.6685538313495767
9,2,0.17546999212475115,0.5583333333333333,0.5583333333333333,0.70296721941144
9,3,0.24216557600520883,0.6085714285714285,0.6613333333333334,0.6644077607696423
9,4,0.29299095325638347,0.4971372503488799,0.497009991736158,0.5625786399272894
9,5,0.2766958515871945,0.5795783927379757,0.6512935660970945,0.5829228795231266
10,2,0.24978073904945813,0.46721706226350185,0.46721706226350185,0.6475672335296461
10,3,0.26358112500925424,0.5464603174603175,0.61394708994709,0.6738827439021324
10,4,0.29502194107281576,0.591190296631473,0.6032891618185736,0.6278685809294198
10,5,0.3103258698822635,0.5887335745453036,0.6693518045460335,0.5994729355570216
