r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.4392696231204033,0.6,0.6,0.6
1,3,0.47258390812655626,0.6,0.6,0.6
1,4,0.13830263685311758,0.9333333333333332,0.95,0.999742268041237
1,5,0.7854434553813079,0.22000000000000003,0.27999999999999997,0.22000000000000003
2,2,0.5080026531507892,0.4333333333333333,0.4333333333333333,0.4
2,3,0.4492430485498692,0.54,0.58,0.6
2,4,0.6282932800510852,0.39999999999999997,0.49642857142857144,0.4
2,5,0.7366666666666667,0.04428571428571428,0.11714285714285713,0.06333333333333332
3,2,0.6048526099958402,0.3466666666666667,0.3466666666666667,0.3333333333333333
3,3,0.5102710923162646,0.3241269841269841,0.41492063492063486,0.3111111111111111
3,4,0.5354014985541542,0.2895238095238095,0.3657142857142857,0.22213653241930875
3,5,0.30630533325994974,0.7260606060606061,0.7672727272727273,0.6797218786504501
4,2,0.3381070781315162,0.575,0.575,0.5998719588169716
4,3,0.5953417582558626,0.4303030303030303,0.44696969696969696,0.41666666666666663
4,4,0.37155805497424366,0.6498501498501498,0.683916083916084,0.5666243922551351
4,5,0.45512464115668366,0.5311255656108598,0.5825226244343892,0.4699562500000001
5,2,0.6144087746230598,0.33333333333333337,0.33333333333333337,0.31999999999999995
5,3,0.5792932473181305,0.29128205128205126,0.31794871794871793,0.2666666666666667
5,4,0.5074088316951533,0.4355337690631808,0.5366946778711484,0.3932494332493703
5,5,0.42528857460366176,0.5846409878839547,0.6256844661448241,0.479965248017339
6,2,0.3910248663535486,0.5072727272727272,0.5072727272727272,0.4666666666666667
6,3,0.4419058101696075,0.5145833333333333,0.5333333333333333,0.47776374859708187
6,4,0.5194326504721568,0.4487747035573123,0.46353096179183134,0.38886810750900525
6,5,0.562014615239193,0.3273809523809524,0.3696825396825397,0.2921393133727817
7,2,0.41832841972424906,0.3824375624375624,0.3824375624375624,0.37091957190045627
7,3,0.5587121436856098,0.3666993464052287,0.3828104575163399,0.3237856546127223
7,4,0.5506727501089959,0.4570969899665552,0.5037993311036789,0.42853007164083506
7,5,0.529444978691866,0.48847018572825024,0.5911517848114067,0.4540677472428043
8,2,0.49458183448656434,0.4045238095238095,0.4045238095238095,0.375
8,3,0.48912370448293235,0.4793398268398269,0.508030303030303,0.47474978541130197
8,4,0.5943906041797794,0.3325599764220454,0.40556675508399653,0.3083230706075534
8,5,0.5343238427042415,0.38087554389344674,0.4263453681868004,0.33329366937006777
9,2,0.5314004170051964,0.3623716153127917,0.3623716153127917,0.33333333333333337
9,3,0.4418311534315726,0.48023056653491436,0.485866930171278,0.4517320110669155
9,4,0.4815122529315371,0.5213620314025993,0.5621816542709037,0.5219772984746908
9,5,0.533346175743826,0.3658537581699347,0.4144771241830066,0.28221681535550147
10,2,0.5897657042313366,0.33380116959064327,0.33380116959064327,0.3781818181818182
10,3,0.45820115341587025,0.41523076923076924,0.46067236467236466,0.37992539370969797
10,4,0.5382727272973432,0.3573160173160173,0.40518518518518515,0.2866666666666667
10,5,0.524435004872403,0.41588850174216035,0.44064266356949283,0.36326592051837214
