r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8323809266998478,0.6,0.6,0.6
1,3,0.7099690695025409,0.6,0.6,0.6
1,4,0.8144350121394837,0.9,0.95,0.9990549828178693
1,5,0.9756167551656167,0.22999999999999998,0.32,0.2399484536082474
2,2,0.7752288500204292,0.36666666666666664,0.36666666666666664,0.3998711340206186
2,3,0.7581022940457627,0.5733333333333334,0.6466666666666667,0.6333333333333333
2,4,0.9021085739648965,0.3738095238095237,0.5214285714285715,0.38329059829059825
2,5,0.7247233295834963,0.054285714285714284,0.1571428571428571,0.07333333333333333
3,2,0.7010595283167433,0.42666666666666664,0.42666666666666664,0.4
3,3,0.6392245731701035,0.36857142857142855,0.4815873015873017,0.37772108843537416
3,4,0.6438936176598847,0.3942857142857143,0.3942857142857143,0.26666666666666666
3,5,0.6923083461721016,0.7527272727272727,0.8121212121212121,0.6863214629286057
4,2,0.6993556051654608,0.7107142857142856,0.7107142857142856,0.6999360613810742
4,3,0.8703395938398873,0.44696969696969696,0.4803030303030303,0.4333333333333333
4,4,0.7204107401267409,0.7007659007659007,0.7300699300699302,0.6083121827411168
4,5,0.7721383817019094,0.5580147058823529,0.673552036199095,0.4849872773536895
5,2,0.769100889896628,0.48,0.48,0.4799488491048594
5,3,0.7162416379830316,0.37948717948717947,0.478974358974359,0.3466666666666667
5,4,0.70286339244677,0.5215935262994087,0.5992530345471522,0.4533081444164567
5,5,0.644704575937892,0.6928557441421892,0.7470933374667389,0.5719701368469374
6,2,0.6697513665418644,0.5787878787878787,0.5787878787878787,0.5665815239139135
6,3,0.7288901452487028,0.5756944444444445,0.6430555555555555,0.5444023569023569
6,4,0.7565649402422556,0.5244883618796662,0.5676152832674572,0.46109725685785535
6,5,0.6845301718573041,0.41384920634920636,0.5322222222222223,0.35553511059596254
7,2,0.6332969800799797,0.4994205794205794,0.4994205794205794,0.42857142857142855
7,3,0.7109712471289178,0.4757843137254901,0.504313725490196,0.41903568444921824
7,4,0.7842497885054238,0.46888740245261984,0.5424882943143812,0.43806563880974636
7,5,0.8207446793669986,0.5078797991033809,0.6156867900360671,0.4767382900813154
8,2,0.6907578040998287,0.4723809523809523,0.4723809523809523,0.47477751514446986
8,3,0.7703664863958585,0.5546753246753247,0.5858874458874459,0.5332607276119403
8,4,0.755254098027071,0.38892189802534627,0.48976480990274096,0.3583128330973159
8,5,0.6997730345969695,0.4353236788786662,0.5665774293907286,0.3899542682926829
9,2,0.7171747435443511,0.41784547152194207,0.41784547152194207,0.4221377626421641
9,3,0.6716411436592888,0.6262219294393208,0.6586583223539745,0.5703428676200952
9,4,0.8237435963478632,0.5380211854856886,0.6399030876718503,0.5366367149607811
9,5,0.6889482542371936,0.44865400326797394,0.5594035947712419,0.3518029509270385
10,2,0.7949335979623422,0.38649122807017544,0.38649122807017544,0.4590657195298971
10,3,0.6642763609951301,0.5379259259259259,0.5921025641025641,0.47995024875621894
10,4,0.6857142861694138,0.39501362834696174,0.48644540644540646,0.31999999999999995
10,5,0.7372705287811394,0.43093883081687967,0.5109852884243128,0.3706570512820513
