r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3077746857968119,0.8,0.8,0.9879999999999999
1,3,0.2111986373938028,0.8,0.8,0.9306666666666666
1,4,0.7940979328847135,0.3833333333333333,0.4,0.5486666666666666
1,5,0.20997592008236216,0.8,0.8,0.95
2,2,0.5074844176840608,0.6,0.6,0.7634615384615385
2,3,0.3164094065289137,0.7533333333333333,0.72,0.8376543209876542
2,4,0.5054772859549056,0.5916666666666667,0.6,0.7467261904761905
2,5,0.7018734234399909,0.495,0.48,0.7824137931034484
3,2,0.3369018765421956,0.6666666666666666,0.6666666666666666,0.9604938271604938
3,3,0.40263015164082977,0.6555555555555556,0.6666666666666666,0.835632183908046
3,4,0.3471946787469122,0.7888888888888888,0.76,0.8593189964157707
3,5,0.5013730333953513,0.61,0.5333333333333333,0.6751515151515152
4,2,0.2728802671766827,0.85,0.85,0.8857142857142858
4,3,0.2107959708835312,0.85,0.8333333333333334,0.9483870967741936
4,4,0.4745137674133114,0.6398809523809523,0.5892857142857142,0.7328890931372549
4,5,0.4981230082300897,0.6199999999999999,0.6599999999999999,0.7074324324324325
5,2,0.42919011790852446,0.7,0.7,0.790344827586207
5,3,0.3795806308188963,0.7471428571428571,0.7257142857142856,0.8191603535353534
5,4,0.49790610490208265,0.6133333333333333,0.5700000000000001,0.6902702702702703
5,5,0.29994336905886,0.8800000000000001,0.8800000000000001,0.9308780487804877
6,2,0.4794443010668251,0.6,0.6,0.8305555555555555
6,3,0.37291710175985504,0.6833333333333333,0.6666666666666667,0.7919047619047619
6,4,0.3279512751815842,0.7962121212121211,0.7818181818181817,0.8141849415204678
6,5,0.42789326404498296,0.6344444444444444,0.6311111111111111,0.7692407407407407
7,2,0.3049294796066575,0.8428571428571429,0.8428571428571429,0.9460829493087559
7,3,0.46197475485018435,0.7059523809523809,0.6957142857142857,0.8254039754039754
7,4,0.4498510379448515,0.693956043956044,0.667032967032967,0.7582651324852119
7,5,0.437456471433251,0.6446428571428571,0.6446428571428571,0.764139941690962
8,2,0.5141942466352769,0.625,0.625,0.766015625
8,3,0.6377771600474722,0.5327898550724638,0.4992753623188405,0.6511217948717949
8,4,0.3718045960165172,0.7449999999999999,0.7249999999999999,0.7631690546772069
8,5,0.4871226346391895,0.665,0.65,0.7374056603773586
9,2,0.47366628153810025,0.6666666666666666,0.6666666666666666,0.8505050505050505
9,3,0.5508382380095878,0.5874643874643874,0.5686609686609687,0.7406233062330623
9,4,0.5069082369140088,0.6401960784313726,0.5816993464052288,0.6394011032308905
9,5,0.6127730155295047,0.5596031746031745,0.5247619047619049,0.6974626380766731
10,2,0.6025550564660167,0.48,0.48,0.7023529411764706
10,3,0.6359889002183745,0.548735632183908,0.5154022988505746,0.6586544850498338
10,4,0.49946091183411195,0.6226315789473684,0.6023684210526316,0.7180448717948718
10,5,0.5295985036572887,0.6208936170212767,0.6332765957446809,0.6857297908422837
