r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3114339290702142,0.45,0.45,0.744
1,3,0.20159900313883844,0.65,0.7,0.8226666666666667
1,4,0.3209520906100965,0.41666666666666663,0.525,0.736
1,5,0.26399800681656105,0.6349999999999999,0.7,0.8538
1,6,0.22466369697595617,0.7499999999999999,0.7666666666666666,0.9033333333333335
1,7,0.26326961612056976,0.7928571428571429,0.8428571428571429,0.8939999999999999
1,8,0.2414383296597246,0.8053571428571429,0.875,0.9257857142857144
1,9,0.3231973244627509,0.7513888888888889,0.7,0.8617222222222223
1,10,0.3077043888720583,0.7411111111111112,0.85,0.9039555555555557
2,2,0.2641425557340823,0.6,0.6,0.8201923076923077
2,3,0.23369742804150237,0.6333333333333333,0.6333333333333333,0.845679012345679
2,4,0.12608379174245113,0.8833333333333332,0.9375,0.9501488095238095
2,5,0.2615497856438009,0.6425,0.7157142857142856,0.8807858090185675
2,6,0.34740642685438267,0.5933333333333334,0.4333333333333333,0.832111111111111
2,7,0.3238053253277037,0.7035714285714286,0.6857142857142857,0.8616359447004609
2,8,0.2183421928979561,0.7776785714285714,0.74375,0.9273995535714287
2,9,0.24499044349568533,0.7543560606060605,0.7919191919191919,0.8937111499611499
2,10,0.30968596848598046,0.7972222222222223,0.8300000000000001,0.8849019607843134
3,2,0.3072942025062963,0.5666666666666667,0.5666666666666667,0.6734567901234567
3,3,0.3062819190698897,0.5444444444444445,0.5555555555555556,0.7595785440613027
3,4,0.31479973685914936,0.5399999999999999,0.6333333333333334,0.7946607341490545
3,5,0.25414453762399025,0.6566666666666666,0.6333333333333333,0.9056060606060606
3,6,0.2605951735207851,0.6685714285714286,0.6055555555555555,0.9009841269841271
3,7,0.23515739375312164,0.7563988095238094,0.669642857142857,0.9151584620334621
3,8,0.2808236380541217,0.7259920634920635,0.6986111111111111,0.8932831057831055
3,9,0.2591047190627439,0.7643287037037038,0.7194444444444443,0.9143664647430789
3,10,0.23847562697817376,0.7644444444444446,0.7766666666666667,0.9161757105943155
4,2,0.25083158033649733,0.65,0.65,0.7508928571428571
4,3,0.2506084783225305,0.5719696969696969,0.6159090909090909,0.835
4,4,0.29844252209179856,0.5095238095238095,0.55,0.830062806372549
4,5,0.23343332814698706,0.6686029411764706,0.7094117647058823,0.8994087837837839
4,6,0.2743028451712455,0.6466666666666667,0.65,0.8860833333333333
4,7,0.2647971705072704,0.6238612836438924,0.7020186335403726,0.8799159963863147
