r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.056914323208762926,1.0,1.0,1.0
1,3,0.04889804915810182,0.9,0.9333333333333333,0.9966666666666667
1,4,0.04062577577379926,0.9666666666666666,1.0,0.9991666666666668
1,5,0.018928749655129428,1.0,1.0,1.0
2,2,0.030008103257078877,1.0,1.0,1.0
2,3,0.12939652931490797,0.8333333333333334,0.9333333333333333,0.8746031746031745
2,4,0.04627787285832178,0.9416666666666667,1.0,0.9943798449612403
2,5,0.04165620038999133,0.93,0.9800000000000001,0.9861363636363636
3,2,0.1094905434374434,0.9666666666666668,0.9666666666666668,0.9992063492063492
3,3,0.041466673731309286,0.9333333333333332,0.9555555555555555,0.9964646464646464
3,4,0.04122151985151027,0.9333333333333333,1.0,0.9963768115942028
3,5,0.05620527208763927,0.9233333333333332,0.9333333333333332,0.9927777777777778
4,2,0.09137392064121139,0.9,0.9,0.9517441860465116
4,3,0.11139493472260498,0.8,0.8833333333333332,0.9269927536231883
4,4,0.0644064214175261,0.9291666666666666,0.9625,0.9702380952380952
4,5,0.05000813470029033,0.9199999999999999,0.9400000000000001,0.9874038461538461
5,2,0.05046977153093868,0.9,0.9,0.9968181818181818
5,3,0.05437455883219912,0.9600000000000002,0.9733333333333334,0.9745833333333334
5,4,0.09779197842250432,0.8666666666666666,0.95,0.9635897435897437
5,5,0.0672098356560421,0.8800000000000001,0.8320000000000001,0.9853214285714287
6,2,0.06147257875937449,0.9,0.9,0.9922222222222222
6,3,0.10095468998044939,0.8,0.8555555555555555,0.9588888888888889
6,4,0.07828418096152587,0.8333333333333333,0.85,0.9822222222222221
6,5,0.08673405479177365,0.9083333333333332,0.9466666666666667,0.9506111111111112
7,2,0.08253083427117941,0.9285714285714286,0.9285714285714286,0.998136645962733
7,3,0.08688543930295935,0.8523809523809524,0.838095238095238,0.9765567765567764
7,4,0.09603989808503875,0.8214285714285715,0.8571428571428573,0.955911330049261
7,5,0.08459379525926439,0.8842857142857143,0.9028571428571428,0.9477901785714286
8,2,0.08868658453766101,0.8875,0.8875,0.9744680851063829
8,3,0.10785239823293877,0.825,0.8833333333333334,0.9619598765432098
8,4,0.12273486959524635,0.8125,0.925,0.9530396174863387
8,5,0.10872530266944627,0.8425,0.8949999999999999,0.9318198529411765
9,2,0.12420333234756534,0.7333333333333333,0.7333333333333333,0.950925925925926
9,3,0.13548147458150162,0.6481481481481481,0.6444444444444445,0.951521164021164
9,4,0.10512266861814087,0.8277777777777777,0.8666666666666666,0.9359085648148149
9,5,0.12855618042026698,0.8322222222222221,0.8844444444444445,0.9229475308641975
10,2,0.08063339558634539,0.8,0.8,0.9622448979591838
10,3,0.1156821265547556,0.7033333333333334,0.7333333333333334,0.9565517241379309
10,4,0.11789605935474586,0.7983333333333332,0.775,0.9427363184079602
10,5,0.1547547734504228,0.736,0.792,0.9041578947368422
