r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8876812425495026,0.8,0.8,0.8175000000000001
1,3,0.8455719425636652,0.9333333333333332,0.9666666666666668,0.9375
1,4,0.8886433826373568,0.8666666666666668,0.9,0.9460416666666667
1,5,0.889260032933924,0.875,0.8,0.9029999999999999
1,6,0.9084449079295768,0.85,0.8833333333333334,0.8455
1,7,0.8517573179088981,0.8476190476190476,0.9285714285714285,0.8488095238095237
1,8,0.9090820699270166,0.8214285714285714,0.95,0.8203125
1,9,0.9168595723313693,0.8708333333333332,0.8,0.9052083333333336
1,10,0.9118252765511482,0.8111111111111111,0.9,0.7783611111111111
2,2,0.8401659254304346,0.75,0.75,0.9042682926829269
2,3,0.9107057255980608,0.9166666666666667,0.9333333333333332,0.9654761904761905
2,4,0.8868441940323859,0.8416666666666666,0.8,0.9117248062015504
2,5,0.896804587461032,0.8324999999999999,0.8099999999999999,0.8690340909090908
2,6,0.9233114282528714,0.7916666666666666,0.8916666666666666,0.8121851851851851
2,7,0.8736592991380443,0.9130952380952382,0.9071428571428571,0.9198757763975156
2,8,0.9066946295270885,0.76875,0.75625,0.7629559270516717
2,9,0.9290022042508784,0.7006944444444445,0.7444444444444442,0.673654513888889
2,10,0.8965321484703997,0.9388888888888889,0.96,0.9297732426303856
3,2,0.8567738271831928,0.8666666666666668,0.8666666666666668,0.8742063492063492
3,3,0.8875683985252643,0.7666666666666667,0.7666666666666667,0.8373737373737373
3,4,0.8841946322513861,0.9166666666666667,0.9666666666666668,0.9195048309178743
3,5,0.8479646697673582,0.8966666666666668,0.96,0.8994444444444445
3,6,0.9162502068490973,0.837777777777778,0.8833333333333334,0.8494666666666667
3,7,0.9028352291914474,0.8642857142857142,0.9142857142857143,0.8619810744810745
3,8,0.891394470157783,0.8726190476190478,0.9375,0.8695326278659612
3,9,0.9240085479931512,0.826851851851852,0.8555555555555555,0.8123429232804232
3,10,0.8938950315345859,0.8511111111111109,0.8,0.8562068965517241
4,2,0.8804427367773682,0.925,0.925,0.9761627906976745
4,3,0.8820005022333886,0.8833333333333332,0.8916666666666668,0.9326992753623188
4,4,0.8911182187368162,0.8645833333333333,0.8875,0.898469387755102
4,5,0.8926867016676105,0.8825,0.9149999999999998,0.892548076923077
4,6,0.8958050434519332,0.8416666666666668,0.8333333333333333,0.870560606060606
4,7,0.9120087535277108,0.7892857142857144,0.8607142857142858,0.7869663382594416
4,8,0.9284879320808284,0.8620535714285715,0.89375,0.8612046252927401
4,9,0.9172449629077766,0.9135416666666666,0.9666666666666668,0.914480251736111
4,10,0.9268428758975661,0.8519444444444446,0.8724999999999999,0.8375912106135986
5,2,0.873286510277393,0.8799999999999999,0.8799999999999999,0.9388636363636363
5,3,0.8948360891736119,0.7966666666666665,0.8066666666666664,0.8483333333333333
5,4,0.905872498950848,0.7949999999999999,0.8150000000000001,0.9002884615384616
5,5,0.908118391486191,0.8630000000000001,0.868,0.8818928571428571
5,6,0.9085215397711174,0.916,0.9233333333333335,0.9389111111111109
5,7,0.9135562188391398,0.7895238095238094,0.8228571428571427,0.8061086309523808
5,8,0.9278451809881634,0.8764285714285714,0.8675,0.8973529411764707
5,9,0.9273599660958407,0.7094444444444445,0.7866666666666667,0.7308024691358024
5,10,0.934150363628692,0.7997777777777777,0.8619999999999999,0.8068362573099416
6,2,0.8677114103769691,0.9166666666666666,0.9166666666666666,0.9796296296296296
6,3,0.8917520151996492,0.8583333333333332,0.8666666666666666,0.8873333333333335
6,4,0.9076395511610084,0.8638888888888889,0.8666666666666666,0.9109090909090909
6,5,0.9179355544648251,0.8066666666666666,0.7966666666666666,0.8514027777777777
6,6,0.9233190469797311,0.6888888888888889,0.6888888888888889,0.7405811965811966
6,7,0.9165570908190792,0.7313492063492064,0.7928571428571429,0.7326870748299321
6,8,0.9159033011259436,0.7910714285714284,0.8333333333333334,0.7859365079365079
6,9,0.9339816922450332,0.7270833333333334,0.8,0.7059172453703704
6,10,0.9471675932994499,0.8042592592592592,0.8383333333333335,0.8065708061002178
7,2,0.8440049934393155,0.9285714285714285,0.9285714285714285,0.9456521739130436
7,3,0.9027037426672871,0.8285714285714285,0.8428571428571427,0.8339743589743589
7,4,0.923533097284255,0.8166666666666667,0.8214285714285714,0.8839901477832512
7,5,0.9344923252615775,0.8150000000000001,0.8400000000000001,0.8396763392857143
7,6,0.9029334314092482,0.89,0.9166666666666666,0.9028027210884353
7,7,0.9495514342133797,0.7231292517006803,0.7632653061224489,0.7648630504833511
7,8,0.9322080966560099,0.8561224489795919,0.9339285714285716,0.8676735938277751
7,9,0.9306539126399578,0.7908730158730157,0.8587301587301587,0.7952065295815296
7,10,0.9146373027956065,0.8365079365079364,0.837142857142857,0.8472509287402904
8,2,0.8708696466598329,0.8875,0.8875,0.9295212765957446
8,3,0.8875291546161665,0.8958333333333334,0.9124999999999999,0.9332175925925925
8,4,0.9318344335622946,0.7354166666666666,0.765625,0.8426400273224044
8,5,0.9149420642168277,0.82,0.85,0.8540073529411764
8,6,0.9212178558651551,0.8316666666666667,0.8333333333333333,0.8634611111111111
8,7,0.9323153671908269,0.8556547619047619,0.8875,0.8694759001161441
8,8,0.9321359034595534,0.760044642857143,0.75625,0.7712279293739968
8,9,0.9350384842951616,0.7881944444444444,0.8125000000000002,0.7844871238425926
8,10,0.9390380120547407,0.8068055555555554,0.8825,0.7998665048543689
9,2,0.8808654176351146,0.8555555555555555,0.8555555555555555,0.9421296296296295
9,3,0.9105402948546187,0.7611111111111112,0.7703703703703704,0.863260582010582
9,4,0.9236324547908076,0.8231481481481483,0.8527777777777779,0.840769675925926
9,5,0.9335105660353124,0.7827777777777778,0.8155555555555555,0.809760802469136
9,6,0.9283261094885852,0.7992592592592593,0.8203703703703704,0.8366712962962964
9,7,0.9327341151386955,0.8613756613756612,0.8730158730158731,0.8624879749879749
9,8,0.9259397090815803,0.8057539682539684,0.8388888888888889,0.8202008928571429
