r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.019263877679409055,1.0,1.0,1.0
1,3,0.027861781486641292,0.9666666666666668,1.0,0.9983739837398374
1,4,0.09008729352769371,0.7333333333333334,0.9,0.9353658536585365
1,5,0.08110692888711085,0.8300000000000001,0.8800000000000001,0.9314634146341463
2,2,0.03205475258970024,0.95,0.95,0.9976190476190476
2,3,0.015757503413691015,0.9833333333333332,0.9666666666666668,0.9980620155038761
2,4,0.05421206339405239,0.9099999999999999,0.9349999999999999,0.8515151515151516
2,5,0.024320564181617925,0.9399999999999998,1.0,0.9976666666666667
3,2,0.027445804796529093,0.8866666666666667,0.8866666666666667,0.865891472868217
3,3,0.05719027473767122,0.8666666666666666,0.9333333333333332,0.9437037037037037
3,4,0.05136472213961555,0.9222222222222222,0.95,0.9505910165484635
3,5,0.06910501918634784,0.803939393939394,0.8884848484848484,0.8798578987150416
4,2,0.024302146220207738,0.9714285714285715,0.9714285714285715,0.95
4,3,0.03956222263612165,0.9583333333333334,0.9833333333333334,0.9684397163120568
4,4,0.04976352116862694,0.9208333333333332,0.95,0.9845
4,5,0.047709031023688196,0.89,0.96,0.9612264150943396
5,2,0.019937516523859,0.8955555555555555,0.8955555555555555,0.9564343434343435
5,3,0.07359893477261144,0.9,0.9200000000000002,0.9336054421768708
5,4,0.05369655652155173,0.9133333333333333,0.96,0.9545283018867925
5,5,0.08391851113936508,0.826,0.8880000000000001,0.9323508771929825
6,2,0.04013707051673325,0.9469696969696969,0.9469696969696969,0.9318840579710145
6,3,0.028808279778561374,0.9111111111111111,0.9555555555555555,0.9929193899782135
6,4,0.08103624610865541,0.825,0.9333333333333333,0.9196428571428571
6,5,0.11787505830504466,0.8116666666666668,0.8800000000000001,0.8846448087431694
7,2,0.03744735043744007,0.9703296703296704,0.9703296703296704,0.9705167173252279
7,3,0.03563377530145999,0.9571428571428571,0.9714285714285713,0.9943396226415094
7,4,0.04007164655199779,0.9119047619047619,0.9714285714285715,0.9791767554479419
7,5,0.10681042259313693,0.7652995391705069,0.8534562211981568,0.8452159971176364
8,2,0.13172209288852205,0.8375,0.8375,0.8604166666666666
8,3,0.07910185814613474,0.875,0.9,0.9084848484848485
8,4,0.08228964417285854,0.8422413793103448,0.8612068965517242,0.8827114087843995
8,5,0.10682329982794639,0.7713888888888889,0.8455555555555556,0.7901521739130435
9,2,0.07587273155647453,0.8496732026143791,0.8496732026143791,0.9031037414965987
9,3,0.08509670497545987,0.8106666666666668,0.8625185185185185,0.8916179337231969
9,4,0.08416420056253307,0.8643097643097641,0.8994949494949495,0.8862393162393161
9,5,0.0809846974013742,0.8624661246612467,0.9462330623306233,0.9106035338495136
10,2,0.10958202273649571,0.86,0.86,0.9022
10,3,0.06126706455899149,0.8776190476190477,0.9019047619047619,0.9082872435325603
10,4,0.062173525258480786,0.892837837837838,0.9387837837837838,0.9369792609351432
10,5,0.1366914060008766,0.7573478260869566,0.7864347826086957,0.7984538338373954
