r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.045282756082250485,0.95,0.95,0.998780487804878
1,3,0.08745196447119427,0.8833333333333334,0.9666666666666668,0.9308943089430894
1,4,0.016567496078308104,1.0,1.0,1.0
1,5,0.05829680092985713,0.805,0.8399999999999999,0.8547560975609756
1,6,0.14516120374692212,0.8766666666666666,0.9166666666666667,0.9070731707317072
1,7,0.16332406129546773,0.8404761904761905,0.9142857142857143,0.8631823461091754
1,8,0.01415355220659901,0.9428571428571428,1.0,0.9972560975609757
1,9,0.10159741864271565,0.8406746031746032,0.8730158730158731,0.9211382113821138
1,10,0.17871629237579836,0.7892857142857143,0.8660714285714285,0.8412020905923345
2,2,0.025697165802361893,0.9166666666666666,0.9166666666666666,0.9488095238095238
2,3,0.04489668557828322,0.8958333333333333,0.9416666666666668,0.9398657591227074
2,4,0.04185255053697538,0.9875,1.0,0.9995265151515152
2,5,0.20916408431066533,0.7649999999999999,0.8100000000000002,0.8132222222222222
2,6,0.11641532142982498,0.8980952380952381,0.9380952380952381,0.8356521739130436
2,7,0.14390718785161374,0.8277701465201466,0.9315934065934066,0.8294934143870314
2,8,0.13698291569509588,0.8437074829931971,0.8954166666666665,0.8838864878841608
2,9,0.08465304594505971,0.8620436507936506,0.9646031746031746,0.8582631629887729
2,10,0.05343074069391705,0.9200000000000002,0.9850000000000001,0.9846444444444444
3,2,0.0556429896485033,0.9666666666666666,0.9666666666666666,0.9980620155038761
3,3,0.0872560852303492,0.9277777777777778,0.9666666666666666,0.9543209876543208
3,4,0.06625388911322974,0.95,0.975,0.9554373522458629
3,5,0.022767399717242363,0.9468181818181819,0.9551515151515151,0.9184353741496599
3,6,0.18022530745039977,0.8077777777777777,0.8666666666666666,0.859281045751634
3,7,0.08422078457155857,0.8923809523809524,0.9523809523809523,0.9391584306678646
3,8,0.1313130882931256,0.858300533652196,0.9129252886925521,0.8539590097402598
3,9,0.07158583136218236,0.8946150097465886,0.9569875543559755,0.9053806390977444
3,10,0.024532411875738822,0.9546113146113147,0.9885714285714287,0.9628876333961081
4,2,0.040184329489215645,0.8714285714285716,0.8714285714285716,0.9428977272727274
4,3,0.12564129392301832,0.8525,0.8816666666666666,0.8877659574468085
4,4,0.09472098726193592,0.8450320512820513,0.908173076923077,0.8805629432624112
4,5,0.04668274316450073,0.9256249999999999,0.9625,0.9132036965729687
4,6,0.10685718002762117,0.8763157894736843,0.9372807017543862,0.8831576797385619
4,7,0.10647889508368133,0.8625541125541126,0.8944805194805194,0.8748945436825194
4,8,0.18716238670220295,0.789020737327189,0.869133064516129,0.8489646327528897
4,9,0.13059483371311123,0.8371098710317458,0.8946448412698412,0.8334709077184032
4,10,0.10342048847140521,0.8500756670649144,0.8947640382317802,0.8668954248366013
5,2,0.042741280077123064,0.9477777777777778,0.9477777777777778,0.9588888888888889
5,3,0.07751306387105021,0.8974358974358975,0.9246153846153848,0.9318338399189463
5,4,0.11471990151076421,0.8651960784313726,0.9105882352941176,0.8881477987421385
