r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.017854235464880026,1.0,1.0,1.0
1,3,0.11948205694830993,0.7666666666666666,0.7333333333333333,0.978048780487805
1,4,0.06471407019408235,0.8666666666666666,1.0,0.9654471544715447
1,5,0.07445341928074453,0.8800000000000001,1.0,0.9451219512195121
2,2,0.10045895307409376,0.9,0.9,0.9130952380952382
2,3,0.15799365423839343,0.7833333333333334,0.8,0.9050387596899224
2,4,0.18380613088505907,0.635,0.71,0.7579545454545455
2,5,0.1572487807829356,0.765,0.78,0.897
3,2,0.061752202227268585,0.74,0.74,0.8111664820967146
3,3,0.10765078680587783,0.8555555555555555,0.888888888888889,0.943456790123457
3,4,0.10249874166389332,0.8333333333333334,0.95,0.9490543735224586
3,5,0.08405242650388374,0.8584848484848484,0.9151515151515153,0.86
4,2,0.13152447147743676,0.7142857142857142,0.7142857142857142,0.8266384778012685
4,3,0.12423055514238546,0.7500000000000001,0.7833333333333333,0.9046099290780141
4,4,0.10303443176149633,0.8666666666666666,0.9625,0.9405833333333333
4,5,0.12307597420668578,0.7699999999999999,0.8700000000000001,0.919245283018868
5,2,0.16721980759284696,0.6244444444444446,0.6244444444444446,0.8235252525252525
5,3,0.13943960203113176,0.7400000000000001,0.7600000000000001,0.9
5,4,0.14866707981786348,0.7866666666666665,0.8799999999999999,0.9095597484276731
5,5,0.15508911557368882,0.65,0.744,0.8982807017543861
6,2,0.12502296601851723,0.6196969696969697,0.6196969696969697,0.851086956521739
6,3,0.1623754163097011,0.6388888888888887,0.6555555555555556,0.9017429193899783
6,4,0.14618146980283994,0.6916666666666667,0.7916666666666667,0.8924603174603174
6,5,0.16802851451967182,0.7316666666666667,0.7866666666666667,0.8984153005464481
7,2,0.09883130263045685,0.7538461538461538,0.7538461538461538,0.9048235760539182
7,3,0.14722109648298093,0.6857142857142856,0.7142857142857142,0.8734052111410602
7,4,0.1165067747980387,0.757142857142857,0.8571428571428571,0.9270379338175948
7,5,0.15700631355000033,0.6941013824884793,0.8040552995391705,0.8478677715726896
8,2,0.21575712358072868,0.5375,0.5375,0.8502604166666666
8,3,0.11229305351747501,0.7833333333333334,0.8333333333333333,0.9356060606060606
8,4,0.12809749184316277,0.7686781609195402,0.836853448275862,0.9088703982139602
8,5,0.11184946127221536,0.718888888888889,0.7683333333333333,0.8475785953177258
9,2,0.10863282927109677,0.7607843137254902,0.7607843137254902,0.897576530612245
9,3,0.13894390064545478,0.6810370370370371,0.653925925925926,0.8910130545218264
9,4,0.11546510533919108,0.7695286195286195,0.8232323232323232,0.8974873632938148
9,5,0.14090785295037947,0.7021138211382114,0.8102981029810298,0.8960399708821389
10,2,0.13861321262358012,0.69,0.69,0.8996000000000001
10,3,0.11395185347040375,0.6642857142857143,0.7357142857142858,0.8463633660422243
10,4,0.1074195407536663,0.795045045045045,0.8597297297297297,0.9403420060331825
10,5,0.12211110809101051,0.7400434782608695,0.8104347826086957,0.9229943070628004
