r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9,0.0,0.0,0.0
1,3,0.8,0.0,0.0,0.0
1,4,0.7,0.0,0.0,0.0
1,5,0.8,0.0,0.0,0.0
1,6,0.8,0.0,0.0,0.0
1,7,0.8,0.030952380952380946,0.0,0.0
1,8,0.8,0.0,0.0,0.0
1,9,0.9,0.0625,0.0,0.0
1,10,0.8,0.07222222222222222,0.0,0.0
2,2,0.85,0.0,0.0,0.0
2,3,0.8,0.0,0.0,0.0
2,4,0.85,0.0,0.0,0.0
2,5,0.8,0.0,0.0,0.0
2,6,0.9,0.014285714285714285,0.0,0.0
2,7,0.9,0.008333333333333333,0.0,0.0
2,8,0.9,0.024702380952380944,0.0,0.0
2,9,0.85,0.04486111111111111,0.0,0.0
2,10,0.8,0.034343434343434336,0.0,0.0
3,2,0.7666666666666666,0.0,0.0,0.0
3,3,0.8333333333333334,0.0,0.0,0.0
3,4,0.8333333333333334,0.0,0.0,0.0
3,5,0.8333333333333334,0.0,0.0,0.0
3,6,0.8333333333333334,0.007692307692307693,0.0,0.0
3,7,0.8999999999999998,0.028730158730158727,0.0,0.0
3,8,0.8,0.010119047619047616,0.0,0.0
3,9,0.8666666666666668,0.0006578947368421052,0.0,0.0
3,10,0.9,0.00793650793650794,0.0,0.0
4,2,0.8,0.0,0.0,0.0
4,3,0.825,0.0,0.0,0.0
4,4,0.8,0.007692307692307693,0.0,0.0
4,5,0.8,0.0,0.0,0.0
4,6,0.725,0.0,0.0,0.0
4,7,0.875,0.00909090909090909,0.0,0.0
4,8,0.775,0.005714285714285713,0.0,0.0
4,9,0.95,0.0013888888888888887,0.0,0.0
4,10,0.775,0.0176010101010101,0.0225,0.0
5,2,0.8,0.0,0.0,0.0
5,3,0.82,0.0,0.0,0.0
5,4,0.7799999999999999,0.0,0.0,0.0
5,5,0.82,0.0,0.0,0.0
5,6,0.82,0.0,0.0,0.0
5,7,0.86,0.021247947454844006,0.0,0.0
5,8,0.8800000000000001,0.01149350649350649,0.0,0.0
5,9,0.8800000000000001,0.016861861861861865,0.0,0.0
5,10,0.9,0.00022222222222222223,0.0,0.0
6,2,0.8666666666666668,0.0,0.0,0.0
6,3,0.8666666666666668,0.0,0.0,0.0
6,4,0.85,0.0,0.0,0.0
6,5,0.7833333333333333,0.0,0.0,0.0
6,6,0.7833333333333333,0.0038461538461538464,0.0,0.0
6,7,0.8333333333333333,0.0061111111111111106,0.0,0.0
6,8,0.8333333333333333,0.00990255858440937,0.0,0.0
6,9,0.8833333333333334,0.020994363929146536,0.030434782608695653,0.0
6,10,0.8666666666666666,0.018779956427015253,0.013333333333333332,0.0
7,2,0.8857142857142856,0.0,0.0,0.0
7,3,0.8714285714285713,0.0,0.0,0.0
7,4,0.9,0.0,0.0,0.0
7,5,0.8285714285714285,0.0,0.0,0.0
7,6,0.8285714285714285,0.002162162162162162,0.0,0.0
7,7,0.7857142857142856,0.015318018693862654,0.0,0.0
7,8,0.8285714285714285,0.009718172983479104,0.0,0.0
7,9,0.8,0.011419284025667003,0.01111111111111111,0.0
7,10,0.914285714285714,0.008834244080145721,0.04740046838407495,0.0
8,2,0.8625,0.0,0.0,0.0
8,3,0.8125,0.0,0.0,0.0
8,4,0.85,0.0,0.0,0.0
8,5,0.8375,0.0,0.0,0.0
8,6,0.775,0.0,0.0,0.0
8,7,0.8375,0.014497835497835492,0.0,0.0
8,8,0.8625,0.010825657894736839,0.0,0.0
8,9,0.8,0.01353236607142857,0.0125,0.0
8,10,0.8375,0.009014147609672373,0.043802816901408456,0.0
9,2,0.8,0.0,0.0,0.0
9,3,0.8111111111111112,0.0,0.0,0.0
9,4,0.7999999999999999,0.0,0.0,0.0
9,5,0.8111111111111111,0.002027027027027027,0.0,0.0
9,6,0.8333333333333334,0.0,0.0,0.0
9,7,0.8666666666666668,0.015295591920978919,0.0,0.0
9,8,0.8111111111111111,0.0019607843137254897,0.0,0.0
9,9,0.8444444444444443,0.009755005268703898,0.04912539515279241,0.0
9,10,0.8222222222222223,0.020899470899470904,0.06098765432098765,0.0
10,2,0.8200000000000001,0.0,0.0,0.0
10,3,0.86,0.0,0.0,0.0
10,4,0.82,0.0,0.0,0.0
10,5,0.8400000000000001,0.0,0.0,0.0
10,6,0.77,0.0,0.0,0.0
10,7,0.8,0.012959355658709107,0.0,0.0
10,8,0.8400000000000001,0.003210066769388803,0.0,0.0
10,9,0.8099999999999999,0.006712277687887444,0.0363798832091515,0.0
10,10,0.8100000000000002,0.008581215347002184,0.05780961437493346,0.0
