r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.00022167279808238405,0.6,0.6,0.6
1,3,0.009456513001435433,0.9666666666666668,1.0,0.9979166666666668
1,4,0.0019556354779731687,0.8,0.8,0.8
1,5,0.0008792226283711102,0.75,0.76,0.790625
2,2,0.0002055929216010166,0.6666666666666666,0.6666666666666666,0.7882352941176471
2,3,0.009657799832965466,0.6083333333333333,0.6666666666666667,0.592476851851852
2,4,0.0026650266681477073,0.8933333333333333,0.9099999999999999,0.8929824561403509
2,5,0.029464776013810347,0.8933333333333333,0.8733333333333334,0.7949999999999999
3,2,0.001427541959606386,0.9199999999999999,0.9199999999999999,0.8666666666666666
3,3,0.007836812457777535,0.8555555555555555,0.8920634920634921,0.8608641975308643
3,4,0.08826335573580187,0.8703703703703705,0.9222222222222222,0.9209728867623606
3,5,0.0460343794031395,0.8509090909090908,0.9054545454545455,0.8505555555555555
4,2,0.0725223890377223,0.7309523809523809,0.7309523809523809,0.7444272445820433
4,3,0.04277652736554362,0.8266666666666665,0.8300000000000001,0.7940151515151516
4,4,0.0032867196892633543,0.9166666666666666,0.9275,0.897298245614035
4,5,0.10085112269421181,0.9035416666666667,0.9191666666666667,0.7974702380952381
5,2,0.002574310180569577,0.8222222222222222,0.8222222222222222,0.8357894736842105
5,3,0.01837703921517469,0.820979020979021,0.8531468531468531,0.8320000000000001
5,4,0.08583320180939866,0.8749019607843136,0.9329411764705883,0.8705999999999999
5,5,0.01851869911808263,0.9176694677871149,0.9361344537815126,0.7975714285714286
6,2,0.11868319576516233,0.7878787878787878,0.7878787878787878,0.8585714285714285
6,3,0.06438777948123299,0.8295634920634921,0.8478174603174604,0.8886363636363637
6,4,0.07739079365891374,0.8851851851851851,0.8789682539682542,0.7970099846390168
6,5,0.04696374646335562,0.914871794871795,0.9405128205128206,0.8948437499999999
7,2,0.04295876245597306,0.6923076923076923,0.6923076923076923,0.84421768707483
7,3,0.051629685603466556,0.7985994397759104,0.802860091404983,0.8217229199372056
7,4,0.15781566714825784,0.8728484848484849,0.8645454545454546,0.8507640152835328
7,5,0.04685250065137122,0.8596774193548388,0.8778972520908004,0.7904861111111111
8,2,0.13573338369090263,0.8145604395604396,0.8145604395604396,0.7727225672877847
8,3,0.044827547497834005,0.8756818181818182,0.8762121212121212,0.8211263736263736
8,4,0.08779554085460325,0.864710433244916,0.8751160477453581,0.8426891549994018
8,5,0.13664125983447717,0.8519097222222222,0.8833333333333334,0.8148333333333333
9,2,0.11764095484411241,0.8240196078431372,0.8240196078431372,0.8822262479871176
9,3,0.11918554971305806,0.8188589832068093,0.8553761214630781,0.8344141737891737
9,4,0.11585744899177057,0.8782042648709318,0.8575084175084176,0.7747647552676016
9,5,0.09777634415526953,0.8757745550428477,0.9231377719182599,0.8368282828282828
10,2,0.0664310334403699,0.7300653594771241,0.7300653594771241,0.7725691699604743
10,3,0.07703785756601521,0.8232600732600732,0.8443223443223443,0.7740823412698413
10,4,0.03376055442021655,0.8163991315793974,0.8519359967177804,0.8114124271330153
10,5,0.12105532315051167,0.8832052958483165,0.917750898986597,0.8332878787878787
