r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.13194645250313128,0.6,0.6,0.6
1,3,0.22987515935349379,1.0,1.0,1.0
1,4,0.17911747526663158,0.8,0.8,0.8
1,5,0.0970459031432151,0.75,0.76,0.7925
2,2,0.16391122791998763,0.7666666666666666,0.7666666666666666,0.7941176470588236
2,3,0.15909385734156767,0.6416666666666667,0.6166666666666667,0.594212962962963
2,4,0.08240563535634768,0.9183333333333333,0.9099999999999999,0.8956140350877192
2,5,0.14112935929454345,0.9133333333333333,0.9133333333333333,0.79825
3,2,0.17118666939287996,0.9199999999999999,0.9199999999999999,0.8666666666666666
3,3,0.20058474309049953,0.865079365079365,0.8761904761904763,0.8605555555555554
3,4,0.1962362176621743,0.924074074074074,0.9222222222222223,0.9252658160552898
3,5,0.14090990864599304,0.890909090909091,0.9321212121212122,0.8560555555555556
4,2,0.19314992759945315,0.8142857142857143,0.8142857142857143,0.7485294117647059
4,3,0.1366649385009656,0.9,0.9,0.7983333333333333
4,4,0.22483606810653542,0.9383333333333332,0.9275,0.8980701754385965
4,5,0.22642216146268207,0.9254166666666667,0.9191666666666667,0.7982738095238096
5,2,0.17872151670143782,0.888888888888889,0.888888888888889,0.8389473684210527
5,3,0.17655290041397437,0.883916083916084,0.883916083916084,0.836848484848485
5,4,0.19653146727122822,0.8949019607843136,0.9211764705882354,0.8721190476190476
5,5,0.2270273923405226,0.9251932773109244,0.9361344537815126,0.7983125
6,2,0.24083864791641632,0.8924242424242423,0.8924242424242423,0.8642460317460319
6,3,0.19077315882733065,0.9255952380952381,0.9144841269841268,0.8965811965811966
6,4,0.1849076274654314,0.9034391534391535,0.8869047619047619,0.7972480798771122
6,5,0.1678167729013882,0.9398717948717948,0.9492307692307692,0.8972858796296297
7,2,0.17612707847918968,0.876923076923077,0.876923076923077,0.8544217687074831
7,3,0.1618979355609414,0.927126640129736,0.9318885448916407,0.8284013605442176
7,4,0.24685886400643992,0.8776796536796537,0.891168831168831,0.8517597361525254
7,5,0.20074473962493408,0.8636200716845878,0.8872162485065711,0.7914831349206348
8,2,0.21803304144063135,0.868131868131868,0.868131868131868,0.775
8,3,0.18447104700428912,0.9201515151515153,0.9201515151515153,0.8243055555555555
8,4,0.2305482905879619,0.8885886383731212,0.9062168435013263,0.844442770569431
8,5,0.20701669986662258,0.8585069444444444,0.9118055555555555,0.8168194444444445
9,2,0.22017967766048546,0.9168300653594772,0.9168300653594772,0.8874597423510467
9,3,0.2366390342845018,0.9019342074994249,0.9306298596733379,0.8423489858906524
9,4,0.2482132832302692,0.9100561167227836,0.904915824915825,0.7765990373675383
9,5,0.2681950836030881,0.8933750823994726,0.9123269611074489,0.8394444444444444
10,2,0.17582271778632802,0.842483660130719,0.842483660130719,0.7782608695652173
10,3,0.20794123197703404,0.8835622710622711,0.8793956043956044,0.7784761904761904
10,4,0.17696890687915512,0.8814007555943041,0.9010615929022,0.8161310280869104
10,5,0.2562538471340521,0.8942519341832842,0.9126729868148631,0.8349541666666667
