r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.013051372110233283,0.6,0.6,0.6
1,3,0.031623199265393545,1.0,1.0,1.0
1,4,0.05574194390048058,0.7333333333333333,0.8,0.79375
1,5,0.02446514105534904,0.8,0.8,0.8
2,2,0.018874668903773484,0.8666666666666666,0.8666666666666666,0.8
2,3,0.031301561193728525,0.7,0.7,0.6
2,4,0.03464611032513656,0.96,0.96,0.9
2,5,0.10017617668229122,0.8916666666666668,0.8666666666666668,0.7959375
3,2,0.033330043824211536,0.9199999999999999,0.9199999999999999,0.8666666666666666
3,3,0.1756670527146052,0.9428571428571428,0.9428571428571428,0.8666666666666666
3,4,0.15526245731506946,0.9148148148148147,0.961111111111111,0.9293062200956939
3,5,0.11748693908066574,0.9469696969696969,0.9369696969696971,0.8643055555555555
4,2,0.09597147723088534,0.8476190476190476,0.8476190476190476,0.75
4,3,0.09810676923750514,0.9200000000000002,0.9200000000000002,0.8
4,4,0.26525811280545747,0.9433333333333334,0.9475,0.8985
4,5,0.20880869329445334,0.8910416666666666,0.8991666666666667,0.7926190476190477
5,2,0.1087508122802896,0.8666666666666666,0.8666666666666666,0.8368421052631578
5,3,0.10931287072119551,0.8851748251748252,0.8928671328671329,0.8349747474747474
5,4,0.2122851719883943,0.9033333333333333,0.9447058823529412,0.8750142857142856
5,5,0.1621792242204402,0.8941120448179272,0.8953277310924369,0.7936190476190476
6,2,0.24677521720999024,0.9272727272727274,0.9272727272727274,0.8666666666666668
6,3,0.2573631225851239,0.9133928571428571,0.9214285714285715,0.8969486531986531
6,4,0.17186124592159946,0.8316137566137567,0.884126984126984,0.7895254736303123
6,5,0.1980775064690426,0.9192307692307692,0.837948717948718,0.8806481481481481
7,2,0.11742253715770712,0.876923076923077,0.876923076923077,0.8551020408163265
7,3,0.19772782697452748,0.865015479876161,0.809907120743034,0.8241910866910868
7,4,0.3428186524398637,0.8734199134199134,0.8625974025974026,0.8326598381288
7,5,0.1804343728606717,0.8608721624850657,0.8623655913978494,0.785768849206349
8,2,0.28153354836694267,0.798489010989011,0.798489010989011,0.7708850931677018
8,3,0.23058826638825183,0.9284848484848485,0.9284848484848485,0.825
8,4,0.2874294229950466,0.8746905393457117,0.8437002652519894,0.8314479268167598
8,5,0.36025221376433975,0.8774305555555557,0.8944444444444445,0.7877118055555555
9,2,0.1983655471743252,0.9161764705882354,0.9161764705882354,0.8869565217391304
9,3,0.31823788462222524,0.9087582240625718,0.9102939958592131,0.8431316985483652
9,4,0.3165437712698763,0.8690011223344557,0.8808080808080808,0.7740302921517344
9,5,0.3921035531593002,0.8847066578773897,0.8776532630191166,0.824090909090909
10,2,0.16297597072032088,0.8313725490196078,0.8313725490196078,0.7773913043478261
10,3,0.19128076259878202,0.8657051282051281,0.8359890109890109,0.7766091269841271
10,4,0.32634320065133327,0.8585995863035711,0.8682445253602749,0.8096734234234233
10,5,0.3774215908391819,0.8866377901274927,0.8813119755911518,0.7998651515151515
