r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.1898435902041979,0.7,0.7,0.8875
1,3,0.13335686021957738,0.6166666666666666,0.4666666666666666,0.7770833333333333
1,4,0.12040657271686377,0.6333333333333333,0.5,0.6875
1,5,0.1825799581939199,0.73,0.6,0.7825
1,6,0.1602834126375155,0.7133333333333333,0.5,0.7737499999999999
1,7,0.1449629918317766,0.7666666666666666,0.6,0.7875
1,8,0.16209804416489396,0.7249999999999999,0.4,0.7671875
1,9,0.14513513206120177,0.85,0.5,0.875
1,10,0.13539663048406775,0.7633333333333334,0.47000000000000003,0.779375
2,2,0.1580813888853561,0.75,0.75,0.8439338235294118
2,3,0.1470103358896673,0.5833333333333333,0.4083333333333334,0.7682870370370372
2,4,0.19081881818638968,0.6833333333333333,0.45999999999999996,0.8203673245614036
2,5,0.13112484264298613,0.7458333333333333,0.5333333333333334,0.7743749999999998
2,6,0.14231360335849041,0.883095238095238,0.7714285714285715,0.8765873015873016
2,7,0.16247296953926266,0.9205357142857142,0.8107142857142857,0.8900365259740258
2,8,0.16133157538325033,0.9299603174603176,0.6604166666666667,0.8856875970496898
2,9,0.14696685871307863,0.9429166666666667,0.8144444444444445,0.8412037037037038
2,10,0.16665223750579602,0.8975757575757577,0.4818181818181818,0.7785166666666663
3,2,0.14452400913964625,0.6333333333333333,0.6333333333333333,0.7561410675381264
3,3,0.14941448222538073,0.7734920634920635,0.652063492063492,0.8192592592592594
3,4,0.1547848269524919,0.8518518518518519,0.6666666666666667,0.8217703349282297
3,5,0.14496779824439904,0.8704545454545455,0.7630303030303031,0.8181111111111111
3,6,0.14967581315067174,0.9067948717948721,0.7262820512820513,0.825030525030525
3,7,0.1708026465791664,0.9036507936507936,0.7371428571428572,0.8866676973819831
3,8,0.1619126160416242,0.8433963585434172,0.5294117647058824,0.7769366804692892
3,9,0.16444113050594122,0.9206096048201312,0.7334751018961545,0.8552083333333333
3,10,0.1855387953320189,0.9242857142857146,0.6228571428571429,0.876043572984749
4,2,0.1414716961347142,0.6541666666666666,0.6541666666666666,0.7816627966976265
4,3,0.12597185860639845,0.7933333333333333,0.6916666666666667,0.8124621212121212
4,4,0.15183056032533068,0.7965705128205128,0.6810576923076923,0.7837701355661882
4,5,0.13922128961784042,0.8583333333333332,0.7225,0.7895119047619048
4,6,0.139654615603627,0.8295050125313285,0.5054511278195489,0.70893315018315
4,7,0.15614627050251964,0.8574675324675326,0.752922077922078,0.85328006202481
4,8,0.16633381879062656,0.8794503968253972,0.6166944444444444,0.7611021522298697
4,9,0.18357529932188235,0.8234027777777777,0.6177777777777778,0.9009751157407407
4,10,0.13734893463531944,0.895873248615184,0.6625733137829913,0.7600198206414348
5,2,0.14631820977726326,0.6046825396825397,0.6046825396825397,0.7813498452012384
5,3,0.14816511953708694,0.6341491841491841,0.5468531468531469,0.7933838383838384
5,4,0.12797945389679238,0.7977871148459383,0.749453781512605,0.7639450216450216
5,5,0.152002630078069,0.8313473389355742,0.6950140056022409,0.8023779761904762
5,6,0.1351990680485742,0.8360000000000001,0.6359999999999999,0.8031354654903042
5,7,0.15692658813094856,0.888712786463911,0.7570357678303705,0.8430504201680673
5,8,0.1745893019952672,0.8169047619047621,0.6732575757575758,0.8379295366795368
5,9,0.15172995766425984,0.862411204307756,0.6822843533188361,0.8451128472222222
5,10,0.1877819402741972,0.8859369918699187,0.757890243902439,0.8610585487623791
6,2,0.13718623759470286,0.6228787878787878,0.6228787878787878,0.843563074352548
6,3,0.11944928619676823,0.7083333333333334,0.6038690476190476,0.8446662134162135
6,4,0.15553167774277468,0.7955026455026454,0.6398809523809523,0.8348545826932924
6,5,0.1265547671305465,0.7954700854700855,0.63994560994561,0.7663248181216932
